time,distance,lat,lng,velocity_smooth,heartrate
0,0,-22.39723,-41.786602,0,102
5,0,-22.39723,-41.786602,0,102
6,0.2,-22.397228,-41.786602,0.033,102
7,4.3,-22.397192,-41.786598,0.614,102
8,7.5,-22.397163,-41.786591,0.938,102
9,9.5,-22.397161,-41.786571,1.056,102
10,12.3,-22.397161,-41.786545,2.46,99
11,14.6,-22.397165,-41.786522,2.88,99
12,17.6,-22.397175,-41.786495,2.66,99
13,21.1,-22.397188,-41.786465,2.72,99
14,23,-22.397175,-41.786453,2.7,99
15,24.7,-22.397163,-41.786442,2.48,99
16,26.3,-22.397154,-41.78643,2.34,99
17,27.6,-22.397148,-41.786419,2,99
18,29.3,-22.397142,-41.786404,1.64,99
19,30.6,-22.397137,-41.786392,1.52,99
20,32.3,-22.397133,-41.786377,1.52,100
21,33.5,-22.397129,-41.786365,1.44,100
22,35.1,-22.397125,-41.78635,1.5,100
23,36.4,-22.397121,-41.786339,1.42,100
24,38.1,-22.397116,-41.786324,1.5,100
25,39.8,-22.39711,-41.786308,1.5,103
26,41.5,-22.397104,-41.786293,1.6,103
27,43.3,-22.397097,-41.786278,1.64,103
28,45.5,-22.397087,-41.786259,1.82,103
29,47.4,-22.397078,-41.786243,1.86,103
30,49.6,-22.397068,-41.786224,1.96,107
31,51.8,-22.397058,-41.786205,2.06,107
32,54.2,-22.397047,-41.786186,2.18,107
33,56.4,-22.397037,-41.786167,2.18,107
34,58.6,-22.397028,-41.786148,2.24,107
35,60.5,-22.397018,-41.786133,2.18,106
36,62.9,-22.397007,-41.786114,2.22,106
37,64.8,-22.396997,-41.786098,2.12,106
38,66.8,-22.396986,-41.786083,2.08,106
39,69.1,-22.396975,-41.786064,2.1,106
40,71.1,-22.396963,-41.786049,2.12,106
41,73.3,-22.39695,-41.786034,2.08,106
42,75.3,-22.396938,-41.786018,2.1,106
43,77.5,-22.396925,-41.786003,2.14,106
44,79.7,-22.396915,-41.785984,2.12,106
45,81.7,-22.396904,-41.785969,2.12,106
46,83.9,-22.396894,-41.78595,2.12,106
47,86.3,-22.396883,-41.785931,2.2,106
48,88.2,-22.396873,-41.785915,2.14,106
49,90.6,-22.39686,-41.785896,2.18,106
50,92.7,-22.396849,-41.785881,2.2,108
51,94.7,-22.396837,-41.785866,2.16,108
52,96.8,-22.396824,-41.785851,2.1,108
53,99.2,-22.396812,-41.785831,2.2,108
54,101.3,-22.396799,-41.785816,2.14,108
55,103.5,-22.396786,-41.785801,2.16,109
56,105.5,-22.396774,-41.785786,2.16,109
57,107.7,-22.396761,-41.78577,2.18,109
58,109.7,-22.396749,-41.785755,2.1,109
59,112.2,-22.396736,-41.785736,2.18,109
60,114.2,-22.396725,-41.785721,2.14,110
61,116.2,-22.396713,-41.785706,2.14,110
62,118.2,-22.396702,-41.78569,2.1,110
63,120.6,-22.39669,-41.785671,2.18,110
