time,distance,lat,lng,velocity_smooth,heartrate
0,0,-22.905048,-43.124065,0,74
5,0,-22.905048,-43.124065,0,74
6,1.3,-22.905054,-43.124054,0.217,74
7,2.9,-22.905052,-43.124039,0.414,74
8,4.1,-22.905052,-43.124027,0.513,74
9,5.3,-22.905052,-43.124016,0.589,74
10,6.9,-22.905048,-43.124,1.38,74
11,8.5,-22.905044,-43.123985,1.44,74
12,10.2,-22.905039,-43.12397,1.46,74
13,11.9,-22.905033,-43.123955,1.56,74
14,13.9,-22.905027,-43.123936,1.72,74
15,15.4,-22.90502,-43.123924,1.7,74
16,16.7,-22.905014,-43.123913,1.64,74
17,17.9,-22.905006,-43.123905,1.54,74
18,18.8,-22.904999,-43.123901,1.38,74
19,19.6,-22.904991,-43.123901,1.14,74
20,20.4,-22.904985,-43.123897,1,75
21,21,-22.904982,-43.123894,0.86,75
22,22.2,-22.904978,-43.123882,0.86,75
23,23.5,-22.904974,-43.123871,0.94,75
24,24.7,-22.90497,-43.123859,1.02,75
25,26.7,-22.904968,-43.12384,1.26,76
26,28.3,-22.904964,-43.123825,1.46,76
27,30.3,-22.904961,-43.123806,1.62,76
28,32.3,-22.904959,-43.123787,1.76,76
29,34.2,-22.904957,-43.123768,1.9,76
30,36.2,-22.904953,-43.123749,1.9,77
31,38.2,-22.904949,-43.12373,1.98,77
32,39.8,-22.904947,-43.123714,1.9,77
33,41.8,-22.904943,-43.123695,1.9,77
34,43.8,-22.90494,-43.123676,1.92,77
35,45.4,-22.904936,-43.123661,1.84,78
36,47.4,-22.904932,-43.123642,1.84,78
37,49.4,-22.90493,-43.123623,1.92,78
38,51,-22.904926,-43.123608,1.84,78
39,52.6,-22.904924,-43.123592,1.76,78
40,54.2,-22.904922,-43.123577,1.76,82
41,56.1,-22.904921,-43.123558,1.74,82
42,57.7,-22.904919,-43.123543,1.66,82
43,59.3,-22.904919,-43.123527,1.66,82
44,60.8,-22.904917,-43.123512,1.64,82
45,62.4,-22.904915,-43.123497,1.64,85
46,64,-22.904915,-43.123482,1.58,85
47,65.9,-22.904915,-43.123463,1.64,85
48,67.5,-22.904917,-43.123447,1.64,85
49,69.1,-22.904919,-43.123432,1.66,85
50,70.7,-22.904922,-43.123417,1.66,84
51,72.3,-22.904926,-43.123402,1.66,84
52,73.9,-22.90493,-43.123386000000004,1.6,84
53,75.5,-22.904932,-43.123371,1.6,84
54,77.1,-22.904934,-43.123356,1.6,84
55,78.7,-22.904936,-43.123341,1.6,85
56,80.6,-22.904936,-43.123321,1.66,85
57,82.2,-22.904936,-43.123306,1.66,85
58,83.8,-22.904934,-43.123291,1.66,85
59,85.7,-22.904932,-43.123272,1.72,85
60,87.3,-22.90493,-43.123257,1.72,86
61,89.3,-22.90493,-43.123238,1.74,86
62,90.8,-22.904932,-43.123222,1.72,86
