time,velocity_smooth,heartrate
0,0,85
5,0,85
10,0,88
15,0,93
20,0,94
25,0,94
30,0,94
35,0,95
40,0,96
45,0,97
50,0,98
55,0,99
60,0,99
65,0,100
70,0,100
75,0,99
80,0,100
85,0,103
90,0,104
95,0,103
100,0,103
105,0,105
110,0,104
115,0,105
120,0,105
125,0,106
130,0,104
135,0,106
140,0,105
145,0,105
150,0,106
155,0,106
160,0,107
165,0,107
170,0,106
175,0,105
180,0,106
185,0,107
190,0,105
195,0,105
200,0,106
205,0,108
210,0,108
215,0,109
220,0,108
225,0,109
230,0,109
235,0,108
240,0,108
245,0,108
250,0,108
255,0,109
260,0,111
265,0,113
270,0,113
275,0,114
280,0,113
285,0,114
290,0,116
295,0,116
300,0,117
305,0,117
310,0,118
315,0,119
320,0,119
325,0,120
330,0,122
335,0,122
340,0,122
345,0,122
350,0,122
355,0,123
360,0,124
365,0,125
370,0,124
375,0,125
380,0,123
385,0,122
390,0,121
395,0,121
400,0,121
405,0,121
410,0,120
415,0,120
420,0,121
425,0,120
430,0,119
435,0,120
440,0,119
445,0,120
450,0,119
455,0,120
460,0,119
465,0,120
470,0,120
475,0,120
480,0,120
485,0,119
490,0,120
495,0,121
500,0,123
505,0,124
510,0,125
515,0,125
520,0,125
525,0,126
530,0,127
535,0,128
540,0,127
545,0,128
550,0,129
555,0,130
560,0,130
565,0,129
570,0,129
575,0,130
580,0,129
585,0,129
590,0,130
595,0,130
600,0,131
605,0,130
610,0,129
615,0,129
620,0,130
625,0,131
630,0,130
635,0,131
640,0,132
645,0,132
650,0,131
655,0,130
660,0,130
665,0,130
670,0,129
675,0,132
680,0,132
685,0,132
690,0,132
695,0,131
700,0,132
705,0,131
710,0,130
715,0,131
720,0,132
725,0,132
730,0,132
735,0,132
740,0,133
745,0,134
750,0,135
755,0,134
760,0,131
765,0,130
770,0,129
775,0,130
780,0,131
785,0,132
790,0,133
795,0,133
800,0,133
805,0,134
810,0,133
815,0,132
820,0,130
825,0,131
830,0,132
835,0,132
840,0,133
845,0,132
850,0,134
855,0,134
860,0,133
865,0,133
870,0,134
875,0,133
880,0,133
885,0,133
890,0,133
895,0,132
900,0,132
905,0,132
910,0,133
915,0,133
920,0,133
925,0,132
930,0,132
935,0,132
940,0,133
945,0,134
950,0,135
955,0,133
960,0,133
965,0,134
970,0,134
975,0,134
980,0,135
985,0,135
990,0,135
995,0,134
1000,0,133
1005,0,134
1010,0,135
1015,0,135
1020,0,134
1025,0,134
1030,0,135
1035,0,136
1040,0,136
1045,0,137
1050,0,136
1055,0,135
1060,0,135
1065,0,136
1070,0,136
1075,0,135
1080,0,136
1085,0,135
1090,0,136
1095,0,137
1100,0,137
1105,0,137
1110,0,137
1115,0,136
1120,0,136
1125,0,136
1130,0,137
1135,0,136
1140,0,136
1145,0,136
1150,0,137
1155,0,137
1160,0,137
1165,0,136
1170,0,137
1175,0,137
1180,0,137
1185,0,136
1190,0,136
1195,0,136
1200,0,135
1205,0,135
1210,0,136
1215,0,137
1220,0,137
1225,0,136
1230,0,137
1235,0,138
1240,0,138
1245,0,137
1250,0,136
1255,0,136
1260,0,136
1265,0,136
1270,0,136
1275,0,136
1280,0,136
1285,0,137
1290,0,137
1295,0,137
1300,0,137
1305,0,137
1310,0,137
1315,0,137
1320,0,137
1325,0,136
1330,0,136
1335,0,136
1340,0,137
1345,0,138
1350,0,138
1355,0,137
1360,0,137
1365,0,137
1370,0,138
1375,0,138
1380,0,138
1385,0,138
1390,0,138
1395,0,138
1400,0,137
1405,0,138
1410,0,137
1415,0,138
1420,0,137
1425,0,138
1430,0,138
1435,0,137
1440,0,138
1445,0,138
1450,0,137
1455,0,137
1460,0,137
1465,0,137
1470,0,138
1475,0,138
1480,0,138
1485,0,138
1490,0,137
1495,0,136
1500,0,136
1505,0,136
1510,0,136
1515,0,136
1520,0,137
1525,0,138
1530,0,138
1535,0,138
1540,0,138
1545,0,138
1550,0,138
1555,0,139
1560,0,140
1565,0,141
1570,0,140
1575,0,140
1580,0,140
1585,0,139
1590,0,139
1595,0,139
1600,0,138
1605,0,138
1610,0,139
1615,0,140
1620,0,139
1625,0,139
1630,0,140
1635,0,140
1640,0,141
1645,0,140
1650,0,141
1655,0,140
1660,0,140
1665,0,141
1670,0,140
1675,0,139
1680,0,138
1685,0,139
1690,0,138
1695,0,139
1700,0,141
1705,0,141
1710,0,142
1715,0,143
1720,0,143
1725,0,142
1730,0,140
1735,0,140
1740,0,140
1745,0,141
1750,0,141
1755,0,141
1760,0,142
1765,0,142
1770,0,142
1775,0,142
1780,0,142
1785,0,142
1790,0,143
1795,0,143
1800,0,143
1805,0,144
1810,0,143
1815,0,144
1820,0,144
1825,0,143
1830,0,143
1835,0,143
1840,0,144
1845,0,144
1850,0,146
1855,0,148
1860,0,145
1865,0,146
1870,0,145
1875,0,143
1880,0,141
1885,0,140
1890,0,140
1895,0,140
1900,0,140
1905,0,139
1910,0,138
1915,0,138
1920,0,139
1925,0,137
1930,0,137
1935,0,136
1940,0,136
1945,0,136
1950,0,135
1955,0,136
1960,0,136
1965,0,137
1970,0,137
1975,0,137
1980,0,138
1985,0,139
1990,0,140
1995,0,140
2000,0,141
2005,0,141
2010,0,142
2015,0,143
2020,0,144
2025,0,144
2030,0,144
2035,0,145
2040,0,144
2045,0,144
2050,0,145
2055,0,145
2060,0,146
2065,0,145
2070,0,144
2075,0,144
2080,0,145
2085,0,145
2090,0,144
2095,0,145
2100,0,145
2105,0,146
2110,0,145
2115,0,145
2120,0,146
2125,0,146
2130,0,145
2135,0,145
2140,0,145
2145,0,145
2150,0,146
2155,0,146
2160,0,147
2165,0,147
2170,0,148
2175,0,147
2180,0,147
2185,0,147
2190,0,147
2195,0,146
2200,0,147
2205,0,148
2210,0,149
2215,0,149
2220,0,149
2225,0,148
2230,0,146
2235,0,146
2240,0,145
2245,0,145
2250,0,145
2255,0,147
2260,0,147
2265,0,147
2270,0,146
2275,0,147
2280,0,146
2285,0,145
2290,0,145
2295,0,146
2300,0,146
2305,0,146
2310,0,144
2315,0,144
2320,0,144
2325,0,145
2330,0,145
2335,0,144
2340,0,143
2345,0,143
2350,0,143
2355,0,143
2360,0,144
2365,0,145
2370,0,145
2375,0,144
2380,0,144
2385,0,144
2390,0,145
2395,0,145
2400,0,144
2405,0,145
2410,0,145
2415,0,145
2420,0,145
2425,0,145
2430,0,146
2435,0,146
2440,0,146
2445,0,147
2450,0,146
2455,0,147
2460,0,148
2465,0,148
2470,0,147
2475,0,147
2480,0,147
2485,0,148
2490,0,149
2495,0,148
2500,0,148
2505,0,148
2510,0,148
2515,0,147
2520,0,147
2525,0,148
2530,0,148
2535,0,148
2540,0,147
2545,0,147
2550,0,148
2555,0,147
2560,0,147
2565,0,148
2570,0,148
2575,0,149
2580,0,147
2585,0,149
2590,0,148
2595,0,148
2600,0,148
2605,0,149
2610,0,149
2615,0,150
2620,0,149
2625,0,149
2630,0,149
2635,0,150
2640,0,150
2645,0,151
2650,0,150
2655,0,151
2660,0,150
2665,0,149
2670,0,148
2675,0,147
2680,0,146
2685,0,146
2690,0,149
2695,0,150
2700,0,150
2705,0,150
2710,0,150
2715,0,149
2720,0,149
2725,0,149
2730,0,149
2735,0,148
2740,0,148
2745,0,150
2750,0,149
2755,0,148
2760,0,148
2765,0,148
2770,0,149
2775,0,147
2780,0,147
2785,0,148
2790,0,149
2795,0,149
2800,0,147
2805,0,147
2810,0,147
2815,0,148
2820,0,147
2825,0,148
2830,0,147
2835,0,148
2840,0,148
2845,0,147
2850,0,148
2855,0,148
2860,0,147
2865,0,147
2870,0,147
2875,0,148
2880,0,149
2885,0,148
2890,0,148
2895,0,148
2900,0,149
2905,0,148
2910,0,148
2915,0,147
2920,0,148
2925,0,147
2930,0,147
2935,0,148
2940,0,147
2945,0,146
2950,0,148
2955,0,148
2960,0,148
2965,0,148
2970,0,148
2975,0,148
2980,0,149
2985,0,148
2990,0,149
2995,0,150
3000,0,148
3005,0,148
3010,0,149
3015,0,149
3020,0,150
3025,0,149
3030,0,149
3035,0,149
3040,0,149
3045,0,150
3050,0,149
3055,0,149
3060,0,150
3065,0,150
3070,0,149
3075,0,148
3080,0,148
3085,0,149
3090,0,149
3095,0,149
3100,0,149
3105,0,149
3110,0,150
3115,0,150
3120,0,149
3125,0,150
3130,0,150
3135,0,150
3140,0,148
3145,0,147
3150,0,149
3155,0,149
3160,0,149
3165,0,148
3170,0,148
3175,0,148
3180,0,148
3185,0,148
3190,0,147
3195,0,148
3200,0,148
3205,0,146
3210,0,146
3215,0,147
3220,0,147
3225,0,147
3230,0,147
3235,0,147
3240,0,148
3245,0,148
3250,0,147
3255,0,146
3260,0,148
3265,0,147
3270,0,147
3275,0,146
3280,0,147
