time,distance,lat,lng,velocity_smooth,heartrate
0,0,-22.120844,-41.536636,0,86
1,0,-22.120844,-41.536636,0,86
2,1.1,-22.120853,-41.53664,0.565,86
3,2.7,-22.120863,-41.536652,0.907,86
4,4,-22.120872,-41.536659,1.01,86
5,5.6,-22.120882,-41.536671,1.124,86
6,6.9,-22.120892,-41.536678,1.388,86
7,8.4,-22.120899,-41.53669,1.452,86
8,9.9,-22.120911,-41.536697,1.434,86
9,11.5,-22.12092,-41.536709,1.488,86
10,13,-22.120932,-41.536716,1.47,85
11,14.5,-22.120943,-41.536724,1.506,85
12,15.8,-22.120953,-41.536732,1.48,85
13,17.5,-22.120964,-41.536743,1.526,85
14,18.8,-22.120974,-41.536751,1.472,85
15,20.3,-22.120981,-41.536762,1.464,84
16,21.8,-22.120989,-41.536774,1.456,84
17,23.3,-22.120998,-41.536785,1.508,84
18,24.5,-22.121006,-41.536793,1.394,84
19,26.1,-22.121016,-41.536804,1.446,84
20,27.7,-22.121025,-41.536816,1.474,86
21,29.4,-22.121036,-41.536827,1.528,86
22,30.7,-22.121046,-41.536835,1.476,86
23,32.3,-22.121056,-41.536846,1.562,86
24,33.9,-22.121065,-41.536858,1.564,86
25,35.2,-22.121075,-41.536865,1.51,88
26,36.7,-22.121082,-41.536877,1.454,88
27,38.2,-22.121092,-41.536888,1.506,88
28,39.8,-22.121101,-41.5369,1.506,88
29,41,-22.121109,-41.536907,1.42,88
30,42.6,-22.121119,-41.536919,1.472,89
31,44,-22.121126,-41.53693,1.472,89
32,45.3,-22.121136,-41.536938,1.42,89
33,46.8,-22.121143,-41.536949,1.394,89
34,48.3,-22.121151,-41.536961,1.452,89
35,49.8,-22.12116,-41.536972,1.452,90
36,51.2,-22.12117,-41.53698,1.426,90
37,52.7,-22.12118,-41.536991,1.48,90
38,54.3,-22.121189,-41.537003,1.504,90
39,55.9,-22.121199,-41.537014,1.532,90
40,57.4,-22.12121,-41.537022,1.516,91
41,59.1,-22.121221,-41.537033,1.598,91
42,60.7,-22.121231,-41.537044,1.598,91
43,62.5,-22.121242,-41.537056,1.628,91
44,64.1,-22.121252,-41.537067,1.628,91
45,65.6,-22.121262,-41.537079,1.644,91
46,67.4,-22.121273,-41.53709,1.646,91
47,68.7,-22.121283,-41.537098,1.592,91
48,70.3,-22.121292,-41.537109,1.562,91
49,71.9,-22.121302,-41.537121,1.562,91
50,73.4,-22.121311,-41.537132,1.562,92
51,74.9,-22.121319,-41.537144,1.506,92
52,76.1,-22.121326,-41.537151,1.472,92
53,77.5,-22.121334,-41.537163,1.446,92
54,79,-22.121342,-41.537174,1.42,92
55,80.4,-22.121349,-41.537186,1.394,94
56,81.6,-22.121357,-41.537193,1.334,94
57,83,-22.121365,-41.537205,1.394,94
58,84.3,-22.121374,-41.537212,1.368,94
59,85.8,-22.121382,-41.537224,1.366,94
60,87.5,-22.121393,-41.537235,1.424,94
61,89.1,-22.121403,-41.537247,1.508,94
62,90.7,-22.121412,-41.537258,1.536,94
63,92.4,-22.121424,-41.53727,1.618,94
64,94.3,-22.121433,-41.537285,1.708,94
65,96.1,-22.121445,-41.537296,1.706,97
66,97.7,-22.121454,-41.537308,1.708,97
67,99.7,-22.121466,-41.537323,1.794,97
68,101.4,-22.121477,-41.537334,1.794,97
69,103.1,-22.121489,-41.537346,1.762,97
70,105,-22.121502,-41.537357,1.796,98
71,106.8,-22.121513,-41.537369,1.824,98
72,108.4,-22.121523,-41.53738,1.738,98
73,110.1,-22.121534,-41.537392,1.738,98
74,111.7,-22.121544,-41.537403,1.708,98
75,113.3,-22.121553,-41.537415,1.644,99
76,114.8,-22.121563,-41.537426,1.616,99
77,116.2,-22.121572,-41.537434,1.562,99
78,117.8,-22.121582,-41.537445,1.532,99
79,119.3,-22.121592,-41.537457,1.532,99
80,120.9,-22.121601,-41.537468,1.532,101
81,122.5,-22.121611,-41.537479,1.532,101
82,124.1,-22.12162,-41.537491,1.584,101
83,125.7,-22.12163,-41.537502,1.586,101
84,127.3,-22.121639,-41.537514,1.586,101
85,128.9,-22.121649,-41.537525,1.586,103
86,130.4,-22.121658,-41.537537,1.586,103
87,132.5,-22.12167,-41.537552,1.674,103
88,134.1,-22.121679,-41.537563,1.674,103
89,135.6,-22.121689,-41.537575,1.672,103
90,137.2,-22.121698,-41.537586,1.674,103
91,138.8,-22.121708,-41.537598,1.672,103
92,140.4,-22.121717,-41.537609,1.586,103
93,142,-22.121727,-41.537621,1.584,103
94,143.4,-22.121735,-41.537632,1.56,103
95,145,-22.121744,-41.537643,1.558,104
96,146.2,-22.121752,-41.537651,1.474,104
97,147.8,-22.121761,-41.537662,1.472,104
98,149.3,-22.121771,-41.537674,1.474,104
99,150.9,-22.12178,-41.537685,1.498,104
100,152.5,-22.12179,-41.537697,1.5,103
101,154.1,-22.121799,-41.537708,1.586,103
102,155.6,-22.121807,-41.53772,1.56,103
103,157.1,-22.121817,-41.537731,1.558,103
104,158.6,-22.121824,-41.537743,1.534,103
105,159.9,-22.121834,-41.53775,1.48,102
106,161.4,-22.121841,-41.537762,1.452,102
107,162.9,-22.121851,-41.537773,1.478,102
108,164.8,-22.12186,-41.537788,1.542,102
109,166.4,-22.12187,-41.5378,1.568,102
110,168.2,-22.121881,-41.537811,1.65,101
111,169.8,-22.121891,-41.537823,1.678,101
112,171.3,-22.1219,-41.537834,1.678,101
113,173.1,-22.121912,-41.537846,1.646,101
114,174.6,-22.121922,-41.537857,1.644,101
115,176.2,-22.121931,-41.537868,1.616,102
116,177.8,-22.121941,-41.53788,1.614,102
117,179.4,-22.12195,-41.537891,1.616,102
118,181,-22.12196,-41.537903,1.584,102
119,182.6,-22.121969,-41.537914,1.586,102
120,184.5,-22.121979,-41.537929,1.648,104
121,186.1,-22.121988,-41.537940999999996,1.648,104
122,187.8,-22.122,-41.537952,1.678,104
123,189.4,-22.122009,-41.537964,1.678,104
124,191.3,-22.122019,-41.537979,1.74,104
125,192.9,-22.122028,-41.537991,1.676,104
126,194.6,-22.12204,-41.538002,1.708,104
127,196.2,-22.122049,-41.538013,1.676,104
128,198.2,-22.122061,-41.538029,1.766,104
129,199.9,-22.122072,-41.53804,1.732,104
130,201.5,-22.122082,-41.538052,1.734,104
131,203.4,-22.122095,-41.538063,1.764,104
132,205.2,-22.122107,-41.538074,1.796,104
133,206.9,-22.122118,-41.538086,1.736,104
134,208.6,-22.122129,-41.538097,1.738,104
135,210.4,-22.122141,-41.538109,1.766,104
136,212.1,-22.122152,-41.53812,1.736,104
137,213.8,-22.122164,-41.538132,1.734,104
138,215.6,-22.122175,-41.538143,1.736,104
139,217.5,-22.122189,-41.538155,1.766,104
140,219.2,-22.1222,-41.538166,1.768,106
141,220.9,-22.122211,-41.538177,1.766,106
142,222.7,-22.122223,-41.538189,1.766,106
143,224.3,-22.122232,-41.5382,1.736,106
144,225.8,-22.122242,-41.538212,1.676,106
145,227.5,-22.122248,-41.538227,1.666,107
146,229.1,-22.12225,-41.538242,1.638,107
147,231.1,-22.122251,-41.538261,1.686,107
148,232.7,-22.122248,-41.538277,1.694,107
149,234.4,-22.122244,-41.538292,1.702,107
150,236.1,-22.122236,-41.538307,1.722,104
151,237.9,-22.122229,-41.538322,1.76,104
152,239.8,-22.122219,-41.538338,1.746,104
153,241.6,-22.122208,-41.538349,1.766,104
154,243.1,-22.122198,-41.538361,1.758,104
155,244.7,-22.122189,-41.538372,1.716,103
156,246.6,-22.122179,-41.538387,1.74,103
157,248.2,-22.122169,-41.538399,1.678,103
158,249.8,-22.12216,-41.53841,1.648,103
159,251.7,-22.12215,-41.538425,1.71,103
160,253.6,-22.122141,-41.538441,1.772,105
161,255.2,-22.122131,-41.538452,1.71,105
162,257,-22.122124,-41.538467,1.75,105
163,258.7,-22.122116,-41.538483,1.79,105
164,260.2,-22.122108,-41.538494,1.7,105
165,262,-22.122101,-41.538509,1.68,104
166,263.4,-22.122093,-41.538521,1.652,104
167,265.2,-22.122086,-41.538536,1.652,104
168,266.8,-22.122076,-41.538547,1.612,104
169,268.3,-22.122068,-41.538559,1.614,104
170,270.1,-22.122059,-41.538574,1.634,105
171,271.6,-22.122051,-41.538586,1.634,105
172,273.2,-22.122042,-41.538597,1.594,105
173,274.8,-22.122032,-41.538609,1.596,105
174,276.2,-22.122025,-41.53862,1.594,105
175,277.8,-22.122015,-41.538631,1.532,103
176,279.4,-22.122005,-41.538643,1.56,103
177,280.9,-22.121998,-41.538654,1.532,103
178,282.4,-22.121988,-41.538666,1.532,103
179,284.3,-22.121979,-41.538681,1.62,103
180,285.9,-22.121969,-41.538692,1.622,102
181,287.6,-22.121958,-41.538704,1.65,102
182,289.5,-22.121948,-41.538719,1.74,102
183,291.1,-22.121939,-41.538731,1.74,102
184,292.7,-22.121929,-41.538742,1.678,102
185,294.6,-22.12192,-41.538757,1.74,103
186,296.2,-22.12191,-41.538769,1.71,103
187,298.1,-22.1219,-41.538784,1.71,103
188,299.7,-22.121891,-41.538795,1.708,103
189,301.4,-22.12188,-41.538807,1.74,103
190,302.7,-22.12187,-41.538815,1.624,103
191,304.5,-22.121859,-41.538826,1.654,103
192,306.1,-22.121849,-41.538837,1.592,103
193,307.5,-22.121841,-41.538849,1.566,103
194,309,-22.121834,-41.53886,1.508,103
195,310.3,-22.121824,-41.538868,1.508,105
196,311.7,-22.121817,-41.538879,1.454,105
197,313.2,-22.121809,-41.538891,1.426,105
198,315,-22.121801,-41.538906,1.494,105
199,316.4,-22.121794,-41.538917,1.494,105
200,318,-22.121784,-41.538929,1.546,105
201,319.6,-22.121775,-41.53894,1.572,105
202,321.2,-22.121765,-41.538952,1.598,105
203,322.8,-22.121756,-41.538963,1.558,105
204,324.2,-22.121748,-41.538975,1.558,105
205,325.8,-22.121738,-41.538986,1.56,103
206,327.4,-22.121729,-41.538998,1.558,103
207,328.9,-22.121721,-41.539009,1.534,103
208,330.6,-22.121714,-41.539024,1.572,103
209,332.2,-22.121704,-41.539036,1.6,103
210,333.7,-22.121696,-41.539047,1.572,103
211,335.3,-22.121687,-41.539059,1.574,103
212,336.8,-22.121677,-41.53907,1.598,103
213,338.9,-22.121666,-41.539085,1.646,103
214,340.5,-22.121656,-41.539097,1.646,103
215,342.2,-22.121645,-41.539108,1.702,103
216,343.8,-22.121635,-41.53912,1.702,103
217,345.7,-22.121626,-41.539135,1.766,103
218,347.3,-22.121616,-41.539146,1.678,103
219,348.8,-22.121607,-41.539158,1.678,103
220,350.6,-22.121595,-41.539169,1.678,102
221,352.2,-22.121586,-41.539181,1.678,102
222,353.9,-22.121574,-41.539192,1.644,102
223,355.6,-22.121563,-41.539204,1.676,102
224,357.1,-22.121551,-41.539211,1.656,102
225,358.9,-22.12154,-41.539223,1.658,101
226,360.6,-22.121529,-41.539234,1.686,101
227,362.2,-22.121519,-41.539246,1.658,101
228,363.9,-22.121508,-41.539257,1.656,101
229,365.5,-22.121498,-41.539268,1.676,101
230,367.4,-22.121489,-41.539284,1.706,102
231,369,-22.121479,-41.539295,1.678,102
232,370.6,-22.121469,-41.539307,1.676,102
233,372.5,-22.12146,-41.539322,1.71,102
234,374.2,-22.121448,-41.539333,1.74,102
235,376.1,-22.121439,-41.539349,1.74,102
236,377.7,-22.121429,-41.53936,1.74,102
237,379.4,-22.121418,-41.539371,1.77,102
238,381.3,-22.121408,-41.539387,1.77,102
239,382.9,-22.121399,-41.539398,1.738,102
240,384.4,-22.121391,-41.53941,1.652,102
241,385.9,-22.121382,-41.539421,1.65,102
242,387.7,-22.121374,-41.539436,1.662,102
243,389.3,-22.121365,-41.539448,1.598,102
244,391.1,-22.121357,-41.539463,1.64,102
245,392.7,-22.121347,-41.539474,1.666,103
246,394.5,-22.12134,-41.53949,1.706,103
247,396.4,-22.12133,-41.539505,1.728,103
248,397.9,-22.121321,-41.539516,1.728,103
249,399.8,-22.121311,-41.539532,1.75,103
250,401.6,-22.1213,-41.539543,1.778,103
251,403.6,-22.121288,-41.539558,1.828,103
252,405.3,-22.121277,-41.53957,1.794,103
253,407.4,-22.121265,-41.539585,1.882,103
254,409.1,-22.121254,-41.539596,1.85,103
255,411,-22.121244,-41.539612,1.882,102
256,412.7,-22.121233,-41.539623,1.824,102
257,414.5,-22.121225,-41.539638,1.834,102
258,416.1,-22.121216,-41.53965,1.748,102
259,417.7,-22.121206,-41.539661,1.718,102
260,419.1,-22.121199,-41.539673,1.63,102
261,420.7,-22.121189,-41.539684,1.598,102
262,422.2,-22.121181,-41.539696,1.534,102
263,423.6,-22.121174,-41.539707,1.506,102
264,425.4,-22.121166,-41.539722,1.544,102
265,426.9,-22.121159,-41.539734,1.546,105
266,428.3,-22.121151,-41.539745,1.52,105
267,429.9,-22.121141,-41.539757,1.544,105
268,431.4,-22.121134,-41.539768,1.546,105
269,432.9,-22.121124,-41.53978,1.506,105
270,434.5,-22.121115,-41.539791,1.532,105
271,436,-22.121107,-41.539803,1.532,105
272,437.6,-22.121097,-41.539814,1.534,105
273,439.5,-22.121088,-41.539829,1.62,105
274,441.2,-22.121077,-41.539841,1.652,105
275,442.8,-22.121067,-41.539852,1.65,107
276,444.5,-22.121056,-41.539864,1.708,107
277,446.2,-22.121044,-41.539875,1.736,107
278,448.3,-22.121033,-41.53989,1.762,107
279,450,-22.121021,-41.539902,1.762,107
280,452,-22.12101,-41.539917,1.85,106
281,453.8,-22.120998,-41.539928,1.85,106
282,455.6,-22.120989,-41.539944,1.882,106
283,457.5,-22.120979,-41.539959,1.858,106
284,459.1,-22.12097,-41.53997,1.826,106
285,460.9,-22.120962,-41.539986,1.78,105
286,462.8,-22.120953,-41.540001,1.812,105
287,464.4,-22.120943,-41.540012,1.75,105
288,465.9,-22.120935,-41.540024,1.66,105
289,467.8,-22.120926,-41.540039,1.724,105
290,469.3,-22.120916,-41.54005,1.684,106
291,470.9,-22.120907,-41.540062,1.62,106
292,472.5,-22.120897,-41.540073,1.622,106
293,474.4,-22.120888,-41.540089,1.71,106
294,476,-22.120878,-41.5401,1.648,106
295,477.6,-22.120869,-41.540111,1.646,107
296,479.2,-22.120859,-41.540123,1.648,107
297,481.1,-22.12085,-41.540138,1.71,107
298,482.6,-22.12084,-41.54015,1.648,107
299,484.2,-22.120831,-41.540161,1.648,107
300,486,-22.120819,-41.540173,1.678,105
301,487.9,-22.120809,-41.540188,1.74,105
302,489.4,-22.1208,-41.540199,1.676,105
303,491.3,-22.12079,-41.540214,1.74,105
304,493.2,-22.120781,-41.54023,1.802,105
305,494.8,-22.120771,-41.540241,1.772,104
306,496.7,-22.120762,-41.540256,1.772,104
307,498.2,-22.120754,-41.540268,1.746,104
308,500.1,-22.120745,-41.540283,1.746,104
309,501.9,-22.120737,-41.540298,1.722,104
310,503.4,-22.120728,-41.54031,1.724,106
311,505.3,-22.120718,-41.540325,1.722,106
312,507.2,-22.120708,-41.54034,1.812,106
313,509.1,-22.120699,-41.540356,1.812,106
314,510.7,-22.120689,-41.540367,1.772,106
315,512.6,-22.12068,-41.540382,1.834,105
316,514.3,-22.120668,-41.540394,1.802,105
317,515.9,-22.120659,-41.540405,1.74,105
318,517.5,-22.120649,-41.540417,1.676,105
319,519.4,-22.12064,-41.540432,1.74,105
320,521,-22.12063,-41.540443,1.678,105
321,522.6,-22.120621,-41.540455,1.648,105
322,524.5,-22.120611,-41.54047,1.71,105
323,526.1,-22.120602,-41.540482,1.71,105
324,528,-22.120592,-41.540497,1.71,105
