time,distance,velocity_smooth,heartrate,cadence
0,0,0,81,0
5,0,0,81,0
10,0,0,86,0
15,0,0,94,69
20,0,0,97,69
25,0,0,96,66
30,23,2.3,95,67
35,23,2.3,94,66
40,23,0,94,67
45,23,0,91,62
50,23,0,89,31
55,23,0,89,31
60,23,0,89,69
65,23,0,90,69
70,23,0,86,66
75,23,0,90,63
80,23,0,93,59
85,23,0,94,63
90,110,8.7,95,63
95,110,8.7,94,63
100,110,0,94,67
105,110,0,93,68
110,110,0,94,69
115,110,0,96,79
120,110,0,96,82
125,110,0,97,82
130,110,0,97,82
135,110,0,99,84
140,110,0,101,83
145,110,0,99,83
150,233,0,102,83
155,233,12.3,103,84
160,233,0,105,83
165,233,0,105,83
170,233,0,105,83
175,233,0,105,84
180,233,0,107,83
185,233,0,106,83
190,233,0,107,83
195,233,0,107,83
200,233,0,107,83
205,233,0,107,83
210,354,0,107,84
215,354,12.1,108,84
220,354,0,109,84
225,354,0,108,84
230,354,0,109,84
235,354,0,111,85
240,354,0,112,85
245,354,0,114,86
250,354,0,115,86
255,354,0,116,86
260,354,0,116,87
265,354,0,116,86
270,477,0,114,87
275,477,12.3,117,87
280,477,0,117,86
285,477,0,118,86
290,477,0,118,87
295,477,0,118,87
300,477,0,119,87
305,477,0,120,86
310,477,0,119,87
315,477,0,119,87
320,477,0,119,87
325,477,0,119,87
330,603,0,119,87
335,603,12.6,119,87
340,603,0,119,87
345,603,0,119,87
350,603,0,118,87
355,603,0,120,87
360,603,0,122,87
365,603,0,123,87
370,603,0,124,88
375,603,0,124,88
380,603,0,125,88
385,603,0,126,88
390,735,0,127,88
395,735,13.2,127,88
400,735,0,128,89
405,735,0,129,89
410,735,0,129,89
415,735,0,128,89
420,735,0,128,89
425,735,0,129,89
430,735,0,129,89
435,735,0,130,89
440,735,0,131,88
445,735,0,131,88
450,870,0,132,88
455,870,13.5,132,88
460,870,0,131,88
465,870,0,131,88
470,870,0,131,88
475,870,0,131,87
480,870,0,132,87
485,870,0,131,87
490,870,0,131,88
495,870,0,130,88
500,870,0,132,88
505,870,0,131,87
510,1006,0,132,88
515,1006,13.6,132,88
520,1006,0,133,87
525,1006,0,132,87
530,1006,0,132,87
535,1006,0,132,87
540,1006,0,132,87
545,1006,0,132,87
550,1006,0,131,87
555,1006,0,132,88
560,1006,0,133,88
565,1006,0,132,88
570,1139,0,130,88
575,1139,13.3,130,88
580,1139,0,130,87
585,1139,0,132,88
590,1139,0,131,88
595,1139,0,130,88
600,1139,0,130,88
605,1139,0,130,87
610,1139,0,131,87
615,1139,0,130,87
620,1139,0,132,87
625,1139,0,131,88
630,1268,0,132,88
635,1268,12.9,133,86
640,1268,0,132,87
645,1268,0,130,87
650,1268,0,130,87
655,1268,0,130,87
660,1268,0,131,88
665,1268,0,131,88
670,1268,0,131,88
675,1268,0,132,88
680,1268,0,133,87
685,1268,0,133,87
690,1399,0,133,87
695,1399,13.1,133,88
700,1399,0,132,88
705,1399,0,131,87
710,1399,0,132,87
715,1399,0,133,87
720,1399,0,133,87
725,1399,0,134,87
730,1399,0,133,86
735,1399,0,133,86
740,1399,0,134,86
745,1399,0,135,86
750,1524,0,136,86
755,1524,12.5,135,86
760,1524,0,135,86
765,1524,0,134,85
770,1524,0,134,86
775,1524,0,134,85
780,1524,0,134,86
785,1524,0,134,85
790,1524,0,133,85
795,1524,0,134,86
800,1524,0,135,85
805,1524,0,134,85
810,1647,0,135,85
815,1647,12.3,135,85
820,1647,0,134,85
825,1647,0,135,84
830,1647,0,135,85
835,1647,0,135,86
840,1647,0,136,86
845,1647,0,135,85
850,1647,0,135,86
855,1647,0,135,86
860,1647,0,134,87
865,1647,0,134,86
870,1774,0,135,86
875,1774,12.7,135,87
880,1774,0,135,87
885,1774,0,136,86
890,1774,0,136,86
895,1774,0,136,85
900,1774,0,135,86
905,1774,0,134,85
910,1774,0,133,85
915,1774,0,132,85
920,1774,0,132,84
925,1774,0,132,84
930,1897,0,130,84
935,1897,12.3,129,84
940,1897,0,128,84
945,1897,0,127,84
950,1897,0,128,83
955,1897,0,128,84
960,1897,0,127,84
965,1897,0,128,84
970,1897,0,130,84
975,1897,0,130,84
980,1897,0,129,83
985,1897,0,128,84
990,2012,0,127,84
995,2012,11.5,127,83
1000,2012,0,127,83
1005,2012,0,127,84
1010,2012,0,127,83
1015,2012,0,127,83
1020,2012,0,126,82
1025,2012,0,125,82
1030,2012,0,126,81
1035,2012,0,126,81
1040,2012,0,126,81
1045,2012,0,125,80
1050,2118,0,126,80
1055,2118,10.6,125,79
1060,2118,0,123,80
1065,2118,0,122,79
1070,2118,0,120,80
1075,2118,0,120,80
1080,2118,0,119,81
1085,2118,0,118,81
1090,2118,0,117,81
1095,2118,0,117,81
1100,2118,0,117,81
1105,2118,0,117,81
1110,2238,0,118,81
1115,2238,12,118,82
1120,2238,0,118,81
1125,2238,0,119,81
1130,2238,0,118,79
1135,2238,0,117,78
1140,2238,0,117,76
1145,2238,0,115,75
1150,2238,0,113,74
1155,2238,0,113,73
1160,2238,0,113,66
1165,2238,0,111,67
1170,2300,6.2,111,66
1175,2300,6.2,113,59
1180,2300,0,110,57
1185,2300,0,110,69
