time,distance,lat,lng,velocity_smooth,heartrate
0,0,-22.397335000000002,-41.786541,0,83
5,0,-22.397335000000002,-41.786541,0,83
6,0,-22.397335000000002,-41.786541,0,83
7,0.9,-22.397331,-41.786533,0.129,83
8,1.8,-22.397327,-41.786526,0.225,83
9,2.8,-22.397322,-41.786518,0.311,83
10,4.1,-22.397316,-41.786507,0.82,87
11,5.9,-22.397308,-41.786491,1.18,87
12,7.4,-22.397301,-41.78648,1.3,87
13,9.1,-22.397293,-41.786465,1.46,87
14,11,-22.397284,-41.786449,1.64,87
15,13.2,-22.397276,-41.78643,1.82,92
16,15.1,-22.397266,-41.786415,1.84,92
17,17,-22.397257,-41.7864,1.92,92
18,18.9,-22.397247,-41.786385,1.96,92
19,21.1,-22.397238,-41.786365,2.02,92
20,23,-22.397228,-41.78635,1.96,93
21,25,-22.397217,-41.786335,1.98,93
22,27.2,-22.397207,-41.786316,2.04,93
23,29.1,-22.397198,-41.786301,2.04,93
24,31,-22.397188,-41.786285,1.98,93
25,32.9,-22.397179,-41.78627,1.98,95
26,34.8,-22.397169,-41.786255,1.96,95
27,36.7,-22.397159,-41.78624,1.9,95
28,38.9,-22.39715,-41.78622,1.96,95
29,40.8,-22.39714,-41.786205,1.96,95
30,42.7,-22.397131,-41.78619,1.96,97
31,44.9,-22.397121,-41.786171,2.02,97
32,46.8,-22.397112,-41.786156,2.02,97
33,48.9,-22.3971,-41.78614,2,97
34,51.1,-22.397091,-41.786121,2.06,97
35,53.1,-22.397079,-41.786106,2.08,97
36,55.3,-22.39707,-41.786087,2.08,97
38,57.4,-22.397058,-41.786072,1.7,97
39,59.7,-22.397047,-41.786053,1.72,97
40,61.6,-22.397037,-41.786037,1.7,98
41,63.9,-22.397026,-41.786018,1.72,98
42,65.9,-22.397015,-41.786003,1.767,98
43,68,-22.397003,-41.785988,2.12,98
44,70,-22.396992,-41.785973,2.06,98
45,72.1,-22.396978,-41.785957,2.1,97
46,74.5,-22.396967,-41.785938,2.12,97
47,76.5,-22.396955,-41.785923,2.12,97
48,78.4,-22.396946,-41.785908,2.08,97
49,80.7,-22.396934,-41.785889,2.14,97
50,82.8,-22.396923,-41.785873,2.14,98
51,84.8,-22.396912,-41.785858,2.06,98
52,86.9,-22.396898,-41.785843,2.08,98
53,89.1,-22.396885,-41.785828,2.14,98
54,91,-22.396871,-41.785816,2.06,98
55,93.2,-22.396858,-41.785801,2.08,98
56,95,-22.396845,-41.785789,2.04,98
57,97.2,-22.396832,-41.785774,2.06,98
58,99.1,-22.396818,-41.785763,2,98
59,101,-22.396805,-41.785751,2,98
60,103.2,-22.396791,-41.785736,2,102
61,104.9,-22.39678,-41.785725,1.98,102
62,107,-22.396767,-41.785709,1.96,102
63,108.9,-22.396753,-41.785698,1.96,102
64,111.1,-22.39674,-41.785683,2.02,102
65,112.8,-22.396728,-41.785671,1.92,102
66,115,-22.396715,-41.785656,2.02,102
67,116.9,-22.396702,-41.785644,1.98,102
68,118.6,-22.39669,-41.785633,1.94,102
69,120.6,-22.396679,-41.785618,1.9,102
70,122.7,-22.396667,-41.785602,1.98,101
71,124.6,-22.396658,-41.785587,1.92,101
72,126.3,-22.39665,-41.785572,1.88,101
73,128.5,-22.396643,-41.785553,1.98,101
74,130.3,-22.396635,-41.785538,1.94,101
75,132.3,-22.396629,-41.785519,1.92,103
76,134.4,-22.396624,-41.7855,1.96,103
