time,distance,lat,lng,velocity_smooth,heartrate
0,0,-22.904978,-43.114681,0,101
1,0,-22.904978,-43.114681,0,101
2,2.2,-22.904997,-43.114677,1.08,101
3,5.6,-22.905025,-43.114666,1.85,101
4,8.4,-22.905048,-43.114654,2.088,101
5,11.4,-22.905069,-43.114635,2.278,101
6,14.7,-22.90509,-43.114613,2.94,101
7,17.9,-22.905109,-43.11459,3.14,101
8,21.2,-22.905127,-43.114563,3.13,101
9,24.4,-22.905142,-43.114536,3.212,101
10,27.4,-22.905159,-43.114513,3.21,105
11,30.8,-22.905176,-43.114487,3.214,105
12,33.8,-22.905193,-43.114464,3.188,105
13,36.7,-22.905209,-43.114441,3.098,105
14,39.6,-22.905224,-43.114418,3.034,105
15,42.9,-22.905241,-43.114391,3.096,111
16,45.7,-22.905254,-43.114368,2.984,111
17,48.9,-22.90527,-43.114342,3.022,111
18,51.8,-22.905285,-43.114319,3.024,111
19,54.7,-22.9053,-43.114296,3.024,111
20,57.6,-22.905315,-43.114273,2.934,115
21,60.6,-22.905332,-43.11425,2.986,115
22,63.5,-22.905352,-43.114231,2.918,115
23,66.3,-22.905373,-43.114216,2.9,115
24,69.1,-22.905394,-43.114201,2.884,115
25,72.1,-22.905416,-43.114185,2.902,118
26,75.1,-22.905439,-43.11417,2.894,118
27,78.1,-22.905462,-43.114155,2.916,118
28,81.1,-22.905485,-43.11414,2.95,118
29,84.1,-22.905508,-43.114124,2.986,118
30,86.9,-22.905529,-43.114109,2.952,121
31,89.7,-22.90555,-43.114094,2.916,121
32,92.6,-22.905569,-43.114075,2.894,121
33,95.2,-22.905588,-43.114059,2.826,121
34,97.8,-22.905607,-43.114044,2.754,121
35,100.4,-22.905626,-43.114029,2.718,124
36,102.9,-22.905643,-43.114014,2.65,124
37,105.4,-22.905661,-43.113998,2.568,124
38,107.9,-22.905678,-43.113983,2.534,124
39,110.6,-22.905695,-43.113964,2.554,124
40,113.1,-22.905712,-43.113949,2.52,127
41,115.8,-22.905729,-43.11393,2.572,127
42,118.4,-22.905745,-43.113911,2.596,127
43,121.4,-22.905762,-43.113888,2.708,127
44,124.3,-22.905777,-43.113865,2.74,127
45,127.2,-22.905792,-43.113842,2.826,130
46,130.1,-22.905807,-43.113819,2.86,130
47,133,-22.905823,-43.113796,2.92,130
48,136.1,-22.905836,-43.113769,2.936,130
49,139.1,-22.905853,-43.113747,2.964,130
50,142,-22.905869,-43.113724,2.964,134
51,145,-22.905886,-43.113701,2.988,134
52,148.2,-22.905905,-43.113678,3.042,134
53,150.6,-22.905922,-43.113663,2.914,134
54,153.5,-22.905941,-43.113644,2.886,134
55,156,-22.905958,-43.113628,2.8,137
56,158.7,-22.905975,-43.113609,2.742,137
57,161.4,-22.905994,-43.113594,2.638,137
58,164.1,-22.906012,-43.113575,2.69,137
59,166.7,-22.906031,-43.11356,2.638,137
60,169.6,-22.90605,-43.113541,2.724,139
61,172.3,-22.906069,-43.113525,2.704,139
62,174.9,-22.906088,-43.11351,2.704,139
63,177.5,-22.906107,-43.113495,2.684,139
64,180,-22.906124,-43.11348,2.652,139
65,182.9,-22.906143,-43.11346,2.65,141
66,185.2,-22.906158,-43.113445,2.586,141
67,187.9,-22.906176,-43.113426,2.604,141
68,190.5,-22.906191,-43.113407,2.596,141
69,193.1,-22.906206,-43.113388,2.62,141
70,195.8,-22.906223,-43.113369,2.59,142
71,198.4,-22.906238,-43.11335,2.644,142
72,201.1,-22.906256,-43.113331,2.646,142
73,204,-22.906271,-43.113308,2.706,142
74,206.9,-22.90629,-43.113289,2.764,142
75,209.8,-22.906309,-43.11327,2.796,145
76,213,-22.906328,-43.113247,2.912,145
77,215.8,-22.906347,-43.113228,2.94,145
78,219,-22.906366,-43.113205,2.994,145
79,222.3,-22.906387,-43.113182,3.08,145
80,225.2,-22.906406,-43.113163,3.078,147
81,228.2,-22.906424,-43.11314,3.052,147
82,231.1,-22.906443,-43.113121,3.052,147
83,233.8,-22.90646,-43.113102,2.966,147
84,236.3,-22.906477,-43.113087,2.798,147
85,239,-22.906494,-43.113068,2.768,150
86,241.3,-22.906509,-43.113052,2.624,150
87,244.1,-22.906526,-43.113033,2.594,150
88,246.8,-22.906544,-43.113014,2.594,150
89,249.3,-22.906561,-43.112999,2.594,150
90,251.7,-22.906578,-43.112984,2.54,151
91,254.5,-22.906595,-43.112965,2.624,151
92,256.9,-22.906612,-43.112949,2.572,151
93,259.4,-22.90663,-43.112934,2.52,151
94,262.1,-22.906647,-43.112915,2.572,151
95,265.1,-22.906664,-43.112892,2.684,151
96,267.9,-22.906681,-43.112873,2.684,151
97,270.9,-22.906698,-43.11285,2.796,151
98,273.9,-22.906715,-43.112827,2.906,151
99,277.1,-22.906734,-43.112804,2.992,151
100,280.1,-22.906752,-43.112781,2.994,156
101,283.1,-22.906769,-43.112759,3.052,156
102,285.9,-22.906786,-43.112739,2.992,156
103,288.9,-22.906803,-43.112717,2.992,156
104,291.5,-22.906818,-43.112698,2.878,156
105,294.2,-22.906836,-43.112678,2.818,157
106,296.7,-22.906853,-43.112663,2.708,157
107,299.4,-22.90687,-43.112644,2.708,157
108,302.1,-22.906887,-43.112625,2.65,157
109,305,-22.906906,-43.112606,2.708,157
110,307.7,-22.906925,-43.112591,2.69,158
111,310.5,-22.906946,-43.112575,2.758,158
112,312.9,-22.906963,-43.11256,2.704,158
113,315.6,-22.906982,-43.112545,2.686,158
114,317.9,-22.906998,-43.11253,2.572,158
115,320,-22.907011,-43.112514,2.474,159
116,322.3,-22.907026,-43.112499,2.374,159
117,324.5,-22.90704,-43.112484,2.312,159
118,326.5,-22.907051,-43.112469,2.188,159
119,328.7,-22.907064,-43.112453,2.158,159
120,330.8,-22.907078,-43.112438,2.158,158
121,332.7,-22.907091,-43.112427,2.074,158
122,334.4,-22.907104,-43.112419,1.98,158
123,336.1,-22.907118,-43.112411,1.912,158
124,337.6,-22.907131,-43.112408,1.786,158
125,339.1,-22.907144,-43.112404,1.664,158
126,340.5,-22.907156,-43.1124,1.552,158
127,342.2,-22.907171,-43.1124,1.556,158
128,343.7,-22.907185,-43.112396,1.526,158
129,345.2,-22.907198,-43.112392,1.528,158
130,346.6,-22.907209,-43.112389,1.486,157
131,347.9,-22.907221,-43.112385,1.486,157
132,349.2,-22.907232,-43.112381,1.412,157
133,350.2,-22.90724,-43.112377,1.292,157
134,351,-22.907248,-43.112377,1.154,157
135,352,-22.907255,-43.112373,1.076,155
136,352.7,-22.907261,-43.11237,0.958,155
137,353.7,-22.907267,-43.112362,0.894,155
138,354.6,-22.907274,-43.112358,0.894,155
139,355.8,-22.907282,-43.11235,0.956,155
140,356.9,-22.907289,-43.112343,0.998,152
141,358.1,-22.907297,-43.112335,1.08,152
142,359.3,-22.907305,-43.112328,1.11,152
143,360.4,-22.907312,-43.11232,1.154,152
144,361.3,-22.90732,-43.112316,1.11,152
145,362.5,-22.907328,-43.112308,1.11,147
146,363.2,-22.907333,-43.112305,1.03,147
147,364.4,-22.907341,-43.112297,1.028,147
148,365.1,-22.907347,-43.112293,0.948,147
149,365.9,-22.907352,-43.112289,0.908,147
150,367,-22.90736,-43.112282,0.91,142
151,368,-22.907366,-43.112274,0.96,142
152,369,-22.907371,-43.112266,0.932,142
153,370.1,-22.907377,-43.112259,0.984,142
154,371,-22.907381,-43.112251,1.014,142
155,372.3,-22.907387,-43.11224,1.048,140
156,373.6,-22.907392,-43.112228,1.116,140
157,374.6,-22.907398,-43.112221,1.114,140
158,376.1,-22.907406,-43.112209,1.202,140
159,377.4,-22.907412,-43.112198,1.29,140
160,378.7,-22.907421,-43.11219,1.288,137
161,379.9,-22.907429,-43.112183,1.25,137
162,381.4,-22.90744,-43.112175,1.35,137
163,382.9,-22.907452,-43.112167,1.358,137
164,384.4,-22.907465,-43.112163,1.4,137
165,385.9,-22.907478,-43.11216,1.442,133
166,387.5,-22.907492,-43.112156,1.52,133
167,389.2,-22.907507,-43.112152,1.568,133
168,391,-22.907522,-43.112148,1.618,133
169,392.5,-22.907536,-43.112144,1.616,133
170,394,-22.907549,-43.112141,1.618,131
171,395.7,-22.907562,-43.112133,1.646,131
172,397.2,-22.907576,-43.112129,1.604,131
173,398.6,-22.907587,-43.112125,1.522,131
174,400.2,-22.9076,-43.112118,1.552,131
175,401.6,-22.90761,-43.11211,1.508,128
176,402.9,-22.907621,-43.112106,1.438,128
177,404.2,-22.907631,-43.112099,1.396,128
178,405.4,-22.907639,-43.112091,1.36,128
179,406.5,-22.907646,-43.112083,1.254,128
180,407.3,-22.907652,-43.11208,1.14,121
181,408.4,-22.907659,-43.112072,1.104,121
182,409.4,-22.907665,-43.112064,1.042,121
183,410.4,-22.907671,-43.112057,1.014,121
184,411.6,-22.907679,-43.112049,1.014,121
185,412.6,-22.907684,-43.112041,1.066,122
186,414,-22.907692,-43.11203,1.126,122
187,415,-22.907698,-43.112022,1.124,122
188,416.6,-22.907707,-43.112011,1.24,122
189,418.1,-22.907715,-43.111999,1.298,122
190,419.8,-22.907726,-43.111988,1.442,119
191,421.7,-22.907736,-43.111973,1.53,119
192,423.4,-22.907747,-43.111961,1.676,119
193,425.1,-22.907759,-43.11195,1.704,119
194,427.2,-22.90777,-43.111935,1.82,119
195,429.3,-22.907783,-43.111919,1.904,118
196,431.3,-22.907795,-43.111904,1.93,118
197,433.4,-22.907806,-43.111889,1.986,118
198,435.1,-22.907818,-43.111877,1.986,118
199,436.7,-22.907827,-43.111866,1.898,118
200,438,-22.907837,-43.111858,1.732,116
201,439.6,-22.907846,-43.111847,1.644,116
202,440.9,-22.907856,-43.111839,1.506,116
203,442.2,-22.907866,-43.111832,1.424,116
204,443.6,-22.907873,-43.11182,1.396,116
205,445,-22.907883000000002,-43.111813,1.396,116
206,446.5,-22.907892,-43.111801,1.396,116
207,448.3,-22.907904,-43.11179,1.478,116
208,449.9,-22.907913,-43.111778,1.53,116
209,451.4,-22.907925,-43.111771,1.542,116
210,452.9,-22.907934,-43.111759,1.594,115
211,454.5,-22.907944,-43.111748,1.594,115
212,456.1,-22.907953,-43.111736,1.564,115
213,457.7,-22.907963,-43.111725,1.564,115
