time,velocity_smooth,heartrate,cadence
0,0,96,76
5,0,96,76
10,0,96,82
15,0,96,85
20,0,99,85
25,0,102,86
30,0,102,88
35,0,105,87
40,0,108,87
45,0,110,87
50,0,112,87
55,0,111,87
60,0,114,88
65,0,115,88
70,0,116,88
75,0,117,88
80,0,119,88
85,0,123,88
90,0,123,89
95,0,124,89
100,0,126,89
105,0,126,89
110,0,127,89
115,0,128,89
120,0,129,89
125,0,131,89
130,0,131,90
135,0,132,89
140,0,132,89
145,0,133,89
150,0,134,89
155,0,132,89
160,0,133,89
165,0,133,89
170,0,132,89
175,0,132,89
180,0,133,89
185,0,131,88
190,0,132,89
195,0,134,89
200,0,135,89
205,0,133,89
210,0,133,89
215,0,132,89
220,0,133,89
225,0,134,89
230,0,133,89
235,0,134,89
240,0,133,89
245,0,133,89
250,0,132,89
255,0,133,89
260,0,135,89
265,0,135,89
270,0,133,88
275,0,135,88
280,0,135,88
285,0,133,89
290,0,135,88
295,0,136,88
300,0,136,88
305,0,135,88
310,0,135,89
315,0,135,89
320,0,136,89
325,0,136,89
330,0,135,88
335,0,135,88
340,0,136,88
345,0,135,88
350,0,136,88
355,0,135,88
360,0,135,88
365,0,136,88
370,0,135,88
375,0,135,87
380,0,135,87
385,0,136,87
390,0,136,88
395,0,136,88
400,0,136,87
405,0,136,87
410,0,136,87
415,0,136,86
420,0,136,87
425,0,136,87
430,0,136,86
435,0,137,87
440,0,138,87
445,0,138,87
450,0,137,87
455,0,137,87
460,0,137,87
465,0,137,87
470,0,138,87
475,0,137,87
480,0,137,87
485,0,137,87
490,0,137,87
495,0,137,87
500,0,138,87
505,0,139,88
510,0,138,87
515,0,139,87
520,0,138,87
525,0,138,87
530,0,138,87
535,0,138,87
540,0,138,88
545,0,139,88
550,0,139,88
555,0,138,88
560,0,138,87
565,0,138,87
570,0,139,88
575,0,138,88
580,0,138,88
585,0,137,88
