time,distance,velocity_smooth,heartrate,cadence
0,0,0,99,0
5,0,0,99,0
10,0,0,104,0
15,0,0,108,57
20,0,0,112,60
25,0,0,114,63
30,0,0,118,63
35,0,0,121,66
40,0,0,123,66
45,0,0,125,66
50,0,0,127,69
52,80,0,127,69
55,80,0,129,79
60,80,0,132,85
65,80,0,134,88
70,80,0,135,88
75,80,0,134,88
80,80,0,113,87
85,80,0,107,87
90,80,0,103,87
95,80,0,102,87
100,80,0,103,87
105,80,0,103,88
110,80,0,104,88
112,216,0,104,88
115,216,0,106,88
120,216,0,106,87
125,216,0,107,87
130,216,0,108,87
135,216,0,108,88
140,216,0,109,87
145,216,0,110,87
150,216,0,109,86
155,216,0,112,86
160,216,0,110,86
165,216,0,111,86
170,216,0,112,86
172,338,0,112,86
175,338,0,113,86
180,338,0,115,86
185,338,0,113,86
190,338,0,112,86
195,338,0,112,86
200,338,0,113,85
205,338,0,113,85
210,338,0,113,85
215,338,0,113,85
220,338,0,112,85
225,338,0,111,84
230,338,0,114,85
232,456,0,114,85
235,456,0,119,84
240,456,0,118,85
245,456,0,117,85
250,456,0,117,85
255,456,0,117,84
260,456,0,118,84
265,456,0,119,85
270,456,0,118,84
275,456,0,118,84
280,456,0,118,85
285,456,0,118,84
290,456,0,119,84
292,572,0,119,84
295,572,0,120,84
300,572,0,119,84
305,572,0,121,85
310,572,0,121,84
315,572,0,120,85
320,572,0,118,85
325,572,0,120,85
330,572,0,119,85
335,572,0,119,85
340,572,0,121,85
345,572,0,123,86
350,572,0,123,86
352,691,0,123,86
355,691,0,125,85
360,691,0,125,86
365,691,0,126,86
370,691,0,127,86
375,691,0,129,86
380,691,0,126,86
385,691,0,126,86
390,691,0,125,86
395,691,0,127,86
400,691,0,128,86
405,691,0,127,86
410,691,0,129,86
412,814,0,129,86
415,814,0,129,86
420,814,0,129,86
425,814,0,129,86
430,814,0,127,86
435,814,0,128,86
440,814,0,131,86
445,814,0,131,86
450,814,0,129,86
455,814,0,131,86
460,814,0,129,86
465,814,0,131,85
470,814,0,130,85
472,936,0,130,85
475,936,0,130,85
480,936,0,130,85
485,936,0,131,85
490,936,0,130,86
495,936,0,132,85
500,936,0,130,86
505,936,0,129,85
510,936,0,129,85
515,936,0,131,85
520,936,0,132,86
525,936,0,131,85
530,936,0,132,86
532,1059,0,132,86
535,1059,0,130,86
540,1059,0,132,85
545,1059,0,132,86
550,1059,0,133,86
555,1059,0,135,86
560,1059,0,131,86
565,1059,0,133,86
570,1059,0,134,87
575,1059,0,130,87
580,1059,0,131,87
585,1059,0,132,87
590,1059,0,131,87
592,1186,0,131,87
595,1186,0,131,88
600,1186,0,132,88
605,1186,0,133,88
610,1186,0,135,88
615,1186,0,136,88
620,1186,0,136,88
625,1186,0,137,87
630,1186,0,137,88
635,1186,0,136,88
640,1186,0,136,88
645,1186,0,136,88
650,1186,0,136,88
652,1315,0,136,88
655,1315,0,135,87
660,1315,0,137,88
665,1315,0,136,88
670,1315,0,138,88
675,1315,0,138,88
680,1315,0,137,87
685,1315,0,138,87
690,1315,0,139,87
695,1315,0,139,88
700,1315,0,138,87
705,1315,0,138,88
710,1315,0,139,88
712,1443,0,139,88
715,1443,0,137,88
720,1443,0,138,88
725,1443,0,138,87
730,1443,0,138,88
735,1443,0,141,88
740,1443,0,142,88
745,1443,0,142,88
750,1443,0,142,88
755,1443,0,143,87
760,1443,0,142,87
765,1443,0,143,87
770,1443,0,143,88
772,1572,0,143,88
775,1572,0,143,88
780,1572,0,145,88
785,1572,0,145,88
790,1572,0,144,88
795,1572,0,145,88
800,1572,0,144,88
805,1572,0,146,88
810,1572,0,147,88
815,1572,0,148,88
820,1572,0,148,87
825,1572,0,148,88
830,1572,0,147,88
832,1703,0,147,88
835,1703,0,148,88
840,1703,0,148,88
845,1703,0,150,88
850,1703,0,150,89
855,1703,0,152,89
860,1703,0,151,89
865,1703,0,151,89
870,1703,0,152,89
875,1703,0,153,89
880,1703,0,152,89
885,1703,0,152,89
890,1703,0,152,88
892,1837,0,152,88
895,1837,0,153,88
900,1837,0,152,88
905,1837,0,152,88
910,1837,0,152,87
915,1837,0,151,87
920,1837,0,149,87
925,1837,0,150,87
930,1837,0,149,87
935,1837,0,148,86
940,1837,0,147,87
945,1837,0,146,87
950,1837,0,147,87
952,1963,0,147,87
955,1963,0,147,86
960,1963,0,147,87
965,1963,0,147,86
970,1963,0,145,86
975,1963,0,145,86
980,1963,0,144,86
985,1963,0,145,86
990,1963,0,144,87
995,1963,0,143,86
1000,1963,0,141,85
1005,1963,0,142,86
1010,1963,0,140,86
1012,2084,0,140,86
1015,2084,0,139,85
1020,2084,0,138,86
1025,2084,0,140,86
1030,2084,0,140,86
1035,2084,0,139,86
1040,2084,0,138,86
1045,2084,0,138,87
1050,2084,0,138,86
1055,2084,0,137,87
1060,2084,0,137,86
1065,2084,0,137,86
1070,2084,0,137,86
1072,2205,0,137,86
1075,2205,0,137,86
1080,2205,0,137,86
1085,2205,0,136,86
1090,2205,0,136,86
1095,2205,0,135,87
1100,2205,0,136,86
1105,2205,0,136,86
1110,2205,0,136,86
1115,2205,0,136,87
1120,2205,0,137,87
1125,2205,0,136,86
1130,2205,0,136,87
1132,2327,0,136,87
1135,2327,0,137,87
1140,2327,0,137,86
1145,2327,0,137,87
1150,2327,0,137,87
1155,2327,0,136,87
1160,2327,0,137,87
1165,2327,0,136,87
1170,2327,0,136,87
1175,2327,0,137,87
1180,2327,0,137,87
1185,2327,0,137,86
1190,2327,0,138,86
1192,2450,0,138,86
