time,distance,lat,lng,velocity_smooth,heartrate,cadence
0,0,-22.524118,-41.921253,0,109,0
1,0,-22.524118,-41.921253,0,109,0
2,0.9,-22.524111,-41.921253,0.45,109,0
3,3.4,-22.524088,-41.921249,1.133,109,0
4,5.4,-22.524071,-41.921245,1.35,109,0
5,7.5,-22.524052,-41.921242,1.5,109,0
6,9.7,-22.524033,-41.921238,1.94,109,0
7,11.9,-22.524013,-41.92123,2.2,109,0
8,14.2,-22.523994,-41.921223,2.16,109,0
9,16.3,-22.523977,-41.921215,2.18,109,0
10,18.5,-22.52396,-41.921204,2.2,116,82
11,20.4,-22.523945,-41.921196,2.14,116,82
12,22.3,-22.52393,-41.921188,2.08,116,82
13,24.5,-22.523912,-41.921177,2.06,116,82
14,26.4,-22.523897,-41.921169,2.02,116,82
15,28.4,-22.52388,-41.921162,1.98,120,82
16,30.5,-22.523863,-41.921154,2.02,120,82
17,32.7,-22.523846,-41.921143,2.08,120,82
18,34.8,-22.523828,-41.921135,2.06,120,82
19,37,-22.523809,-41.921127,2.12,120,82
20,39.3,-22.52379,-41.92112,2.18,123,82
21,41.6,-22.523773,-41.921108,2.22,123,82
22,43.8,-22.523754,-41.921101,2.22,123,82
23,46.1,-22.523737,-41.921089,2.26,123,82
24,48.5,-22.523718,-41.921078,2.3,123,82
25,50.5,-22.523701,-41.92107,2.24,124,84
26,52.6,-22.523683,-41.921062,2.2,124,84
27,54.8,-22.523666,-41.921051,2.2,124,84
28,54.8,-22.523651,-41.921043,1.74,124,84
29,56.9,-22.523634,-41.921036,1.68,124,84
30,59,-22.523617,-41.921028,1.7,126,83
31,61,-22.523602,-41.921017,1.68,126,83
32,63.1,-22.523584,-41.921009,1.66,126,83
33,65.2,-22.523569,-41.920998,2.08,126,83
34,67,-22.523554,-41.92099,2.02,126,83
35,69.1,-22.523539,-41.920979,2.02,129,81
36,71.2,-22.523523,-41.920967,2.04,129,81
37,73.4,-22.523506,-41.920956,2.06,129,81
38,75.7,-22.523491,-41.92094,2.1,129,81
39,77.8,-22.523476,-41.920929,2.16,129,81
40,80,-22.523458,-41.920918,2.18,132,82
41,82.1,-22.523443,-41.920906,2.18,132,82
42,84,-22.52343,-41.920895,2.12,132,82
43,86.1,-22.523415,-41.920883,2.08,132,82
44,87.9,-22.523399,-41.920876,2.02,132,82
45,89.8,-22.523386,-41.920864,1.96,137,82
46,91.7,-22.523371,-41.920856,1.92,137,82
47,93.9,-22.523354,-41.920845,1.98,137,82
48,96,-22.523338,-41.920834,1.98,137,82
49,98.1,-22.523321,-41.920826,2.04,137,82
50,100.3,-22.523304,-41.920814,2.1,141,82
51,102.3,-22.523287,-41.920807,2.12,141,82
52,104.6,-22.52327,-41.920795,2.14,141,82
53,106.7,-22.523252,-41.920788,2.14,141,82
54,108.9,-22.523235,-41.920776,2.16,141,82
55,111,-22.523218,-41.920769,2.14,146,82
56,113,-22.523203,-41.920757,2.14,146,82
57,115.1,-22.523186,-41.92075,2.1,146,82
58,117.3,-22.523169,-41.920738,2.12,146,82
59,119.4,-22.523151,-41.920731,2.1,146,82
60,121.3,-22.523136,-41.920723,2.06,147,82
61,123.3,-22.523119,-41.920715,2.06,147,82
62,125.6,-22.523102,-41.920704,2.1,147,82
63,127.6,-22.523085,-41.920696,2.06,147,82
64,129.5,-22.523069,-41.920689,2.02,147,82
65,131.6,-22.523052,-41.920681,2.06,147,87
66,133.8,-22.523035,-41.920669,2.1,147,87
67,135.9,-22.523018,-41.920662,2.06,147,87
68,138.1,-22.523001,-41.92065,2.1,147,87
69,140.2,-22.522984,-41.920643,2.14,147,87
70,142.6,-22.522964,-41.920631,2.2,147,81
71,144.7,-22.522947,-41.920624,2.18,147,81
72,146.9,-22.522928,-41.920616,2.2,147,81
73,149.2,-22.522909,-41.920608,2.22,147,81
74,151.4,-22.52289,-41.920601,2.24,147,81
75,153.4,-22.522873,-41.920597,2.16,147,82
76,155.7,-22.522854,-41.920589,2.2,147,82
77,157.8,-22.522835,-41.920586,2.18,147,82
78,160.1,-22.522816,-41.920578,2.18,147,82
79,162.2,-22.522797,-41.920574,2.16,147,82
80,164.5,-22.522777,-41.920567,2.22,143,81
81,166.8,-22.522758,-41.920559,2.22,143,81
82,168.7,-22.522741,-41.920555,2.18,143,81
83,171,-22.522722,-41.920547,2.18,143,81
84,173,-22.522705,-41.92054,2.16,143,81
85,175.1,-22.522688,-41.920532,2.12,128,81
86,177.1,-22.522671,-41.920525,2.06,128,81
87,179.2,-22.522654,-41.920517,2.1,128,81
88,181.1,-22.522638,-41.920509,2.02,128,81
89,183.1,-22.522621,-41.920502,2.02,128,81
90,185.2,-22.522606,-41.92049,2.02,118,81
91,187.3,-22.522589,-41.920483,2.04,118,81
92,189.3,-22.522572,-41.920475,2.02,118,81
93,191.4,-22.522554,-41.920467,2.06,118,81
94,193.6,-22.522537,-41.920456,2.1,118,81
95,195.7,-22.52252,-41.920448,2.1,113,82
96,197.8,-22.522503,-41.920441,2.1,113,82
97,199.8,-22.522486,-41.920433,2.1,113,82
98,202.3,-22.522467,-41.920422,2.18,113,82
99,204.3,-22.522449,-41.920414,2.14,113,82
100,206.4,-22.522432,-41.920406,2.14,110,82
101,208.4,-22.522415,-41.920399,2.12,110,82
102,210.7,-22.522396,-41.920391,2.18,110,82
103,212.8,-22.522379,-41.920383,2.1,110,82
104,215.2,-22.52236,-41.920372,2.18,110,82
105,217.3,-22.522343,-41.920364,2.18,110,82
106,219.5,-22.522324,-41.920357,2.22,110,82
107,221.8,-22.522306,-41.920345,2.22,110,82
108,224,-22.522287,-41.920338,2.24,110,82
109,226.3,-22.52227,-41.920326,2.22,110,82
110,228.5,-22.522251,-41.920319,2.24,110,82
111,230.8,-22.522232,-41.920311,2.26,110,82
112,233.2,-22.522213,-41.9203,2.28,110,82
113,235.5,-22.522194,-41.920292,2.3,110,82
114,237.9,-22.522175,-41.92028,2.32,110,82
115,240.2,-22.522156,-41.920273,2.34,109,81
116,242.4,-22.522139,-41.920261000000004,2.32,109,81
117,244.7,-22.52212,-41.920254,2.3,109,81
118,246.7,-22.522102,-41.920246,2.24,109,81
119,249.1,-22.522083,-41.920235,2.24,109,81
120,251.2,-22.522066,-41.920227,2.2,107,81
121,253.3,-22.522049,-41.920219,2.18,107,81
122,255.3,-22.522032,-41.920212,2.12,107,81
123,257.6,-22.522013,-41.920204,2.18,107,81
124,259.7,-22.521996,-41.920196,2.12,107,81
125,261.9,-22.521978,-41.920185,2.14,108,81
126,264.2,-22.521959,-41.920177,2.18,108,81
127,266.4,-22.521942,-41.920166,2.22,108,81
128,268.5,-22.521925,-41.920158,2.18,108,81
129,270.7,-22.521908,-41.920147,2.2,108,81
130,272.8,-22.521891,-41.920139,2.18,109,81
131,274.8,-22.521873,-41.920132,2.12,109,81
132,277.1,-22.521856,-41.92012,2.14,109,81
133,279.1,-22.521839,-41.920113,2.12,109,81
134,281.4,-22.52182,-41.920105,2.14,109,81
135,283.6,-22.521803,-41.920093,2.16,110,82
136,285.7,-22.521786,-41.920086,2.18,110,82
137,288.1,-22.521767,-41.920074,2.2,110,82
138,290.4,-22.521748,-41.920067,2.26,110,82
