time,distance,lat,lng,velocity_smooth,heartrate
0,0,-22.397327,-41.786598,0,89
5,0,-22.397327,-41.786598,0,89
6,0,-22.397327,-41.786598,0,89
7,1.5,-22.39732,-41.786587,0.214,89
8,2.5,-22.397314,-41.786579,0.313,89
9,3.5,-22.397308,-41.786571,0.389,89
10,4.9,-22.397301,-41.78656,0.98,92
11,6.4,-22.397293,-41.786549,1.28,92
12,8.1,-22.397285,-41.786533,1.32,92
13,9.9,-22.39728,-41.786518,1.48,92
14,11.5,-22.397274,-41.786503,1.6,92
15,13.7,-22.397266,-41.786484,1.76,93
16,15.7,-22.397261,-41.786465,1.86,93
17,17.6,-22.397251,-41.786449,1.9,93
18,20.1,-22.397243,-41.786427,2.04,93
19,22,-22.397234,-41.786411,2.1,93
20,24.3,-22.397224,-41.786392,2.12,94
21,26.6,-22.397213,-41.786373,2.18,94
22,28.7,-22.397205,-41.786354,2.22,94
23,30.6,-22.397196,-41.786339,2.1,94
24,32.5,-22.397186,-41.786324,2.1,94
25,34.8,-22.397177,-41.786304,2.1,93
26,36.5,-22.397169,-41.786289,1.98,93
27,38.8,-22.397159,-41.78627,2.02,93
28,40.7,-22.39715,-41.786255,2.02,93
29,42.4,-22.397142,-41.78624,1.98,93
30,44.7,-22.397133,-41.78622,1.98,95
31,46.7,-22.397121,-41.786205,2.04,95
32,48.6,-22.397112,-41.78619,1.96,95
33,50.5,-22.397102,-41.786175,1.96,95
34,52.4,-22.397093,-41.786159,2,95
35,54.4,-22.397081,-41.786144,1.94,95
36,56.3,-22.397072,-41.786129,1.92,95
37,58.5,-22.397062,-41.78611,1.98,95
38,60.4,-22.397053,-41.786095,1.98,95
39,62.3,-22.397043,-41.786079,1.98,95
40,64.3,-22.397032,-41.786064,1.98,97
41,66.2,-22.397022,-41.786049,1.98,97
42,67.9,-22.397011,-41.786037,1.88,97
43,70,-22.396999,-41.786022,1.92,97
44,71.7,-22.396988,-41.786011,1.88,97
45,73.7,-22.396976,-41.785995,1.88,98
46,75.4,-22.396965,-41.785984,1.84,98
47,77.5,-22.396954,-41.785969,1.92,98
48,79.5,-22.396942,-41.785953,1.9,98
49,81.5,-22.396931,-41.785938,1.96,98
50,83.2,-22.396919,-41.785927,1.9,99
51,85.4,-22.396906,-41.785912,2,99
52,87.4,-22.396894,-41.785896,1.98,99
53,89.6,-22.396881,-41.785881,2.02,99
54,91.7,-22.396868,-41.785866,2.04,99
55,93.9,-22.396854,-41.785851,2.14,99
56,95.8,-22.396841,-41.785839,2.08,99
57,97.9,-22.396828,-41.785824,2.1,99
58,100.1,-22.396814,-41.785809,2.1,99
59,102.3,-22.396801,-41.785793,2.12,99
60,104.2,-22.396788,-41.785782,2.06,101
61,106.3,-22.396774,-41.785767,2.1,101
62,108.5,-22.396761,-41.785751,2.12,101
63,110.4,-22.396748,-41.78574,2.06,101
64,112.4,-22.396736,-41.785725,2.02,101
65,114.4,-22.396725,-41.785709,2.04,104
66,116.2,-22.396713,-41.785698,1.98,104
67,118.1,-22.396704,-41.785683,1.92,104
68,119.9,-22.396694,-41.785667,1.9,104
69,121.8,-22.396685,-41.785652,1.88,104
70,123.7,-22.396675,-41.785637,1.86,106
71,125.9,-22.396667,-41.785618,1.94,106
72,127.8,-22.396658,-41.785602,1.94,106
73,129.9,-22.39665,-41.785583,2,106
74,131.7,-22.396643,-41.785568,1.98,106
75,133.5,-22.396635,-41.785553,1.96,109
76,135.6,-22.396627,-41.785534,1.94,109
77,137.4,-22.39662,-41.785519,1.92,109
78,139.1,-22.396614,-41.785503,1.84,109
79,141.2,-22.396606,-41.785484,1.9,109
80,143,-22.396599,-41.785469,1.9,109
81,144.8,-22.396591,-41.785454,1.84,109
82,146.9,-22.396583,-41.785435,1.9,109
83,148.7,-22.396576,-41.785419,1.92,109
84,150.5,-22.396568,-41.785404,1.86,109
85,152.6,-22.396561,-41.785385,1.92,108
86,154.5,-22.396551,-41.78537,1.94,108
87,156.3,-22.396543,-41.785355,1.88,108
88,158.2,-22.396534,-41.785339,1.9,108
89,159.9,-22.396522,-41.785328,1.88,108
90,161.8,-22.396513,-41.785313,1.84,107
91,163.8,-22.396502,-41.785297,1.86,107
92,166,-22.396488,-41.785282,1.94,107
93,168,-22.396477,-41.785267,1.96,107
94,170,-22.396465,-41.785252,2.02,107
95,171.9,-22.396452,-41.78524,2.02,107
96,173.9,-22.39644,-41.785225,2.02,107
97,176.1,-22.396427,-41.78521,2.02,107
98,178.1,-22.396416,-41.785194,2.02,107
99,180.5,-22.396404,-41.785175,2.1,107
100,182.6,-22.396391,-41.78516,2.14,108
101,184.6,-22.396379,-41.785145,2.14,108
102,186.8,-22.396366,-41.78513,2.14,108
103,188.8,-22.396355,-41.785114,2.14,108
104,191,-22.396341,-41.785099,2.1,108
105,193,-22.39633,-41.785084,2.08,109
106,195,-22.396318,-41.785068,2.08,109
107,197.1,-22.396307,-41.785053,2.06,109
108,199.1,-22.396295,-41.785038,2.06,109
109,201.1,-22.396284,-41.785023,2.02,109
110,203.1,-22.396273,-41.785007,2.02,111
111,204.7,-22.396263,-41.784996,1.94,111
112,206.6,-22.396254,-41.784981,1.9,111
113,208.6,-22.396242,-41.784965,1.9,111
114,210.4,-22.396234,-41.78495,1.86,111
115,212.3,-22.396225,-41.784935,1.84,110
116,214.2,-22.396215,-41.78492,1.9,110
117,216.3,-22.396208,-41.784901,1.94,110
118,218,-22.396202,-41.784885,1.88,110
119,219.8,-22.396194,-41.78487,1.88,110
120,221.9,-22.396189,-41.784851,1.92,110
121,223.5,-22.396185,-41.784836,1.86,110
122,225.5,-22.396179,-41.784817,1.84,110
123,227.2,-22.396173,-41.784801,1.84,110
124,229.3,-22.396168,-41.784782,1.9,110
125,231,-22.396162,-41.784767,1.82,111
126,232.8,-22.396154,-41.784752,1.86,111
127,234.9,-22.396147,-41.784733,1.88,111
128,236.8,-22.396137,-41.784718,1.92,111
129,238.7,-22.396128,-41.784702,1.88,111
130,240.7,-22.396116,-41.784687,1.94,110
131,243.1,-22.396105,-41.784668,2.06,110
132,245.1,-22.396093,-41.784653,2.04,110
133,247.2,-22.39608,-41.784637,2.08,110
134,249.4,-22.396067,-41.784622,2.14,110
135,251.9,-22.396053,-41.784603,2.24,110
136,254.2,-22.396038,-41.784588,2.22,110
137,256.3,-22.396025,-41.784573,2.24,110
138,258.6,-22.396013,-41.784553,2.28,110
