time,distance,lat,lng,velocity_smooth,heartrate
0,0,-22.397314,-41.786564,0,85
5,0,-22.397314,-41.786564,0,85
7,0,-22.397314,-41.786564,0,85
8,1.1,-22.397305,-41.78656,0.141,85
9,2.7,-22.397295,-41.786549,0.301,85
10,4.4,-22.397284,-41.786537,0.89,86
11,6,-22.397274,-41.786526,1.005,86
12,7.9,-22.397264,-41.78651,1.586,86
13,9.5,-22.397255,-41.786499,1.676,86
14,11.4,-22.397245,-41.786484,1.738,86
15,13,-22.397236,-41.786472,1.708,88
16,14.8,-22.397228,-41.786457,1.748,88
17,16.7,-22.397219,-41.786442,1.746,88
18,18.1,-22.397211,-41.78643,1.72,88
19,20,-22.397201,-41.786415,1.722,88
20,21.5,-22.397194,-41.786404,1.694,89
21,23.4,-22.397184,-41.786388,1.716,89
22,24.8,-22.397177,-41.786377,1.628,89
23,26.6,-22.397169,-41.786362,1.696,89
24,28,-22.397161,-41.78635,1.606,89
25,29.5,-22.397154,-41.786339,1.606,89
26,31.3,-22.397146,-41.786324,1.584,89
27,32.7,-22.397139,-41.786312,1.584,89
28,34.6,-22.397129,-41.786297,1.604,89
29,36.4,-22.397121,-41.786282,1.672,89
30,38.2,-22.397114,-41.786266,1.738,92
31,40.1,-22.397104,-41.786251,1.76,92
32,41.9,-22.397097,-41.786236,1.828,92
33,43.8,-22.397087,-41.78622,1.828,92
34,45.6,-22.397078,-41.786205,1.848,92
35,47.5,-22.397068,-41.78619,1.872,93
36,49.3,-22.39706,-41.786175,1.85,93
37,50.9,-22.397051,-41.786163,1.81,93
38,52.7,-22.397043,-41.786148,1.788,93
39,54.3,-22.397034,-41.786137,1.726,93
40,56.1,-22.397026,-41.786121,1.704,94
41,57.6,-22.397017,-41.78611,1.664,94
42,59.1,-22.397009,-41.786098,1.636,94
43,60.7,-22.396999,-41.786087,1.596,94
44,62.3,-22.39699,-41.786076,1.598,94
45,63.8,-22.39698,-41.786064,1.556,95
46,65.6,-22.396969,-41.786053,1.588,95
47,67.3,-22.396957,-41.786041,1.644,95
48,69.2,-22.396948,-41.786026,1.706,95
49,71.2,-22.396936,-41.786011,1.792,95
50,72.8,-22.396927,-41.785999,1.794,95
51,74.7,-22.396917,-41.785984,1.824,95
52,76.6,-22.396908,-41.785969,1.856,95
53,78.2,-22.396898,-41.785957,1.796,95
54,80.1,-22.396889,-41.785942,1.77,95
55,81.7,-22.396879,-41.785931,1.768,94
56,83.6,-22.39687,-41.785915,1.77,94
57,85.3,-22.396858,-41.785904,1.738,94
58,87.3,-22.396847,-41.785889,1.824,94
59,89.3,-22.396835,-41.785873,1.85,94
60,91.1,-22.396824,-41.785862,1.88,94
61,93.1,-22.396812,-41.785847,1.904,94
62,94.8,-22.396801,-41.785835,1.906,94
63,96.8,-22.39679,-41.78582,1.906,94
64,98.7,-22.39678,-41.785805,1.88,94
65,100.4,-22.396769,-41.785793,1.88,100
66,102.5,-22.396757,-41.785778,1.88,100
67,104.4,-22.396748,-41.785763,1.912,100
68,106.1,-22.396736,-41.785751,1.854,100
69,108.1,-22.396725,-41.785736,1.88,100
70,109.8,-22.396713,-41.785725,1.88,98
71,111.9,-22.396702,-41.785709,1.88,98
72,113.8,-22.396692,-41.785694,1.88,98
73,115.3,-22.396683,-41.785683,1.85,98
74,117.2,-22.396673,-41.785667,1.824,98
75,118.8,-22.396664,-41.785656,1.796,97
76,120.7,-22.396654,-41.785641,1.77,97
77,122.5,-22.396646,-41.785625,1.746,97
78,124.4,-22.396637,-41.78561,1.81,97
79,125.8,-22.396629,-41.785599,1.722,97
80,127.7,-22.39662,-41.785583,1.782,97
81,129.6,-22.39661,-41.785568,1.784,97
82,131.5,-22.396601,-41.785553,1.806,97
83,133.4,-22.396591,-41.785538,1.804,97
84,135.3,-22.396582,-41.785522,1.894,97
85,137.1,-22.396574,-41.785507,1.872,99
86,139,-22.396564,-41.785492,1.87,99
87,140.9,-22.396555,-41.785477,1.872,99
