time,velocity_smooth,heartrate
0,0,116
5,0,116
10,0,117
15,0,118
20,0,120
25,0,121
30,0,122
35,0,123
40,0,124
45,0,126
50,0,128
55,0,129
60,0,131
65,0,132
70,0,132
75,0,132
80,0,133
85,0,133
90,0,135
95,0,136
100,0,136
105,0,137
110,0,137
115,0,138
120,0,139
125,0,139
130,0,140
135,0,141
140,0,142
145,0,144
150,0,144
155,0,146
160,0,147
165,0,149
170,0,149
175,0,150
180,0,151
185,0,152
190,0,151
195,0,150
200,0,151
205,0,151
210,0,151
215,0,152
220,0,152
225,0,152
230,0,152
235,0,151
240,0,152
245,0,152
250,0,151
255,0,151
260,0,151
265,0,150
270,0,149
275,0,149
280,0,149
285,0,148
290,0,148
295,0,147
300,0,146
305,0,145
310,0,144
315,0,143
320,0,142
325,0,140
330,0,141
335,0,142
340,0,141
345,0,141
350,0,140
355,0,140
360,0,139
365,0,141
370,0,141
375,0,141
380,0,140
385,0,140
390,0,140
395,0,140
400,0,141
405,0,141
410,0,141
415,0,140
420,0,140
425,0,140
430,0,139
435,0,139
440,0,137
445,0,137
450,0,136
455,0,136
460,0,136
465,0,136
470,0,135
475,0,135
480,0,135
485,0,136
490,0,136
495,0,136
500,0,136
505,0,136
510,0,136
515,0,137
520,0,137
525,0,136
530,0,136
535,0,136
540,0,137
545,0,137
550,0,138
555,0,137
560,0,136
565,0,136
570,0,136
575,0,136
580,0,135
585,0,136
590,0,136
595,0,137
600,0,137
