time,distance,lat,lng,velocity_smooth,heartrate,cadence
0,0,-22.872665,-42.036388,0,108,0
2,0,-22.872665,-42.036388,0,108,0
3,2.1,-22.87266,-42.036369,0.7,108,0
4,4.1,-22.872654,-42.03635,1.025,108,0
5,6.5,-22.872648,-42.036327,1.3,108,0
6,8.7,-22.872641,-42.036308,1.45,108,0
7,11.2,-22.872633,-42.036285,2.24,108,0
8,13.7,-22.872623,-42.036262,2.32,108,0
9,16.3,-22.872614,-42.03624,2.44,108,0
10,19,-22.872602,-42.036217,2.5,110,76
11,21.3,-22.872591,-42.036198,2.52,110,76
12,24.1,-22.872578,-42.036175,2.58,110,76
13,26.4,-22.872566,-42.036156,2.54,110,76
14,29,-22.872557,-42.036133,2.54,110,76
15,31.8,-22.872543,-42.03611,2.56,112,82
16,34.1,-22.872532,-42.036091,2.56,112,82
17,37,-22.872517,-42.036068,2.58,112,82
18,40,-22.872499,-42.036045,2.72,112,82
19,42.7,-22.87248,-42.03603,2.74,112,82
20,46,-22.872456,-42.036011,2.84,115,84
21,49,-22.872431,-42.035999,2.98,115,84
22,52.2,-22.872404,-42.035988,3.04,115,84
23,55.4,-22.872375,-42.035984,3.08,115,84
24,58.7,-22.872347,-42.035976,3.2,115,84
25,61.9,-22.872318,-42.035973,3.18,120,83
26,65.3,-22.872288,-42.035973,3.26,120,83
27,68.5,-22.872259,-42.035969,3.26,120,83
28,71.7,-22.872231,-42.035965,3.26,120,83
29,75,-22.872202,-42.035957,3.26,120,83
30,78.3,-22.872173,-42.03595,3.28,124,85
31,81.3,-22.872147,-42.035942,3.2,124,85
32,84.5,-22.87212,-42.035931,3.2,124,85
33,87.9,-22.872093,-42.035915,3.24,124,85
34,91.1,-22.872066,-42.035904,3.22,124,85
35,94.2,-22.872042,-42.035889,3.18,127,85
36,97.2,-22.872017,-42.035877,3.18,127,85
37,100.2,-22.871992,-42.035866,3.14,127,85
38,103.2,-22.871969,-42.035851,3.06,127,85
39,106.4,-22.871944,-42.035835,3.06,127,85
40,109.4,-22.871921,-42.03582,3.04,129,85
41,112.4,-22.871899,-42.035805,3.04,129,85
42,115.2,-22.871878,-42.035789,3,129,85
43,118,-22.871857,-42.035774,2.96,129,85
44,121,-22.871834,-42.035759,2.92,129,85
45,124,-22.871813,-42.03574,2.92,132,84
46,126.8,-22.871792,-42.035725,2.88,132,84
