time,distance,lat,lng,velocity_smooth,heartrate,cadence
0,0,-22.524122,-41.921276,0,74,0
3,0,-22.524122,-41.921276,0,74,0
4,1.3,-22.524118,-41.921265,0.325,74,0
5,3.1,-22.524103,-41.921257,0.62,74,0
6,4.8,-22.524092,-41.921245,0.8,74,0
7,6.5,-22.524078,-41.921238,0.929,74,0
8,8.2,-22.524065,-41.92123,1.64,74,0
9,10.3,-22.52405,-41.921219,1.8,74,0
10,11.9,-22.524036,-41.921211,1.76,74,0
11,13.8,-22.524021,-41.921204,1.8,74,0
12,15.9,-22.524004,-41.921196,1.88,74,0
13,17.6,-22.523989,-41.921192,1.88,74,0
14,19.7,-22.523971,-41.921184,1.88,74,0
15,21.4,-22.523956,-41.921181,1.9,76,82
16,23.5,-22.523939,-41.921173,1.94,76,82
17,25.4,-22.523922,-41.921169,1.9,76,82
18,27.5,-22.523905,-41.921162,1.98,76,82
19,29.6,-22.523888,-41.921154,1.98,76,82
20,31.8,-22.523869,-41.921146,2.08,81,82
21,34.1,-22.523849,-41.921139,2.12,81,82
22,36.2,-22.523832,-41.921131,2.16,81,82
23,38.4,-22.523813,-41.921123,2.18,81,82
24,40.7,-22.523794,-41.921116,2.22,81,82
25,42.7,-22.523777,-41.921108,2.18,90,82
26,44.8,-22.52376,-41.921101,2.14,90,82
27,46.9,-22.523743,-41.921093,2.14,90,82
28,48.9,-22.523725,-41.921085,2.1,90,82
29,48.9,-22.523708,-41.921078,1.64,90,82
30,50.8,-22.523693,-41.92107,1.62,95,82
31,52.9,-22.523676,-41.921062,1.62,95,82
32,54.9,-22.523659,-41.921055,1.6,95,82
33,57,-22.523642,-41.921047,1.62,95,82
34,59.2,-22.523624,-41.921036,2.06,95,82
35,61.3,-22.523607,-41.921028,2.1,96,82
36,63.2,-22.523592,-41.92102,2.06,96,82
37,65.4,-22.523575,-41.921009,2.1,96,82
38,67.5,-22.52356,-41.920998,2.1,96,82
39,69.7,-22.523542,-41.920986,2.1,96,82
40,71.6,-22.523529,-41.920975,2.06,98,82
41,73.9,-22.523514,-41.920959,2.14,98,82
42,75.8,-22.5235,-41.920948,2.08,98,82
43,78.1,-22.523485,-41.920933,2.12,98,82
44,80,-22.523472,-41.920921,2.06,98,82
45,82.1,-22.523457,-41.92091,2.1,100,82
46,84,-22.523443,-41.920898,2.02,100,82
47,86,-22.523428,-41.920887,2.04,100,82
48,88.3,-22.523411,-41.920876,2.04,100,82
49,90.1,-22.523395,-41.920868,2.02,100,82
50,92.4,-22.523378,-41.920856,2.06,102,82
51,94.4,-22.523361,-41.920849,2.08,102,82
52,96.5,-22.523344,-41.920841,2.1,102,82
53,98.6,-22.523327,-41.920834,2.06,102,82
54,100.6,-22.52331,-41.920826,2.1,102,82
55,102.7,-22.523294,-41.920814,2.06,103,82
56,104.8,-22.523277,-41.920807,2.08,103,82
57,106.8,-22.52326,-41.920799,2.06,103,82
