time,distance,lat,lng,velocity_smooth,heartrate
0,0,-22.898184,-43.130371,0,122
5,0,-22.898184,-43.130371,0,122
6,1.3,-22.898195,-43.130371,0.217,122
7,3.7,-22.898216,-43.130379,0.529,122
8,6,-22.898235,-43.130386,0.75,122
9,8.1,-22.898254,-43.13039,0.9,122
10,10.6,-22.898275,-43.130398,2.12,124
11,12.9,-22.898294,-43.130405,2.32,124
12,15.2,-22.898315,-43.130409,2.3,124
13,17.7,-22.898336,-43.130417,2.34,124
14,20.2,-22.898357,-43.130424,2.42,124
15,22.5,-22.898378,-43.130428,2.38,124
16,25.2,-22.898401,-43.130436,2.46,124
17,27.5,-22.898422,-43.13044,2.46,124
18,29.8,-22.898441,-43.130447,2.42,124
19,32.2,-22.898462,-43.130451,2.4,124
20,34.3,-22.898481,-43.130455,2.36,123
21,36.4,-22.898498,-43.130463,2.24,123
22,38.5,-22.898518,-43.130466,2.2,123
23,40.5,-22.898535,-43.13047,2.14,123
24,42.7,-22.898554,-43.130474,2.1,123
25,44.6,-22.898571,-43.130478,2.06,122
26,46.7,-22.89859,-43.130478,2.06,122
27,48.7,-22.898607,-43.130482,2.04,122
28,51,-22.898628,-43.130485,2.1,122
29,53.2,-22.898647,-43.130489,2.1,122
30,55.3,-22.898666,-43.130493,2.14,122
31,57.6,-22.898685,-43.130501,2.18,122
32,59.7,-22.898703,-43.130508,2.2,122
33,61.9,-22.898722,-43.130516,2.18,122
34,63.8,-22.898737,-43.130524,2.12,122
35,65.9,-22.898754,-43.130531,2.12,123
36,67.9,-22.898771,-43.130539,2.06,123
37,69.9,-22.898788,-43.130543,2.04,123
38,71.9,-22.898806,-43.13055,2,123
39,74.2,-22.898825,-43.130558,2.08,123
40,76.2,-22.898842,-43.130562,2.06,124
41,78.2,-22.898859,-43.130569,2.06,124
42,80.3,-22.898876,-43.130577,2.08,124
43,82.2,-22.898893,-43.130581,2.06,124
44,84.3,-22.89891,-43.130588,2.02,124
45,86.2,-22.898926,-43.130596,2,125
46,88.2,-22.898943,-43.130604,2,125
47,90,-22.898958,-43.130608,1.94,125
48,92,-22.898975,-43.130615,1.96,125
49,93.9,-22.898991,-43.130623,1.92,125
50,95.8,-22.899006,-43.13063,1.92,126
51,97.8,-22.899023,-43.130638,1.92,126
52,99.8,-22.89904,-43.130642,1.96,126
53,101.8,-22.899057,-43.13065,1.96,126
54,104.1,-22.899076,-43.130657,2.04,126
55,106.2,-22.899094,-43.130665,2.08,127
56,108.4,-22.899113,-43.130672,2.12,127
57,110.7,-22.899132,-43.13068,2.18,127
58,113.1,-22.899151,-43.130692,2.26,127
59,115.3,-22.899168,-43.130703,2.24,127
60,117.8,-22.899187,-43.130714,2.32,128
61,120.2,-22.899206,-43.130726,2.36,128
62,122.6,-22.899225,-43.130737,2.38,128
63,124.7,-22.899242,-43.130745,2.32,128
64,126.9,-22.899261,-43.130753,2.32,128
65,129,-22.899279,-43.13076,2.24,127
66,131.3,-22.899298,-43.130768,2.22,127
67,133.5,-22.899317,-43.130775,2.18,127
68,135.8,-22.899336,-43.130783,2.22,127
69,138,-22.899355,-43.130791,2.22,127
70,140.2,-22.899374,-43.130795,2.24,128
71,142.4,-22.899393,-43.130802,2.22,128
72,144.8,-22.899414,-43.130802,2.26,128
73,146.9,-22.899433,-43.130806,2.22,128
74,149.3,-22.899454,-43.130806,2.26,128
75,151.6,-22.899475,-43.13081,2.28,129
76,154,-22.899496,-43.130814,2.32,129
77,156.5,-22.899517,-43.130821,2.34,129
78,158.9,-22.899538,-43.130829,2.4,129
79,161.4,-22.899559,-43.130836,2.42,129
80,164,-22.89958,-43.130848,2.48,128
81,166.6,-22.899601,-43.130859,2.52,128
82,169.4,-22.899622,-43.130875,2.58,128
83,171.8,-22.899641,-43.130886,2.58,128
84,174.3,-22.89966,-43.130897,2.58,128
85,176.5,-22.899677,-43.130909,2.5,129
86,178.7,-22.899694,-43.13092,2.42,129
87,181.2,-22.899712,-43.130936,2.36,129
88,183.5,-22.899727,-43.130951,2.34,129
89,185.8,-22.899742,-43.130966,2.3,129
90,187.9,-22.899757,-43.130978,2.28,130
91,190.2,-22.899773,-43.130993,2.3,130
92,192.4,-22.89979,-43.131004,2.24,130
93,194.7,-22.899807,-43.131016,2.24,130
94,196.5,-22.899822,-43.131023,2.14,130
95,198.6,-22.899839,-43.131031,2.14,130
96,200.6,-22.899857,-43.131035,2.08,130
97,202.6,-22.899874,-43.131042,2.04,130
98,204.7,-22.899891,-43.13105,2,130
99,206.7,-22.899908,-43.131058,2.04,130
100,208.6,-22.899923,-43.131065,2,131
101,210.7,-22.89994,-43.131073,2.02,131
