time,distance,lat,lng,velocity_smooth,heartrate
0,0,-22.397198,-41.78632,0,119
3,0,-22.397198,-41.78632,0,119
4,0.9,-22.397201,-41.786327,0.222,119
5,2.8,-22.397211,-41.786343,0.558,119
6,4.7,-22.397221,-41.786358,0.78,119
8,6.6,-22.39723,-41.786373,1.314,119
9,8.8,-22.39724,-41.786392,1.582,119
10,11,-22.397249,-41.786411,1.648,132
11,13.3,-22.397259,-41.78643,1.716,132
12,15.1,-22.397268,-41.786446,1.745,132
13,17.4,-22.397278,-41.786465,2.162,132
14,19.2,-22.397285,-41.78648,2.074,132
15,21,-22.397293,-41.786495,1.984,141
16,22.4,-22.397301,-41.786507,1.828,141
17,24.2,-22.397308,-41.786522,1.806,141
18,25.6,-22.397316,-41.786533,1.65,141
19,27.4,-22.397324,-41.786549,1.65,141
20,29.2,-22.397331,-41.786564,1.65,147
21,30.5,-22.397337,-41.786575,1.628,147
22,32.3,-22.397345,-41.786591,1.628,147
23,33.8,-22.397352,-41.786602,1.628,147
24,35.6,-22.39736,-41.786617,1.628,147
25,37.3,-22.397367,-41.786632,1.628,152
26,39.1,-22.397375,-41.786648,1.716,152
27,40.7,-22.397385,-41.786659,1.678,152
28,42.6,-22.397394,-41.786674,1.766,152
29,44.5,-22.397404,-41.78669,1.786,152
30,46.3,-22.397411,-41.786705,1.788,156
31,48.2,-22.397421,-41.78672,1.81,156
32,50,-22.397428,-41.786735,1.848,156
33,51.7,-22.397436,-41.786751,1.828,156
34,53.4,-22.397442,-41.786766,1.788,156
35,55.2,-22.397449,-41.786781,1.786,160
36,56.9,-22.397455,-41.786796,1.748,160
37,58.6,-22.397461,-41.786812,1.73,160
38,60,-22.397469,-41.786823,1.662,160
39,61.7,-22.397474,-41.786838,1.662,160
40,63.5,-22.397482,-41.786854,1.664,164
41,65.3,-22.397489,-41.786869,1.68,164
42,66.9,-22.397499,-41.78688,1.658,164
43,68.7,-22.397507,-41.786896,1.726,164
44,70,-22.397512,-41.786907,1.654,164
45,71.8,-22.39752,-41.786922,1.654,169
46,73.1,-22.397526,-41.786934,1.564,169
47,74.6,-22.397533,-41.786945,1.54,169
48,76.3,-22.397539,-41.786961,1.52,169
49,77.7,-22.397547,-41.786972,1.544,169
50,79.2,-22.397554,-41.786983,1.476,172
51,81,-22.397562,-41.786999,1.566,172
52,82.4,-22.39757,-41.78701,1.564,172
53,84.2,-22.397577,-41.787025,1.584,172
54,85.8,-22.397587,-41.787037,1.61,172
55,87.6,-22.397594,-41.787052,1.676,174
56,89.2,-22.397604,-41.787064,1.638,174
57,90.7,-22.397613,-41.787075,1.664,174
58,92.5,-22.397621,-41.78709,1.664,174
59,94.4,-22.397631,-41.787106,1.726,174
60,96.3,-22.39764,-41.787121,1.748,173
61,97.8,-22.397648,-41.787132,1.72,173
62,99.7,-22.397657,-41.787147,1.784,173
63,101.4,-22.397665,-41.787163,1.782,173
64,103.3,-22.397674,-41.787178,1.782,173
65,105.6,-22.397684,-41.787197,1.85,171
66,107.3,-22.397692,-41.787212,1.918,171
67,109.2,-22.397701,-41.787228,1.916,171
68,110.8,-22.397711,-41.787239,1.876,171
69,112.7,-22.39772,-41.787254,1.878,171
70,114.6,-22.39773,-41.78727,1.81,169
71,116.4,-22.397737,-41.787285,1.808,169
72,118.3,-22.397747,-41.7873,1.81,169
73,120.1,-22.397755,-41.787315,1.85,169
74,121.8,-22.397762,-41.787331,1.826,169
75,123.7,-22.397772,-41.787346,1.828,167
76,125.5,-22.397779,-41.787361,1.828,167
77,127.1,-22.397789,-41.787373,1.764,167
78,128.9,-22.397797,-41.787388,1.766,167
79,130.8,-22.397806,-41.787403,1.788,167
80,132.7,-22.397816,-41.787418,1.786,165
81,134.3,-22.397825,-41.78743,1.748,165
82,136.1,-22.397835,-41.787445,1.81,165
83,138.1,-22.397844,-41.78746,1.832,165
84,139.8,-22.397852,-41.787476,1.81,165
85,141.7,-22.397861,-41.787491,1.81,163
86,143.5,-22.397869,-41.787506,1.85,163
87,145.3,-22.397877,-41.787521,1.828,163
88,146.7,-22.397884,-41.787533,1.738,163
89,148.6,-22.397894,-41.787548,1.76,163
90,150.4,-22.397901,-41.787563,1.74,162
91,151.9,-22.397909,-41.787575,1.672,162
92,153.8,-22.397919,-41.78759,1.694,162
93,155.2,-22.397925999999998,-41.787601,1.694,162
94,156.8,-22.397936,-41.787613,1.634,162
