time,distance,lat,lng,velocity_smooth
0,0,-22.397465,-41.78672,0
2,0,-22.397465,-41.78672,0
3,2.9,-22.397457,-41.786694,0.967
4,6.3,-22.397444,-41.786663,1.575
5,9.7,-22.397427,-41.786636,1.94
6,13.2,-22.397408,-41.78661,2.2
7,16.9,-22.397385,-41.786583,3.38
8,21.1,-22.39736,-41.786552,3.64
9,24.7,-22.397339,-41.786526,3.68
10,28.4,-22.397322,-41.786495,3.74
11,31.6,-22.397306,-41.786468,3.68
12,35,-22.397293,-41.786438,3.62
13,38.2,-22.39728,-41.786411,3.42
14,41.2,-22.397268,-41.786385,3.3
15,44.6,-22.397257,-41.786354,3.24
16,47.6,-22.397245,-41.786327,3.2
17,50.8,-22.39723,-41.786301,3.16
18,54,-22.397217,-41.786274,3.16
19,57.3,-22.3972,-41.786247,3.22
20,60.5,-22.397184,-41.78622,3.18
21,63.9,-22.397167,-41.786194,3.26
22,67.3,-22.397148,-41.786167,3.3
23,70.7,-22.397131,-41.78614,3.34
24,73.7,-22.397114,-41.786117,3.28
25,77.1,-22.397097,-41.786091,3.32
26,80.1,-22.397079,-41.786068,3.24
27,83.1,-22.397062,-41.786045,3.16
28,86.2,-22.397045,-41.786022,3.1
29,88.9,-22.397028,-41.786003,3.04
30,91.9,-22.397011,-41.78598,2.96
31,94.8,-22.396992,-41.785961,2.94
32,97.8,-22.396975,-41.785938,2.94
33,101,-22.396955,-41.785915,2.96
34,103.7,-22.396938,-41.785896,2.96
35,106.8,-22.396921,-41.785873,2.98
36,109.5,-22.396904,-41.785854,2.94
37,112.4,-22.396889,-41.785831,2.92
38,115.1,-22.396871,-41.785812,2.82
39,118.3,-22.396852,-41.785789,2.92
40,121,-22.396835,-41.78577,2.84
41,123.9,-22.396816,-41.785751,2.88
42,127,-22.396799,-41.785728,2.92
43,129.9,-22.39678,-41.785709,2.96
44,132.6,-22.396763,-41.78569,2.86
45,135.6,-22.396746,-41.785667,2.92
46,138.4,-22.396728,-41.785648,2.9
47,140.9,-22.396713,-41.785629,2.78
48,144,-22.396696,-41.785606,2.82
49,147,-22.396679,-41.785583,2.88
50,149.9,-22.396664,-41.785561,2.86
51,152.9,-22.396646,-41.785538,2.9
52,155.8,-22.396631,-41.785515,2.98
53,158.6,-22.396618,-41.785492,2.92
54,161.9,-22.396603,-41.785465,2.98
55,164.8,-22.396587,-41.785442,2.98
56,167.6,-22.396572,-41.785419,2.94
57,170.9,-22.396557,-41.785393,3.02
58,173.8,-22.396542,-41.78537,3.04
59,176.9,-22.396528,-41.785343,3
60,179.8,-22.396513,-41.78532,3
61,183,-22.396498,-41.785294,3.08
62,185.9,-22.396482,-41.785271,3
63,189,-22.396465,-41.785248,3.04
64,192.2,-22.39645,-41.785221,3.06
65,195.2,-22.396433,-41.785198,3.08
66,198.3,-22.396416,-41.785175,3.06
67,201.4,-22.396397,-41.785152,3.1
68,204.6,-22.396378,-41.78513,3.12
69,207.8,-22.396358,-41.785107000000004,3.12
70,210.9,-22.396339,-41.785084,3.14
71,213.8,-22.39632,-41.785065,3.1
72,217,-22.396301,-41.785042,3.12
73,220,-22.396284,-41.785019,3.08
74,222.6,-22.396269,-41.785,2.96
75,225.5,-22.396254,-41.784977,2.92
76,228.6,-22.39624,-41.78495,2.96
77,231.5,-22.396225,-41.784927,2.9
78,234.3,-22.396212,-41.784904,2.86
79,237.4,-22.396198,-41.784878,2.96
80,240.2,-22.396185,-41.784855,2.94
81,243.3,-22.396172,-41.784828,2.94
82,246.1,-22.396158,-41.784805,2.92
83,248.8,-22.396147,-41.784782,2.9
84,251.5,-22.396135,-41.784759,2.82
85,254.1,-22.396124,-41.784737,2.78
86,256.8,-22.396112,-41.784714,2.7
87,259.5,-22.396101,-41.784691,2.68
88,261.9,-22.396088,-41.784672,2.62
89,264.7,-22.396074,-41.784649,2.64
90,267.2,-22.396061,-41.78463,2.62
91,270.1,-22.396046,-41.784607,2.66
92,272.9,-22.396032,-41.784584,2.68
93,275.8,-22.396017,-41.784561,2.78
95,279,-22.396002,-41.784534,2.36
96,282.1,-22.395988,-41.784508,2.4
97,285.4,-22.395973,-41.784481,2.5
98,288.9,-22.395958,-41.78445,2.62
99,292.4,-22.395945,-41.78442,2.767
100,295.5,-22.395931,-41.784393,3.3
101,299,-22.395918000000002,-41.784363,3.38
102,302,-22.395906,-41.784336,3.32
103,305.5,-22.395893,-41.784306,3.32
104,308.5,-22.395882,-41.784279,3.22
105,311.5,-22.39587,-41.784252,3.2
106,314.6,-22.395857,-41.784225,3.12
107,317.7,-22.395845,-41.784199,3.14
108,320.8,-22.395832,-41.784172,3.06
109,323.9,-22.395819,-41.784145,3.08
110,327,-22.395805,-41.784119,3.1
111,330.3,-22.39579,-41.784092,3.14
112,333.5,-22.395775,-41.784065,3.16
113,336.6,-22.395761,-41.784039,3.16
114,339.8,-22.395746,-41.784012,3.18
115,343,-22.395733,-41.783985,3.2
116,345.7,-22.395719,-41.783962,3.08
117,349,-22.395704,-41.783936,3.1
118,351.9,-22.395689,-41.783913,3.06
119,354.6,-22.395676,-41.78389,2.96
120,357.7,-22.395658,-41.783867,2.94
121,360.6,-22.395643,-41.783844,2.98
122,363.8,-22.395628,-41.783817,2.96
123,366.7,-22.395613,-41.783794,2.96
124,369.5,-22.395599,-41.783771,2.98
125,372.4,-22.395584,-41.783749,2.94
126,375.2,-22.395571,-41.783726,2.92
127,378.1,-22.395555,-41.783703,2.86
128,381.2,-22.395542,-41.783676,2.9
129,384.1,-22.395527,-41.783653,2.92
130,386.9,-22.395513,-41.78363,2.9
131,390.1,-22.395498,-41.783604,2.98
132,392.9,-22.395485,-41.783581,2.96
133,395.7,-22.395472,-41.783558,2.9
134,398.6,-22.395456,-41.783535,2.9
135,401.4,-22.395443,-41.783512,2.9
136,404.3,-22.395428,-41.783489,2.84
137,407,-22.395414,-41.783466,2.82
138,409.8,-22.395401,-41.783443,2.82
139,412.9,-22.395388,-41.783417,2.86
140,415.7,-22.395374,-41.783394,2.86
141,418.5,-22.395361,-41.783371,2.84
142,421.2,-22.395349,-41.783348,2.84
143,424.3,-22.395336,-41.783321,2.9
144,427,-22.395325,-41.783298,2.82
145,429.6,-22.395313,-41.783276,2.78
146,432.7,-22.395302,-41.783249,2.84
147,435.3,-22.395292,-41.783226,2.82
148,438.3,-22.395281,-41.783199,2.8
149,441.3,-22.395269,-41.783173,2.86
150,444.3,-22.395258,-41.783146,2.94
151,447.1,-22.395245,-41.783123,2.88
152,450.1,-22.395233,-41.783096,2.96
153,452.9,-22.39522,-41.783073,2.92
154,456,-22.395206,-41.783047,2.94
155,459,-22.395191,-41.783024,2.94
156,461.7,-22.395178,-41.783001,2.92
157,464.6,-22.395163,-41.782978,2.9
158,467.4,-22.395149,-41.782955,2.9
159,470.6,-22.395134,-41.782928,2.92
160,473.4,-22.395121,-41.782906,2.88
161,476.2,-22.395107,-41.782883,2.9
162,479.1,-22.395092000000002,-41.78286,2.9
163,481.9,-22.395079,-41.782837,2.9
164,484.7,-22.395065,-41.782814,2.82
165,487.6,-22.39505,-41.782791,2.84
