time,distance,velocity_smooth,heartrate,cadence
0,0,0,66,0
5,0,0,66,0
10,0,0,67,0
15,0,0,69,0
20,0,0,72,0
25,0,0,73,82
30,0,0,74,82
35,32,3.2,75,82
40,32,3.2,76,82
45,32,0,76,82
50,32,0,77,82
55,32,0,77,82
60,32,0,79,82
65,32,0,79,81
70,32,0,81,82
75,32,0,84,82
80,32,0,91,83
85,32,0,94,83
90,32,0,94,84
95,160,0,95,84
100,160,12.8,96,84
105,160,0,96,84
110,160,0,96,84
115,160,0,99,85
120,160,0,100,84
125,160,0,100,85
130,160,0,102,86
135,160,0,105,85
140,160,0,103,86
145,160,0,107,86
150,160,0,110,86
155,286,0,108,86
160,286,12.6,109,86
165,286,0,107,87
170,286,0,108,86
175,286,0,108,87
180,286,0,105,87
185,286,0,107,86
190,286,0,108,87
195,286,0,112,87
200,286,0,113,87
205,286,0,115,87
210,286,0,116,87
215,419,0,116,87
220,419,13.3,118,87
225,419,0,119,87
230,419,0,120,87
235,419,0,119,87
240,419,0,121,87
245,419,0,119,87
250,419,0,120,87
255,419,0,120,87
260,419,0,121,87
265,419,0,123,87
270,419,0,123,87
275,552,0,124,87
280,552,13.3,126,87
285,552,0,123,87
290,552,0,124,87
295,552,0,125,86
300,552,0,125,87
305,552,0,126,87
310,552,0,129,87
315,552,0,128,87
320,552,0,129,88
325,552,0,131,88
330,552,0,133,88
335,693,0,134,88
340,693,14.1,133,88
345,693,0,135,88
350,693,0,135,89
355,693,0,135,89
360,693,0,135,89
365,693,0,135,89
370,693,0,137,89
375,693,0,139,89
380,693,0,139,89
385,693,0,139,88
390,693,0,138,88
395,836,0,138,89
400,836,14.3,139,88
405,836,0,141,88
410,836,0,141,88
415,836,0,142,88
420,836,0,139,88
425,836,0,139,87
430,836,0,140,87
435,836,0,140,87
440,836,0,140,86
445,836,0,139,86
450,836,0,140,87
455,978,0,138,87
460,978,14.2,139,87
465,978,0,139,87
470,978,0,140,87
475,978,0,139,87
480,978,0,139,87
485,978,0,140,87
490,978,0,139,87
495,978,0,139,87
500,978,0,138,87
505,978,0,140,88
510,978,0,142,88
515,1122,0,141,88
520,1122,14.4,139,88
525,1122,0,139,88
530,1122,0,139,88
535,1122,0,142,88
540,1122,0,140,88
545,1122,0,140,88
550,1122,0,141,87
555,1122,0,142,87
560,1122,0,141,87
565,1122,0,142,87
570,1122,0,143,87
575,1268,0,142,87
580,1268,14.6,143,87
585,1268,0,144,87
590,1268,0,142,86
595,1268,0,142,86
600,1268,0,142,87
605,1268,0,144,87
610,1268,0,144,87
615,1268,0,145,87
620,1268,0,145,87
625,1268,0,145,87
