time,distance,lat,lng,velocity_smooth,heartrate
0,0,-22.397386,-41.786587,0,91
5,0,-22.397386,-41.786587,0,91
6,0,-22.397386,-41.786587,0,91
7,1.5,-22.397375,-41.786579,0.214,91
8,3.4,-22.39736,-41.786571,0.425,91
9,5.2,-22.397345,-41.786564,0.578,91
10,7.3,-22.397329,-41.786552,1.46,93
11,9.4,-22.397314,-41.786541,1.88,93
12,11.4,-22.397299,-41.78653,1.98,93
13,13.3,-22.397285,-41.786518,1.98,93
14,15.6,-22.39727,-41.786503,2.08,93
15,17.8,-22.397257,-41.786488,2.1,92
16,20.1,-22.397245,-41.786468,2.14,92
17,22.3,-22.397232,-41.786453,2.18,92
18,24.6,-22.397221,-41.786434,2.26,92
19,26.6,-22.397209,-41.786419,2.2,92
20,29.1,-22.397196,-41.7864,2.26,92
21,31.4,-22.397184,-41.786381,2.26,92
22,33.5,-22.397173,-41.786365,2.24,92
23,35.7,-22.397163,-41.786346,2.22,92
24,37.7,-22.397152,-41.786331,2.22,92
25,39.9,-22.397142,-41.786312,2.16,94
26,42.2,-22.397133,-41.786293,2.16,94
27,44.4,-22.397123,-41.786274,2.18,94
28,46.6,-22.397114,-41.786255,2.18,94
29,48.5,-22.397104,-41.78624,2.16,94
30,50.8,-22.397095,-41.78622,2.18,95
31,52.8,-22.397083,-41.786205,2.12,95
32,54.7,-22.397074,-41.78619,2.06,95
33,56.8,-22.39706,-41.786175,2.04,95
34,59.2,-22.397049,-41.786156,2.14,95
35,61.2,-22.397037,-41.78614,2.08,99
36,63.2,-22.397026,-41.786125,2.08,99
37,65.4,-22.397013,-41.78611,2.14,99
38,67.4,-22.397001,-41.786095,2.12,99
39,69.5,-22.396988,-41.786079,2.06,99
40,71.7,-22.396975,-41.786064,2.1,102
41,73.9,-22.396961,-41.786049,2.14,102
42,75.9,-22.39695,-41.786034,2.1,102
43,78,-22.396936,-41.786018,2.12,102
44,80.2,-22.396923,-41.786003,2.14,102
45,82.2,-22.396912,-41.785988,2.1,103
46,84.1,-22.396898,-41.785976,2.04,103
47,86.1,-22.396887,-41.785961,2.04,103
48,88.3,-22.396873,-41.785946,2.06,103
49,90.3,-22.396862,-41.785931,2.02,103
50,92.5,-22.396849,-41.785915,2.06,103
51,94.4,-22.396835,-41.785904,2.06,103
52,96.7,-22.39682,-41.785889,2.12,103
53,98.8,-22.396805,-41.785877,2.1,103
54,100.9,-22.396791,-41.785862,2.12,103
55,103.2,-22.396776,-41.785847,2.14,105
56,105.1,-22.396763,-41.785835,2.14,105
57,107.3,-22.396749,-41.78582,2.12,105
58,109.6,-22.396734,-41.785805,2.16,105
59,111.5,-22.396721,-41.785793,2.12,105
60,113.6,-22.396707,-41.785778,2.08,106
61,115.8,-22.396694,-41.785763,2.14,106
62,118,-22.396681,-41.785748,2.14,106
63,119.7,-22.396669,-41.785736,2.02,106
64,121.7,-22.396658,-41.785721,2.04,106
65,123.7,-22.396646,-41.785706,2.02,108
66,125.6,-22.396637,-41.78569,1.96,108
67,127.8,-22.396627,-41.785671,1.96,108
68,129.6,-22.39662,-41.785656,1.98,108
69,131.9,-22.39661,-41.785637,2.04,108
70,133.6,-22.396603,-41.785622,1.98,109
71,135.4,-22.396595,-41.785606,1.96,109
72,137.7,-22.396585,-41.785587,1.98,109
73,139.7,-22.39658,-41.785568,2.02,109
74,141.9,-22.396572,-41.785549,2,109
75,144,-22.396564,-41.78553,2.08,109
76,146.1,-22.396557,-41.785511,2.14,109
77,148.6,-22.396551,-41.785488,2.18,109
78,150.7,-22.396543,-41.785469,2.2,109
79,152.9,-22.396534,-41.78545,2.2,109
80,154.7,-22.396526,-41.785435,2.14,113
81,156.9,-22.396519,-41.785416,2.16,113
82,158.8,-22.396508999999998,-41.7854,2.04,113
83,160.5,-22.396502,-41.785385,1.96,113
84,162.8,-22.396492,-41.785366,1.98,113
85,164.5,-22.396484,-41.785351,1.96,116
86,166.6,-22.396473,-41.785336,1.94,116
87,168.5,-22.396463,-41.78532,1.94,116
88,170.5,-22.396452,-41.785305,2,116
89,172.5,-22.39644,-41.78529,1.94,116
90,175,-22.396427,-41.785271,2.1,117
91,177,-22.396416,-41.785255,2.08,117
92,179.1,-22.396402,-41.78524,2.12,117
93,181.2,-22.396391,-41.785225,2.14,117
94,183.3,-22.396378,-41.78521,2.16,117
95,185.5,-22.396364,-41.785194,2.1,117
96,187.5,-22.396353,-41.785179,2.1,117
97,189.5,-22.396341,-41.785164,2.08,117
98,191.7,-22.396328,-41.785149,2.1,117
99,193.7,-22.396317,-41.785133,2.08,117
100,195.7,-22.396305,-41.785118,2.04,117
101,197.7,-22.396294,-41.785103,2.04,117
102,200.2,-22.39628,-41.785084,2.14,117
103,202.2,-22.396269,-41.785068,2.1,117
104,204.4,-22.396255,-41.785053,2.14,117
105,206.5,-22.396242,-41.785038,2.16,118
106,208.6,-22.396231,-41.785023,2.18,118
107,211,-22.396217,-41.785004,2.16,118
108,213,-22.396206,-41.784988,2.16,118
109,215.3,-22.396196,-41.784969,2.18,118
110,217.2,-22.396187,-41.784954,2.14,117
111,219.4,-22.396177,-41.784935,2.16,117
112,221.2,-22.39617,-41.78492,2.04,117
113,223.3,-22.396162,-41.784901,2.06,117
114,225.4,-22.396156,-41.784882,2.02,117
115,227.5,-22.396149,-41.784862,2.06,116
116,229.3,-22.396141,-41.784847,1.98,116
117,231.4,-22.396133,-41.784828,2.04,116
118,233.6,-22.396126,-41.784809,2.06,116
119,235.7,-22.396118,-41.78479,2.06,116
120,237.5,-22.396111,-41.784775,2,117
121,239.6,-22.396103,-41.784756,2.06,117
122,241.8,-22.396095,-41.784737,2.08,117
