time,distance,lat,lng,velocity_smooth,heartrate
0,0,-22.397367,-41.786716,0,77
5,0,-22.397367,-41.786716,0,77
6,0.8,-22.397369,-41.786709,0.133,77
7,3,-22.397362,-41.78669,0.429,77
8,5,-22.397356,-41.786671,0.625,77
9,6.7,-22.39735,-41.786655,0.744,77
10,8.9,-22.397341,-41.786636,1.78,78
11,11.1,-22.397333,-41.786617,2.06,78
12,12.9,-22.397325,-41.786602,1.98,78
13,14.6,-22.397318,-41.786587,1.92,78
14,16.2,-22.397308,-41.786575,1.9,78
15,18.2,-22.397297,-41.78656,1.86,78
16,19.8,-22.397287,-41.786549,1.74,78
17,21.8,-22.397276,-41.786533,1.78,78
18,23.6,-22.397264,-41.786522,1.8,78
19,25.2,-22.397255,-41.78651,1.8,78
20,27,-22.397245,-41.786495,1.76,78
21,28.6,-22.397236,-41.786484,1.76,78
22,30.5,-22.397226,-41.786468,1.74,78
23,32.3,-22.397219,-41.786453,1.74,78
24,34.5,-22.397211,-41.786434,1.86,78
25,36.2,-22.397203,-41.786419,1.84,80
26,38.4,-22.397196,-41.7864,1.96,80
27,40.3,-22.397186,-41.786385,1.96,80
28,42.4,-22.397179,-41.786365,2.02,80
29,44.3,-22.397169,-41.78635,1.96,80
30,46.2,-22.397159,-41.786335,2,86
31,48.3,-22.397152,-41.786316,1.98,86
32,50.2,-22.397142,-41.786301,1.98,86
33,52,-22.397135,-41.786285,1.92,86
34,53.9,-22.397125,-41.78627,1.92,86
35,55.7,-22.397118,-41.786255,1.9,89
36,57.6,-22.397108,-41.78624,1.86,89
37,59.4,-22.3971,-41.786224,1.84,89
38,61.3,-22.397091,-41.786209,1.86,89
39,63,-22.397083,-41.786194,1.82,89
40,64.9,-22.397074,-41.786179,1.84,91
41,66.8,-22.397064,-41.786163,1.84,91
42,68.7,-22.397055,-41.786148,1.86,91
43,70.6,-22.397045,-41.786133,1.86,91
44,72.4,-22.397037,-41.786117,1.88,91
45,74.3,-22.397028,-41.786102,1.88,93
46,76.2,-22.397018,-41.786087,1.88,93
47,78.1,-22.397009,-41.786072,1.88,93
48,80.1,-22.396997,-41.786056,1.9,93
49,81.8,-22.396986,-41.786045,1.88,93
50,84,-22.396973,-41.78603,1.94,94
51,85.7,-22.396961,-41.786018,1.9,94
52,87.6,-22.396948,-41.786007,1.9,94
53,89.6,-22.396936,-41.785992,1.9,94
54,91.8,-22.396923,-41.785976,2,94
55,93.7,-22.396913,-41.785961,1.94,95
56,95.4,-22.396902,-41.78595,1.94,95
57,97.3,-22.396893,-41.785934,1.94,95
58,99.2,-22.396883,-41.785919,1.92,95
59,100.9,-22.396871,-41.785908,1.82,95
60,102.8,-22.396862,-41.785892,1.82,98
61,104.6,-22.396851,-41.785881,1.84,98
62,106.2,-22.396841,-41.78587,1.78,98
63,107.9,-22.39683,-41.785858,1.74,98
64,109.6,-22.396818,-41.785847,1.74,98
65,111.3,-22.396807,-41.785835,1.7,100
66,113.1,-22.396795,-41.785824,1.7,100
67,114.8,-22.396784,-41.785812,1.72,100
68,116.7,-22.39677,-41.785801,1.76,100
69,118.9,-22.396757,-41.785786,1.86,100
70,120.6,-22.396746,-41.785774,1.86,99
71,122.5,-22.396732,-41.785763,1.88,99
72,124.5,-22.396721,-41.785748,1.94,99
73,126.5,-22.396709,-41.785732,1.96,99
74,128.3,-22.396698,-41.785721,1.88,99
75,130.3,-22.396687,-41.785706,1.94,99
76,132.3,-22.396675,-41.78569,1.96,99
77,134,-22.396664,-41.785679,1.9,99
78,135.9,-22.396654,-41.785664,1.88,99
79,137.8,-22.396645,-41.785648,1.9,99
80,139.7,-22.396635,-41.785633,1.88,98
81,141.5,-22.396627,-41.785618,1.84,98
82,143.6,-22.39662,-41.785599,1.92,98
83,145.4,-22.396612,-41.785583,1.9,98
84,147.1,-22.396606,-41.785568,1.86,98
85,149.2,-22.396601,-41.785549,1.9,99
86,150.9,-22.396595,-41.785534,1.88,99
87,152.7,-22.396587,-41.785519,1.82,99
88,154.7,-22.396582,-41.7855,1.86,99
89,156.5,-22.396574,-41.785484,1.88,99
90,158.6,-22.396568,-41.785465,1.88,99
91,160.4,-22.396561,-41.78545,1.9,99
92,162.1,-22.396553,-41.785435,1.88,99
93,164.3,-22.396545,-41.785416,1.92,99
94,166,-22.39654,-41.7854,1.9,99
95,167.7,-22.396532,-41.785385,1.82,100
96,169.6,-22.396522,-41.78537,1.84,100
97,171.4,-22.396515,-41.785355,1.86,100
98,173.3,-22.396505,-41.785339,1.8,100
99,175.5,-22.396496,-41.78532,1.9,100
100,177.4,-22.396486,-41.785305,1.94,102
101,179.4,-22.396475,-41.78529,1.96,102
102,181.4,-22.396465,-41.785274,2,102
103,183.4,-22.396454,-41.785259,2.02,102
