time,distance,lat,lng,velocity_smooth,heartrate,cadence
0,0,-22.492329,-41.929897,0,127,82
5,0,-22.492329,-41.929897,0,127,82
6,0.8,-22.49233,-41.929905,0.133,127,82
7,2.5,-22.492342,-41.929916,0.357,127,82
8,4.1,-22.492352,-41.929928,0.513,127,82
9,5.9,-22.492363,-41.929939,0.656,127,82
10,7.8,-22.492376,-41.929951,1.56,129,82
11,9.4,-22.49239,-41.929958,1.72,129,82
12,11.5,-22.492407,-41.929966,1.8,129,82
13,13.7,-22.492424,-41.929977,1.92,129,82
14,15.6,-22.492439,-41.929985,1.94,129,82
15,17.7,-22.492455,-41.929996,1.98,131,82
16,19.5,-22.49247,-41.930004,2.02,131,82
17,21.4,-22.492483,-41.930016,1.98,131,82
18,23.3,-22.492496,-41.930027,1.92,131,82
19,25.4,-22.492512,-41.930038,1.96,131,82
20,27.3,-22.492525,-41.93005,1.92,131,80
21,29.2,-22.492538,-41.930061,1.94,131,80
22,31.3,-22.492552,-41.930077,1.98,131,80
23,33.4,-22.492563,-41.930092,2.02,131,80
24,35.5,-22.492577,-41.930107,2.02,131,80
25,37.8,-22.492588,-41.930126,2.1,132,80
26,39.9,-22.492599,-41.930141,2.14,132,80
27,41.9,-22.492611,-41.930157,2.12,132,80
28,44,-22.492624,-41.930172,2.12,132,80
29,46.1,-22.492636,-41.930187,2.12,132,80
30,48.2,-22.492649,-41.930202,2.08,133,81
31,50.3,-22.49266,-41.930218000000004,2.08,133,81
32,52.4,-22.492674,-41.930233,2.1,133,81
33,54.6,-22.492687,-41.930248,2.12,133,81
34,56.6,-22.492699000000002,-41.930263,2.1,133,81
35,58.5,-22.492712,-41.930275,2.06,133,81
36,60.5,-22.492723,-41.93029,2.04,133,81
37,62.7,-22.492737,-41.930305,2.06,133,81
38,64.8,-22.49275,-41.930321,2.04,133,81
39,66.8,-22.492762,-41.930336,2.04,133,81
40,68.9,-22.492777,-41.930347,2.08,134,81
41,71.1,-22.49279,-41.930363,2.12,134,81
42,73.2,-22.492804,-41.930378,2.1,134,81
43,75.4,-22.492817,-41.930393,2.12,134,81
44,77.5,-22.49283,-41.930408,2.14,134,81
45,79.9,-22.492842,-41.930428,2.2,135,81
46,79.9,-22.492853,-41.930447,1.76,135,81
47,82.2,-22.492865,-41.930466,1.8,135,81
48,84.4,-22.492874,-41.930485,1.8,135,81
49,86.5,-22.492886,-41.9305,1.8,135,81
50,88.7,-22.492895,-41.930519,1.76,135,81
51,90.7,-22.492907,-41.930534,2.16,135,81
52,93,-22.492918,-41.930553,2.16,135,81
53,94.9,-22.492928,-41.930569,2.1,135,81
54,96.9,-22.492939,-41.930584,2.08,135,81
55,99,-22.49295,-41.930599,2.06,136,81
56,100.9,-22.49296,-41.930614,2.04,136,81
57,102.9,-22.492971,-41.93063,1.98,136,81
58,104.8,-22.492981,-41.930645,1.98,136,81
59,106.8,-22.492992,-41.93066,1.98,136,81
60,108.7,-22.493002,-41.930675,1.94,137,81
61,110.7,-22.493013,-41.930691,1.96,137,81
62,112.9,-22.493027,-41.930706,2,137,81
63,114.9,-22.493038,-41.930721,2.02,137,81
64,117,-22.493051,-41.930736,2.04,137,81
65,119.2,-22.493065,-41.930752,2.1,137,79
66,121.1,-22.493078,-41.930763,2.08,137,79
67,123.4,-22.493093,-41.930778,2.1,137,79
68,125.6,-22.493107,-41.930794,2.14,137,79
69,127.7,-22.49312,-41.930809000000004,2.14,137,79
70,129.8,-22.493135,-41.93082,2.12,137,81
71,131.9,-22.493149,-41.930836,2.16,137,81
72,134.1,-22.493162,-41.930851,2.14,137,81
73,136,-22.493175,-41.930862,2.08,137,81
74,138.2,-22.493189,-41.930878,2.1,137,81
75,140.1,-22.493202,-41.930889,2.06,137,80
76,142.2,-22.493216,-41.930904,2.06,137,80
77,144.1,-22.493229,-41.930916,2,137,80
78,146.4,-22.493244,-41.930931,2.08,137,80
79,148.5,-22.493259,-41.930943,2.06,137,80
80,150.5,-22.493275,-41.930954,2.08,138,81
81,152.6,-22.49329,-41.930965,2.08,138,81
82,154.7,-22.493305,-41.930977,2.12,138,81
83,156.6,-22.493319,-41.930988,2.04,138,81
84,158.5,-22.493332,-41.931,2,138,81
85,160.6,-22.493345,-41.931015,2.02,139,81
86,162.8,-22.493359,-41.93103,2.04,139,81
87,164.8,-22.49337,-41.931046,2.02,139,81
88,166.8,-22.493381,-41.931061,2.04,139,81
89,169.3,-22.493395,-41.93108,2.16,139,81
90,171,-22.493406,-41.931091,2.08,139,80
91,173.2,-22.49342,-41.931107,2.08,139,80
92,175.3,-22.493433,-41.931122,2.1,139,80
93,177.2,-22.493446,-41.931133,2.08,139,80
94,179.3,-22.493462,-41.931145,2,139,80
95,181.4,-22.493477,-41.931156,2.08,140,80
96,183.4,-22.493492,-41.931168,2.04,140,80
97,185.6,-22.493509,-41.931179,2.06,140,80
98,187.9,-22.493526,-41.93119,2.14,140,80
99,190.1,-22.493544,-41.931202,2.16,140,80
100,192.4,-22.493561,-41.931213,2.2,140,81
101,194.6,-22.493578,-41.931225,2.24,140,81
102,197.1,-22.493597,-41.931236,2.3,140,81
105,206.9,-22.493624,-41.931328,2.9,139,80
106,206.9,-22.493629,-41.931335,2.46,139,80
107,208.9,-22.493633,-41.931354,2.36,139,80
108,210.6,-22.493639,-41.93137,2.25,139,80
109,212.3,-22.493645,-41.931385,2.171,139,80
110,214.4,-22.493652,-41.931404,1.5,139,80
111,216.6,-22.49366,-41.931423,1.94,139,80
112,218.4,-22.493668,-41.931438,1.9,139,80
113,220.2,-22.493677,-41.931454,1.92,139,80
114,222.1,-22.493687,-41.931469,1.96,139,80
115,223.9,-22.493698,-41.93148,1.9,139,81
116,225.4,-22.493711,-41.931484,1.76,139,81
117,226.9,-22.493725,-41.931484,1.7,139,81
118,228.4,-22.493738,-41.93148,1.64,139,81
119,230.1,-22.493751,-41.931473,1.6,139,81
120,231.8,-22.493763,-41.931461,1.58,140,81
121,233.9,-22.493774,-41.931446,1.7,140,81
122,236,-22.493788,-41.931431,1.82,140,81
123,238,-22.493799,-41.931416,1.92,140,81
124,240.1,-22.493811,-41.9314,2,140,81
125,242.1,-22.493822,-41.931385,2.06,140,81
126,244.4,-22.493834,-41.931366,2.1,140,81
127,246.4,-22.493845,-41.931351,2.08,140,81
128,248.4,-22.493856,-41.931335,2.08,140,81
129,250.2,-22.493868,-41.931324,2.02,140,81
130,252.2,-22.493879,-41.931309,2.02,139,81
131,253.9,-22.493891,-41.931297,1.9,139,81
132,255.8,-22.493904,-41.931286,1.88,139,81
133,257.9,-22.493921,-41.931278,1.9,139,81
134,259.6,-22.493937,-41.931274,1.88,139,81
135,261.8,-22.493956,-41.931278,1.92,139,81
136,263.7,-22.493973,-41.931282,1.96,139,81
137,266.2,-22.493992,-41.931293,2.08,139,81
138,268.4,-22.494009,-41.931305,2.1,139,81
139,270.7,-22.494024,-41.93132,2.22,139,81
140,272.9,-22.494038,-41.931335,2.22,139,81
141,275.2,-22.494049,-41.931354,2.3,139,81
142,277.5,-22.49406,-41.931374,2.26,139,81
143,279.7,-22.494068,-41.931393,2.26,139,81
144,281.8,-22.494076,-41.931412,2.22,139,81
145,283.9,-22.494081,-41.931431,2.2,140,80
146,286,-22.494089,-41.93145,2.16,140,80
147,288.1,-22.494097,-41.931469,2.12,140,80
148,290.2,-22.494108,-41.931484,2.1,140,80
149,292.1,-22.494118,-41.931499,2.06,140,80
150,294.2,-22.494131,-41.931515,2.06,141,81
151,296.4,-22.494144,-41.93153,2.08,141,81
152,298.5,-22.494158,-41.931545,2.08,141,81
153,300.7,-22.494171,-41.931561,2.1,141,81
154,302.9,-22.494184,-41.931576,2.16,141,81
155,305,-22.494198,-41.931591,2.16,141,81
156,307.2,-22.494211,-41.931606,2.16,141,81
157,309.1,-22.494225,-41.931618,2.12,141,81
158,311.1,-22.494236,-41.931633,2.08,141,81
159,313.2,-22.494249,-41.931648,2.06,141,81
160,315.4,-22.494263,-41.931663,2.08,141,81
