time,distance,lat,lng,velocity_smooth,heartrate,cadence
0,0,-22.492376,-41.929977,0,100,76
5,0,-22.492376,-41.929977,0,100,76
6,0.9,-22.492384,-41.929981,0.15,100,76
7,2.3,-22.492395,-41.929985,0.329,100,76
8,3.6,-22.492407,-41.929989,0.45,100,76
9,4.9,-22.492418,-41.929993,0.544,100,76
10,6.7,-22.492433,-41.929996,1.34,101,76
11,8.2,-22.492447,-41.93,1.46,101,76
12,10.1,-22.492462,-41.930008,1.56,101,76
13,11.8,-22.492477,-41.930012,1.64,101,76
14,13.7,-22.492493,-41.930019,1.76,101,76
15,15.6,-22.492508,-41.930027,1.78,102,76
16,17.2,-22.492521,-41.930035,1.8,102,76
17,19.1,-22.492535,-41.930046,1.8,102,76
18,20.9,-22.492546,-41.930057,1.82,102,76
19,22.8,-22.492556,-41.930073,1.82,102,76
20,24.3,-22.492565,-41.930084,1.74,102,76
21,26.2,-22.492575,-41.930099,1.8,102,76
22,28.1,-22.492584,-41.930115,1.8,102,76
23,30.3,-22.492592,-41.930134,1.88,102,76
24,32.2,-22.492601,-41.930149,1.88,102,76
25,33.9,-22.492609,-41.930164,1.92,105,76
26,35.7,-22.492617,-41.93018,1.9,105,76
27,37.8,-22.492622,-41.930199,1.94,105,76
28,39.6,-22.49263,-41.930214,1.86,105,76
29,41.3,-22.492638,-41.930229,1.82,105,76
30,42.9,-22.492647,-41.930241,1.8,106,77
31,44.8,-22.492657,-41.930256,1.82,106,77
32,46.4,-22.492666,-41.930267,1.72,106,77
33,48.4,-22.492678,-41.930283,1.76,106,77
34,50.2,-22.492689,-41.930294,1.78,106,77
35,51.9,-22.492701,-41.930305,1.8,107,77
36,53.6,-22.492712,-41.930317,1.76,107,77
37,55.3,-22.492723,-41.930328,1.78,107,77
38,57.1,-22.492735,-41.93034,1.74,107,77
39,59.1,-22.492746,-41.930355,1.78,107,77
40,60.8,-22.492758,-41.930367,1.78,108,77
41,62.8,-22.492769,-41.930382,1.84,108,77
42,64.6,-22.492781,-41.930393,1.86,108,77
43,66.6,-22.492792,-41.930408,1.9,108,77
44,68.6,-22.492804,-41.930424,1.9,108,77
45,70.6,-22.492815,-41.930439,1.96,107,77
46,72.5,-22.492825,-41.930454,1.94,107,77
47,74.6,-22.492836,-41.930469,2,107,77
48,76.6,-22.492847,-41.930485,2,107,77
49,78.6,-22.492859,-41.9305,2,107,77
50,80.6,-22.49287,-41.930515,2,109,77
51,82.6,-22.492882,-41.930531,2.02,109,77
52,84.7,-22.492893,-41.930546,2.02,109,77
53,86.7,-22.492905,-41.930561,2.02,109,77
54,88.7,-22.492916,-41.930576,2.02,109,77
55,90.7,-22.492928,-41.930592,2.02,109,77
56,92.6,-22.492941,-41.930603,2,109,77
57,94.6,-22.492952,-41.930618,1.98,109,77
58,96.5,-22.492966,-41.93063,1.96,109,77
59,98.7,-22.492979,-41.930645,2,109,77
60,100.7,-22.49299,-41.93066,2,110,77
61,102.4,-22.493002,-41.930672,1.96,110,77
62,104.4,-22.493013,-41.930687,1.96,110,77
63,106.2,-22.493025,-41.930698,1.94,110,77
64,108.2,-22.493036,-41.930714,1.9,110,77
65,109.8,-22.493046,-41.930725,1.82,112,77
66,111.8,-22.493057,-41.93074,1.88,112,77
67,113.7,-22.493071,-41.930752,1.86,112,77
68,115.7,-22.493082,-41.930767,1.9,112,77
69,117.7,-22.493093,-41.930782,1.9,112,77
70,119.8,-22.493105,-41.930798,2,111,75
71,121.9,-22.493118,-41.930813,2.02,111,75
72,123.9,-22.49313,-41.930828,2.04,111,75
73,126.1,-22.493143,-41.930843,2.08,111,75
74,127.8,-22.493154,-41.930855,2.02,111,75
75,130,-22.493168,-41.93087,2.04,112,77
