time,velocity_smooth,heartrate,cadence
0,0,96,76
5,0,96,76
10,0,97,88
15,0,100,88
20,0,105,88
25,0,104,90
30,0,106,90
35,0,108,89
40,0,108,89
45,0,109,89
50,0,110,90
55,0,110,90
60,0,112,89
65,0,113,89
70,0,114,89
75,0,115,89
80,0,116,90
85,0,116,89
90,0,117,89
95,0,117,90
100,0,117,90
105,0,117,90
110,0,119,86
115,0,117,86
120,0,119,86
125,0,121,86
130,0,121,88
135,0,123,88
140,0,121,88
145,0,122,90
150,0,123,90
155,0,122,89
160,0,123,89
165,0,124,90
170,0,124,90
175,0,124,89
180,0,123,89
185,0,123,89
190,0,122,89
195,0,123,89
200,0,123,89
205,0,123,89
210,0,124,89
215,0,124,89
220,0,124,89
225,0,124,89
230,0,125,90
235,0,127,90
240,0,127,89
245,0,129,90
250,0,129,90
255,0,130,90
260,0,131,90
265,0,131,90
270,0,132,90
275,0,132,91
280,0,134,90
285,0,134,91
290,0,134,90
295,0,134,90
300,0,134,90
305,0,133,90
310,0,133,90
315,0,134,90
320,0,134,90
325,0,134,90
330,0,133,90
335,0,134,89
340,0,135,89
345,0,135,90
350,0,134,89
355,0,135,89
360,0,135,90
365,0,135,90
370,0,136,90
375,0,136,90
380,0,136,90
385,0,135,90
390,0,135,90
395,0,134,90
400,0,132,89
405,0,134,89
410,0,136,90
415,0,135,90
420,0,135,90
425,0,135,89
430,0,135,89
435,0,134,89
440,0,133,89
445,0,133,90
450,0,134,90
455,0,134,89
460,0,132,89
465,0,133,89
470,0,133,90
475,0,136,90
480,0,135,91
485,0,135,90
490,0,136,90
495,0,136,90
500,0,135,90
505,0,134,89
510,0,134,89
515,0,133,90
520,0,133,87
525,0,135,85
530,0,135,91
535,0,136,88
540,0,136,90
545,0,137,92
550,0,138,91
555,0,139,92
560,0,138,93
565,0,138,93
570,0,140,92
575,0,141,93
580,0,141,92
585,0,141,92
590,0,141,93
595,0,141,92
600,0,143,92
605,0,143,93
610,0,142,92
615,0,141,92
620,0,139,92
625,0,139,92
630,0,142,92
635,0,143,92
640,0,143,92
645,0,143,92
650,0,144,92
655,0,143,92
660,0,144,91
665,0,143,92
670,0,141,91
675,0,143,90
680,0,143,91
685,0,143,91
690,0,144,91
695,0,143,91
700,0,144,92
705,0,144,91
710,0,144,92
715,0,143,92
720,0,143,92
725,0,143,92
730,0,144,92
735,0,144,92
740,0,145,92
745,0,144,92
750,0,145,92
755,0,144,92
760,0,144,91
765,0,144,92
770,0,145,91
775,0,145,91
780,0,144,91
785,0,144,92
790,0,144,91
795,0,143,91
800,0,143,91
805,0,145,92
810,0,145,91
815,0,145,92
820,0,145,92
825,0,145,92
830,0,145,92
835,0,145,91
840,0,145,92
845,0,144,91
850,0,145,92
855,0,145,91
860,0,145,92
865,0,145,92
870,0,146,92
875,0,145,92
880,0,146,92
885,0,147,92
890,0,147,91
895,0,148,91
900,0,148,91
905,0,149,91
910,0,149,91
915,0,148,90
920,0,148,90
925,0,148,90
930,0,148,90
935,0,149,91
940,0,149,90
945,0,149,90
950,0,148,91
955,0,149,91
960,0,148,91
965,0,150,91
970,0,150,90
975,0,148,91
980,0,148,91
985,0,148,91
990,0,148,91
995,0,148,91
1000,0,148,92
1005,0,149,91
1010,0,147,92
1015,0,147,91
1020,0,146,91
1025,0,147,91
1030,0,147,90
1035,0,149,91
1040,0,148,91
1045,0,149,91
1050,0,150,91
1055,0,151,92
1060,0,150,91
1065,0,150,92
1070,0,150,91
1075,0,149,91
1080,0,148,91
1085,0,148,92
1090,0,149,93
1095,0,149,92
1100,0,150,92
1105,0,151,93
1110,0,150,93
1115,0,151,92
1120,0,151,93
1125,0,151,92
