time,distance,velocity_smooth,heartrate,cadence
0,0,0,93,0
10,0,0,93,0
15,0,0,93,0
20,0,0,90,75
25,0,0,89,82
30,0,0,89,85
35,0,0,89,85
40,0,0,88,84
45,0,0,89,85
50,0,0,88,84
55,0,0,89,84
60,0,0,89,85
65,0,0,90,85
66,137,0,90,85
70,137,0,89,85
75,137,0,91,85
80,137,0,93,86
85,137,0,97,86
90,137,0,99,87
95,137,0,99,87
100,137,0,102,87
105,137,0,102,87
110,137,0,101,88
115,137,0,102,88
120,137,0,101,88
125,137,0,99,88
126,265,0,99,88
130,265,0,99,87
135,265,0,102,87
140,265,0,105,88
145,265,0,105,88
150,265,0,105,88
155,265,0,105,87
160,265,0,104,87
165,265,0,105,87
170,265,0,107,87
175,265,0,106,87
180,265,0,101,86
185,265,0,104,86
186,387,0,104,86
190,387,0,107,87
195,387,0,107,86
200,387,0,106,86
205,387,0,107,86
210,387,0,110,86
215,387,0,110,86
220,387,0,109,86
225,387,0,111,86
230,387,0,111,87
235,387,0,108,86
240,387,0,108,86
245,387,0,109,87
246,508,0,109,87
250,508,0,112,86
255,508,0,111,87
260,508,0,111,87
265,508,0,108,86
270,508,0,106,86
275,508,0,104,86
280,508,0,105,86
285,508,0,103,87
290,508,0,106,87
295,508,0,110,87
300,508,0,114,87
305,508,0,114,88
306,632,0,114,88
310,632,0,115,87
315,632,0,115,89
320,632,0,114,89
325,632,0,115,89
330,632,0,116,89
335,632,0,115,89
340,632,0,115,89
345,632,0,117,88
350,632,0,117,88
355,632,0,118,88
360,632,0,118,86
365,632,0,119,88
366,761,0,119,88
370,761,0,119,88
375,761,0,121,89
380,761,0,122,87
385,761,0,123,87
390,761,0,123,88
395,761,0,123,88
400,761,0,124,87
405,761,0,125,87
410,761,0,123,87
415,761,0,125,87
420,761,0,123,88
425,761,0,126,87
426,888,0,126,87
430,888,0,126,87
435,888,0,126,87
440,888,0,126,87
445,888,0,127,87
450,888,0,124,88
455,888,0,126,87
