time,distance,velocity_smooth,heartrate,cadence
0,0,0,89,0
5,0,0,89,0
10,0,0,88,0
15,0,0,87,63
20,0,0,88,69
25,0,0,90,69
30,0,0,90,63
35,0,0,91,63
40,0,0,92,63
45,0,0,92,63
50,0,0,92,60
55,0,0,94,62
58,90,0,94,62
60,90,0,92,63
65,90,0,91,62
70,90,0,88,62
75,90,0,88,63
80,90,0,92,65
85,90,0,91,65
90,90,0,93,64
95,90,0,93,63
100,90,0,93,65
105,90,0,93,65
110,90,0,92,65
115,90,0,93,64
118,188,0,93,64
120,188,0,93,63
125,188,0,94,66
130,188,0,95,60
135,188,0,94,60
140,188,0,94,58
145,188,0,94,60
150,188,0,91,62
155,188,0,91,66
160,188,0,89,69
165,188,0,89,63
170,188,0,90,63
175,188,0,94,69
178,285,0,94,69
180,285,0,96,66
185,285,0,94,60
190,285,0,94,63
195,285,0,97,63
200,285,0,97,65
205,285,0,96,63
210,285,0,94,61
215,285,0,94,63
220,285,0,94,64
225,285,0,92,63
230,285,0,93,60
235,285,0,92,60
238,377,0,92,60
240,377,0,90,62
245,377,0,93,75
250,377,0,95,75
255,377,0,96,78
260,377,0,96,71
265,377,0,100,72
270,377,0,97,71
275,377,0,99,70
280,377,0,98,73
285,377,0,103,85
290,377,0,102,88
295,377,0,104,88
298,512,0,104,88
300,512,0,106,88
305,512,0,106,88
310,512,0,106,75
315,512,0,107,69
320,512,0,110,79
325,512,0,109,88
330,512,0,111,88
335,512,0,113,88
340,512,0,114,88
345,512,0,113,88
350,512,0,113,88
355,512,0,114,85
358,652,0,114,85
360,652,0,116,87
365,652,0,117,87
370,652,0,116,87
375,652,0,116,87
380,652,0,117,88
385,652,0,116,88
390,652,0,116,88
395,652,0,116,88
400,652,0,117,88
405,652,0,116,87
410,652,0,117,88
415,652,0,117,87
418,793,0,117,87
420,793,0,117,88
425,793,0,118,88
430,793,0,118,89
435,793,0,120,89
440,793,0,119,90
445,793,0,118,90
450,793,0,119,90
455,793,0,118,89
460,793,0,119,90
465,793,0,119,89
470,793,0,119,89
475,793,0,121,89
478,931,0,121,89
480,931,0,120,89
485,931,0,120,90
490,931,0,120,90
495,931,0,120,90
500,931,0,118,90
505,931,0,119,90
510,931,0,120,90
515,931,0,121,89
520,931,0,121,90
525,931,0,121,90
530,931,0,121,89
535,931,0,122,90
538,1067,0,122,90
540,1067,0,121,90
545,1067,0,121,89
550,1067,0,119,90
555,1067,0,119,90
560,1067,0,120,90
565,1067,0,121,90
570,1067,0,120,90
575,1067,0,121,90
580,1067,0,119,90
585,1067,0,120,90
590,1067,0,120,90
595,1067,0,119,90
598,1210,0,119,90
600,1210,0,120,90
605,1210,0,119,90
610,1210,0,121,90
615,1210,0,121,90
620,1210,0,120,90
625,1210,0,120,90
630,1210,0,120,90
635,1210,0,121,87
640,1210,0,119,75
645,1210,0,120,79
650,1210,0,121,88
655,1210,0,120,91
658,1352,0,120,91
660,1352,0,121,91
665,1352,0,120,88
670,1352,0,120,88
675,1352,0,122,88
680,1352,0,121,90
685,1352,0,121,90
690,1352,0,119,90
695,1352,0,120,90
700,1352,0,121,90
705,1352,0,121,90
710,1352,0,121,90
715,1352,0,122,91
718,1496,0,122,91
720,1496,0,123,91
725,1496,0,123,90
730,1496,0,124,90
735,1496,0,125,91
740,1496,0,126,90
745,1496,0,127,91
750,1496,0,128,91
755,1496,0,128,90
760,1496,0,129,90
765,1496,0,129,91
770,1496,0,129,91
775,1496,0,127,91
778,1649,0,127,91
780,1649,0,127,92
785,1649,0,128,92
790,1649,0,129,91
795,1649,0,129,91
800,1649,0,130,91
805,1649,0,129,89
810,1649,0,128,89
815,1649,0,130,90
820,1649,0,128,91
825,1649,0,128,90
830,1649,0,127,90
835,1649,0,128,91
838,1801,0,128,91
840,1801,0,128,90
845,1801,0,127,91
850,1801,0,127,90
855,1801,0,127,91
860,1801,0,127,91
865,1801,0,128,91
870,1801,0,128,91
875,1801,0,128,91
880,1801,0,128,91
885,1801,0,128,91
890,1801,0,129,91
895,1801,0,130,91
898,1945,0,130,91
900,1945,0,130,91
905,1945,0,130,91
910,1945,0,129,91
915,1945,0,130,90
920,1945,0,132,91
925,1945,0,131,91
930,1945,0,133,90
935,1945,0,132,90
940,1945,0,132,90
945,1945,0,132,91
950,1945,0,131,90
955,1945,0,132,90
958,2085,0,132,90
960,2085,0,132,90
965,2085,0,131,90
970,2085,0,131,90
975,2085,0,133,90
980,2085,0,133,90
985,2085,0,134,90
990,2085,0,133,90
995,2085,0,133,90
1000,2085,0,132,91
1005,2085,0,133,90
1010,2085,0,131,91
1015,2085,0,132,91
1018,2220,0,132,91
1020,2220,0,131,90
1025,2220,0,132,91
1030,2220,0,132,90
1035,2220,0,130,90
1040,2220,0,132,91
1045,2220,0,131,91
1050,2220,0,131,91
1055,2220,0,130,91
1060,2220,0,131,91
1065,2220,0,133,91
1070,2220,0,132,90
1075,2220,0,132,89
1078,2220,0,132,89
1080,2220,0,130,46
1085,2220,0,129,46
1090,2220,0,129,82
1095,2220,0,128,82
1100,2220,0,127,85
1105,2220,0,127,84
1110,2220,0,126,83
1115,2220,0,126,83
1120,2220,0,125,84
1125,2220,0,126,84
1130,2220,0,125,83
1135,2220,0,124,83
1138,2220,0,124,83
1140,2220,0,122,82
1145,2220,0,120,81
1150,2220,0,121,81
1155,2220,0,120,81
1160,2220,0,122,81
1165,2220,0,123,81
1170,2220,0,124,82
1175,2220,0,122,81
1180,2220,0,121,81
1185,2220,0,120,80
1190,2220,0,120,76
1195,2220,0,120,63
1198,2220,0,120,63
1200,2220,0,119,66
1205,2220,0,119,62
