time,distance,lat,lng,velocity_smooth
0,0,-22.397429,-41.786713,0
1,1.5,-22.397423,-41.7867,1.5
2,3.8,-22.397411,-41.786682,1.9
3,5.5,-22.397404,-41.786667,1.833
4,7.7,-22.397392,-41.78665,1.925
5,9.9,-22.39738,-41.786633,1.98
6,12.1,-22.397367,-41.786617,2.12
7,14.1,-22.397356,-41.786602,2.06
8,16,-22.397345,-41.786587,2.1
9,18.2,-22.397333,-41.78657,2.1
10,20,-22.397324,-41.786556,2.02
11,22.1,-22.397312,-41.78654,2
12,23.5,-22.397303,-41.78653,1.88
13,25.4,-22.397295,-41.786514,1.88
14,27.2,-22.397285,-41.7865,1.8
15,29.2,-22.397276,-41.786484,1.84
16,30.9,-22.397268,-41.78647,1.76
17,32.9,-22.397259,-41.786453,1.88
18,34.7,-22.397251,-41.786438,1.86
19,36.5,-22.397242,-41.786423,1.86
20,38.6,-22.397234,-41.786404,1.88
21,40.5,-22.397224,-41.78639,1.92
22,42.4,-22.397217,-41.786373,1.9
23,44.3,-22.397207,-41.786358,1.92
24,46.4,-22.397198,-41.78634,1.98
25,48.3,-22.39719,-41.786324,1.94
26,50.6,-22.39718,-41.786304,2.02
27,52.4,-22.397171,-41.78629,2
28,54.7,-22.397161,-41.78627,2.08
29,57,-22.397152,-41.78625,2.12
30,58.8,-22.397142,-41.786236,2.1
31,61,-22.397133,-41.786217,2.08
32,63.1,-22.397123,-41.7862,2.14
33,65,-22.397112,-41.786186,2.06
34,67,-22.397102,-41.78617,2
35,68.7,-22.397093,-41.786156,1.98
36,70.4,-22.397083,-41.786144,1.88
37,71.9,-22.397074,-41.786133,1.76
38,73.6,-22.397064,-41.78612,1.72
39,75.2,-22.397053,-41.78611,1.64
40,76.7,-22.397043,-41.7861,1.6
41,78.4,-22.397034,-41.786087,1.6
42,80.6,-22.397022,-41.78607,1.74
43,82.3,-22.39701,-41.78606,1.74
44,83.8,-22.397,-41.78605,1.72
45,85.7,-22.396988,-41.786037,1.8
46,87.5,-22.396976,-41.786026,1.82
47,89,-22.396967,-41.786015,1.68
48,90.5,-22.396955,-41.786007,1.64
49,92.1,-22.396946,-41.785995,1.66
50,93.7,-22.396936,-41.785984,1.6
51,95.1,-22.396929,-41.785973,1.52
52,96.8,-22.39692,-41.78596,1.56
53,98.3,-22.39691,-41.78595,1.56
54,99.8,-22.3969,-41.78594,1.54
55,101.5,-22.39689,-41.785927,1.56
56,103,-22.396883,-41.785915,1.58
57,104.9,-22.396873,-41.7859,1.62
58,106.3,-22.396864,-41.78589,1.6
59,107.9,-22.396856,-41.785877,1.62
60,109.8,-22.396847,-41.785862,1.66
61,111.4,-22.396837,-41.78585,1.68
62,113.4,-22.396826,-41.785835,1.7
63,115.2,-22.396814,-41.785824,1.78
64,117.1,-22.396803,-41.78581,1.84
65,119.3,-22.396791,-41.785793,1.9
66,121.1,-22.39678,-41.78578,1.94
67,123,-22.396767,-41.785767,1.92
68,125.2,-22.396755,-41.78575,2
69,127.1,-22.396744,-41.785736,2
70,129.4,-22.39673,-41.78572,2.02
71,131.3,-22.396719,-41.785706,2.04
72,133,-22.396708,-41.785694,2
73,135,-22.396696,-41.78568,1.96
74,137,-22.396685,-41.785664,1.98
75,139,-22.396673,-41.78565,1.92
76,141.2,-22.396662,-41.785633,1.98
77,143.4,-22.396652,-41.785614,2.08
78,145.4,-22.39664,-41.7856,2.08
79,147.7,-22.396631,-41.78558,2.14
80,149.5,-22.396624,-41.785564,2.1
81,151.7,-22.396614,-41.785545,2.1
82,153.9,-22.396606,-41.785526,2.1
83,156.1,-22.396597,-41.785507,2.14
84,158,-22.39659,-41.78549,2.06
85,160,-22.396582,-41.785473,2.1
86,162.2,-22.396572,-41.785454,2.1
87,164.3,-22.396564,-41.785435,2.08
88,166.2,-22.396555,-41.78542,2.02
89,168.5,-22.396545,-41.7854,2.1
90,170.4,-22.396536,-41.785385,2.08
91,172.3,-22.396526,-41.78537,2.02
92,174.7,-22.396515,-41.78535,2.08
93,176.6,-22.396503,-41.785336,2.08
94,178.7,-22.396492,-41.78532,2.04
95,181,-22.396482,-41.7853,2.12
96,182.9,-22.396471,-41.785286,2.12
97,184.9,-22.396461,-41.78527,2.04
98,186.9,-22.39645,-41.785255,2.06
99,188.8,-22.396439,-41.78524,2.02
100,190.9,-22.396427,-41.785225,1.98
101,193,-22.396414,-41.78521,2.02
102,195.1,-22.396402,-41.785194,2.04
103,197.2,-22.396389,-41.78518,2.06
104,199.4,-22.396376,-41.785164,2.12
105,201.2,-22.396364,-41.785152,2.06
106,203.4,-22.39635,-41.785137,2.08
107,205.3,-22.39634,-41.785122,2.04
108,207.1,-22.396328,-41.78511,1.98
109,209,-22.396318,-41.785095,1.92
110,210.8,-22.396309,-41.78508,1.92
111,212.7,-22.3963,-41.785065,1.86
112,214.9,-22.39629,-41.785046,1.92
113,216.8,-22.396282,-41.78503,1.94
114,218.6,-22.396273,-41.785015,1.92
115,220.4,-22.396265,-41.785,1.92
116,222.8,-22.396255,-41.78498,2.02
117,224.4,-22.396248,-41.784966,1.9
118,226.7,-22.396238,-41.784946,1.98
119,228.7,-22.396229,-41.78493,2.02
120,230.4,-22.39622,-41.784916,2
121,232.4,-22.39621,-41.7849,1.92
122,234.2,-22.396202,-41.784885,1.96
123,236,-22.396193,-41.78487,1.86
124,237.5,-22.396183,-41.78486,1.76
125,239.6,-22.396173,-41.784843,1.84
126,241.3,-22.396164,-41.78483,1.78
127,243,-22.396154,-41.784817,1.76
128,244.9,-22.396147,-41.7848,1.78
129,246.5,-22.396141,-41.784786,1.8
130,248.3,-22.396135,-41.78477,1.74
131,249.9,-22.39613,-41.784756,1.72
132,251.9,-22.396124,-41.784737,1.78
133,253.9,-22.396116,-41.78472,1.8
134,255.9,-22.396109,-41.784702,1.88
135,257.7,-22.3961,-41.784687,1.88
136,259.9,-22.396091,-41.784668,2
137,262,-22.396082,-41.78465,2.02
138,264.3,-22.396074,-41.78463,2.08
139,266.6,-22.396065,-41.78461,2.14
140,268.8,-22.396057,-41.78459,2.22
141,270.8,-22.396048,-41.784573,2.18
142,272.8,-22.396038,-41.784557,2.16
143,274.8,-22.396029,-41.78454,2.1
144,276.9,-22.396019,-41.784523,2.06
145,279.1,-22.39601,-41.784504,2.06
146,280.9,-22.396,-41.78449,2.02
147,283.3,-22.39599,-41.78447,2.1
148,285.3,-22.395979,-41.784454,2.1
149,287.3,-22.395967,-41.78444,2.08
150,289.3,-22.395956,-41.784424,2.04
151,291.6,-22.395945,-41.784405,2.14
152,293.8,-22.395931,-41.78439,2.1
153,295.9,-22.39592,-41.784374,2.12
154,297.8,-22.395908,-41.78436,2.1
155,300.1,-22.395899,-41.78434,2.16
156,302.2,-22.395887,-41.784325,2.12
157,304,-22.395878,-41.78431,2.04
158,306.4,-22.395868,-41.78429,2.1
159,308.2,-22.395859,-41.784275,2.08
160,310.3,-22.395851,-41.784256,2.04
161,312.4,-22.395844,-41.784237,2.04
162,314.6,-22.395836,-41.784218,2.12
163,316.6,-22.39583,-41.7842,2.04
164,318.8,-22.395823,-41.78418,2.12
165,320.5,-22.395817,-41.784164,2.04
166,322.6,-22.395811,-41.784145,2.04
167,324.7,-22.395803,-41.784126,2.02
168,326.8,-22.395796,-41.784107,2.04
169,328.8,-22.395788,-41.78409,2
170,330.8,-22.395779,-41.784073,2.06
171,333,-22.39577,-41.784054,2.08
172,335.3,-22.39576,-41.784035,2.12
173,337.3,-22.395748,-41.78402,2.1
174,339.7,-22.395737,-41.784,2.18
175,341.7,-22.395725,-41.783985,2.18
176,343.7,-22.395714,-41.78397,2.14
177,345.9,-22.3957,-41.783955,2.12
178,347.9,-22.395689,-41.78394,2.12
179,349.8,-22.39568,-41.783924,2.02
180,352.2,-22.395668,-41.783905,2.1
181,354.1,-22.395657,-41.78389,2.08
182,356,-22.395647,-41.783875,2.02
183,358,-22.395636,-41.78386,2.02
184,360,-22.395626,-41.783844,2.04
185,362.2,-22.395617,-41.783825,2
186,364.1,-22.395607,-41.78381,2
187,366.1,-22.395597,-41.783794,2.02
188,368.3,-22.395588,-41.783775,2.06
189,370.2,-22.395578,-41.78376,2.04
190,372,-22.395569,-41.783745,1.96
191,374.2,-22.395561,-41.783726,2.02
192,376.1,-22.395552,-41.78371,2
193,378,-22.395542,-41.783695,1.94
194,379.9,-22.395533,-41.78368,1.94
195,381.6,-22.395525,-41.783665,1.92
196,383.4,-22.395517,-41.78365,1.84
197,385.2,-22.39551,-41.783634,1.82
198,386.9,-22.395502,-41.78362,1.78
199,389.2,-22.395494,-41.7836,1.86
200,390.9,-22.395487,-41.783585,1.86
201,392.8,-22.395477,-41.78357,1.88
202,394.6,-22.39547,-41.783554,1.88
203,396.9,-22.39546,-41.783535,2
204,398.8,-22.39545,-41.78352,1.92
205,400.8,-22.39544,-41.783504,1.98
206,402.6,-22.39543,-41.78349,1.96
207,405,-22.395418,-41.78347,2.08
208,406.9,-22.395409,-41.783455,2
209,408.7,-22.3954,-41.78344,1.98
210,410.7,-22.39539,-41.783424,1.98
211,412.5,-22.39538,-41.78341,1.98
212,414.9,-22.39537,-41.78339,1.98
213,416.6,-22.395363,-41.783375,1.94
214,418.4,-22.395355,-41.78336,1.94
215,420.2,-22.395348,-41.783344,1.9
216,421.9,-22.39534,-41.78333,1.88
217,423.8,-22.395332,-41.783314,1.78
218,425.4,-22.395325,-41.7833,1.76
219,427.4,-22.395317,-41.783283,1.8
220,429.1,-22.39531,-41.783268,1.78
221,431,-22.3953,-41.783253,1.82
222,433.2,-22.39529,-41.783234,1.88
223,435.9,-22.39528,-41.78321,2.1
224,438.2,-22.395271,-41.78319,2.16
225,440.5,-22.395262,-41.78317,2.28
226,442.9,-22.395252,-41.78315,2.38
227,445.2,-22.395243,-41.78313,2.4
228,447.5,-22.395233,-41.78311,2.32
229,449.7,-22.395222,-41.783092,2.3
230,452,-22.395212,-41.783073,2.3
231,453.6,-22.395203,-41.78306,2.14
232,456.1,-22.395191,-41.78304,2.18
233,458.4,-22.395182,-41.78302,2.18
234,460.8,-22.39517,-41.783,2.22
235,462.6,-22.39516,-41.782986,2.12
236,464.9,-22.39515,-41.782967,2.26
237,467.1,-22.39514,-41.782948,2.2
238,469.4,-22.395128,-41.78293,2.2
239,471.7,-22.395119,-41.78291,2.18
240,473.6,-22.39511,-41.782894,2.2
241,475.9,-22.3951,-41.782875,2.2
242,478.1,-22.39509,-41.782856,2.2
243,480.1,-22.39508,-41.78284,2.14
244,482,-22.395071,-41.782825,2.06
245,484.2,-22.395061,-41.782806,2.12
246,486.1,-22.395052,-41.78279,2.04
247,488,-22.395042,-41.782776,1.98
248,490.2,-22.395033,-41.782757,2.02
249,492.2,-22.395023,-41.78274,2.04
250,494.3,-22.395014,-41.782722,2.02
251,496.2,-22.395004,-41.782707,2.02
252,498.4,-22.394993,-41.78269,2.08
253,500.6,-22.394981,-41.782673,2.08
254,502.4,-22.394972,-41.782658,2.04
255,504.6,-22.394962,-41.78264,2.06
256,506.8,-22.394955,-41.78262,2.12
257,509,-22.394947,-41.7826,2.12
258,511.2,-22.39494,-41.78258,2.12
259,513.2,-22.394934,-41.782562,2.16
260,515.6,-22.394928,-41.78254,2.2
261,517.7,-22.394922,-41.78252,2.18
262,519.9,-22.394915,-41.7825,2.18
263,522.1,-22.394909,-41.78248,2.18
264,524.3,-22.394901,-41.78246,2.22
265,526.5,-22.394894,-41.78244,2.18
