time,distance,lat,lng,velocity_smooth,heartrate,cadence
0,0,-22.492298,-41.929928,0,110,0
5,0,-22.492298,-41.929928,0,110,0
6,0,-22.492298,-41.929928,0,110,0
7,2.6,-22.492319,-41.929939,0.371,110,0
8,5.8,-22.492348,-41.929943,0.725,110,0
9,8.9,-22.492374,-41.929951,0.989,110,0
10,12.2,-22.492403,-41.929958,2.44,109,82
11,15.4,-22.492432,-41.929966,3.08,109,82
12,18.6,-22.492458,-41.929977,3.2,109,82
13,21.5,-22.492483,-41.929985,3.14,109,82
14,24.5,-22.492508,-41.929996,3.12,109,82
15,27.3,-22.492529,-41.930012,3.02,112,85
16,30.1,-22.49255,-41.930027,2.94,112,85
17,32.8,-22.492569,-41.930042,2.84,112,85
18,35.5,-22.492586,-41.930061,2.8,112,85
19,38.2,-22.492603,-41.93008,2.74,112,85
20,41.3,-22.49262,-41.930103,2.8,117,88
21,44,-22.492638,-41.930122,2.78,117,88
22,47,-22.492655,-41.930145,2.84,117,88
23,49.8,-22.492672,-41.930164,2.86,117,88
24,52.5,-22.492689,-41.930183,2.86,117,88
25,55.5,-22.492706,-41.930206,2.84,120,88
26,58.1,-22.492721,-41.930225,2.82,120,88
27,60.9,-22.492735,-41.930248,2.78,120,88
28,63.7,-22.492748,-41.930271,2.78,120,88
29,63.7,-22.492762,-41.930298,2.24,120,88
30,66.7,-22.492773,-41.930325,2.24,124,86
31,69.4,-22.492784,-41.930347,2.26,124,86
32,72.5,-22.492798,-41.930374,2.32,124,86
33,75.5,-22.492809,-41.930401,2.36,124,86
34,78.6,-22.492823,-41.930428,2.98,124,86
35,81.4,-22.492836,-41.93045,2.94,126,87
36,84.3,-22.492851,-41.930473,2.98,126,87
37,87.1,-22.492865,-41.930496,2.92,126,87
38,90,-22.49288,-41.930519,2.9,126,87
39,92.9,-22.492895,-41.930542,2.86,126,87
40,95.5,-22.49291,-41.930561,2.82,126,86
41,98.4,-22.492926,-41.930584,2.82,126,86
42,101.3,-22.492941,-41.930607,2.84,126,86
43,104.1,-22.492954,-41.93063,2.82,126,86
44,106.8,-22.492971,-41.930649,2.78,126,86
