time,distance,velocity_smooth,heartrate,cadence
0,0,0,75,0
5,0,0,75,0
10,0,0,77,0
15,0,0,77,0
20,0,0,79,63
21,21,0,79,63
25,21,4.2,82,63
30,21,0,86,66
35,21,0,87,70
40,21,0,88,68
45,21,0,88,71
50,21,0,88,79
55,21,0,89,85
60,21,0,93,84
65,21,0,93,83
70,21,0,95,83
75,21,0,97,84
80,21,0,98,85
81,154,0,98,85
85,154,0,100,85
90,154,0,101,84
95,154,0,102,84
100,154,0,101,84
105,154,0,102,84
110,154,0,103,83
115,154,0,104,83
120,154,0,104,84
125,154,0,106,84
130,154,0,108,84
135,154,0,108,84
140,154,0,112,84
141,281,0,112,84
145,281,0,112,84
150,281,0,113,85
155,281,0,113,85
160,281,0,113,85
165,281,0,114,85
170,281,0,114,86
175,281,0,114,85
180,281,0,115,86
185,281,0,116,86
190,281,0,115,86
195,281,0,117,86
200,281,0,118,86
201,408,0,118,86
205,408,0,119,86
210,408,0,119,86
215,408,0,121,86
220,408,0,123,86
225,408,0,123,86
230,408,0,122,86
235,408,0,122,86
240,408,0,119,86
245,408,0,121,86
250,408,0,119,86
255,408,0,118,85
260,408,0,118,86
261,537,0,118,86
265,537,0,119,86
270,537,0,119,86
275,537,0,118,86
280,537,0,118,87
285,537,0,119,87
290,537,0,118,87
295,537,0,119,87
300,537,0,120,87
305,537,0,123,87
310,537,0,124,87
315,537,0,125,87
320,537,0,124,87
321,670,0,124,87
325,670,0,126,87
330,670,0,126,88
335,670,0,128,88
340,670,0,129,88
345,670,0,130,87
350,670,0,130,88
355,670,0,130,88
360,670,0,130,88
365,670,0,130,87
370,670,0,131,87
375,670,0,129,87
380,670,0,129,88
381,806,0,129,88
385,806,0,131,88
390,806,0,133,87
395,806,0,130,87
400,806,0,132,87
405,806,0,133,87
410,806,0,132,87
415,806,0,131,87
420,806,0,131,87
425,806,0,131,86
430,806,0,132,86
435,806,0,131,86
440,806,0,132,87
441,938,0,132,87
445,938,0,134,86
450,938,0,133,86
455,938,0,133,87
460,938,0,133,87
465,938,0,132,87
470,938,0,130,87
475,938,0,129,87
480,938,0,131,86
485,938,0,130,85
490,938,0,129,49
501,960,1.375,129,49
