time,distance,lat,lng,velocity_smooth,heartrate,cadence
0,0,-22.492376,-41.929935,0,112,0
5,0,-22.492376,-41.929935,0,112,0
6,0.9,-22.492384,-41.929939,0.15,112,0
7,2.8,-22.492399,-41.929947,0.4,112,0
8,4.3,-22.492413,-41.929951,0.538,112,0
9,6.2,-22.492428,-41.929958,0.689,112,0
10,8.1,-22.492443,-41.929966,1.62,111,0
11,10.1,-22.49246,-41.929974,1.84,111,0
12,12,-22.492475,-41.929981,1.84,111,0
13,14.1,-22.492493,-41.929989,1.96,111,0
14,15.9,-22.492508,-41.929996,1.94,111,0
15,17.8,-22.492523,-41.930004,1.94,110,0
16,19.9,-22.492538,-41.930016,1.96,110,0
17,21.6,-22.49255,-41.930027,1.92,110,0
18,23.2,-22.492559,-41.930038,1.82,110,0
19,25,-22.492567,-41.930054,1.82,110,0
20,26.7,-22.492573,-41.930069,1.78,110,76
21,28.7,-22.492577,-41.930088,1.76,110,76
22,30.3,-22.49258,-41.930103,1.74,110,76
23,32,-22.492586,-41.930118,1.76,110,76
24,34,-22.492592,-41.930138,1.8,110,76
25,35.6,-22.492601,-41.930149,1.78,112,76
26,35.6,-22.492609,-41.930164,1.38,112,76
27,37.2,-22.492619,-41.930176,1.38,112,76
28,39.2,-22.49263,-41.930191,1.44,112,76
29,40.8,-22.49264,-41.930202,1.36,112,76
30,42.4,-22.492649,-41.930214,1.36,114,73
31,44,-22.492659,-41.930225,1.68,114,73
32,45.6,-22.492668,-41.930237,1.68,114,73
33,47.2,-22.492678,-41.930248,1.6,114,73
34,48.9,-22.492689,-41.93026,1.62,114,73
35,50.5,-22.492699000000002,-41.930271,1.62,114,74
36,52.4,-22.492708,-41.930286,1.68,114,74
37,54.1,-22.49272,-41.930298,1.7,114,74
38,56.1,-22.492731,-41.930313,1.78,114,74
39,57.7,-22.492741,-41.930325,1.76,114,74
40,59.7,-22.492752,-41.93034,1.84,115,74
41,61.4,-22.492763,-41.930351,1.8,115,74
42,63.5,-22.492775,-41.930367,1.88,115,74
43,65.1,-22.492784,-41.930378,1.8,115,74
44,66.9,-22.492794,-41.930393,1.84,115,74
45,68.5,-22.492804,-41.930405,1.76,115,75
46,70.1,-22.492813,-41.930416,1.74,115,75
47,71.8,-22.492825,-41.930428,1.66,115,75
48,73.4,-22.492834,-41.930439,1.66,115,75
49,75,-22.492844,-41.93045,1.62,115,75
50,76.7,-22.492855,-41.930462,1.64,117,75
51,78.8,-22.492866,-41.930477,1.74,117,75
52,80.3,-22.492876,-41.930489,1.7,117,75
53,81.9,-22.492886,-41.9305,1.7,117,75
54,83.8,-22.492895,-41.930515,1.76,117,75
55,85.7,-22.492905,-41.930531,1.8,117,75
56,87.6,-22.492914,-41.930546,1.76,117,75
57,89.4,-22.492922,-41.930561,1.82,117,75
58,91.3,-22.492931,-41.930576,1.88,117,75
59,93.2,-22.492941,-41.930592,1.88,117,75
60,95.4,-22.49295,-41.930611,1.94,119,74
61,97.4,-22.492962,-41.930626,1.96,119,74
62,99.4,-22.492973,-41.930641,2,119,74
63,101.4,-22.492985,-41.930656,2.02,119,74
