achievement_count,athlete_count,athlete.id,athlete.resource_state,average_heartrate,average_speed,comment_count,commute,display_hide_heartrate_option,distance,elapsed_time,elev_high,elev_low,end_latlng1,end_latlng2,external_id,flagged,from_accepted_tag,gear_id,has_heartrate,has_kudoed,heartrate_opt_out,id,kudos_count,manual,map.id,map.resource_state,map.summary_polyline,max_heartrate,max_speed,moving_time,name,photo_count,pr_count,private,resource_state,sport_type,start_date,start_date_local,start_latlng1,start_latlng2,timezone,total_elevation_gain,total_photo_count,trainer,type,upload_id,upload_id_str,utc_offset,visibility,workout_type,average_cadence,suffer_score
0,2,88717361,1,133,NA,0,FALSE,TRUE,NA,594,NA,NA,NA,NA,2024.08.22 19.05-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189468,0,FALSE,a12567189468,2,zdyjCbicfGmAnAQZc@ZSTIL_A|@k@p@IFQ@KD_@Vo@x@k@h@q@r@Sb@{@t@GJUr@]`@c@z@,140,NA,588,Evening Run,0,0,FALSE,2,Run,2024-08-22T22:05:05Z,2024-08-22T22:05:05Z,NA,NA,(GMT-03:00) America/Sao_Paulo,0,0,FALSE,Run,13399082411,13399082411,-10800,followers_only,0,NA,NA
0,1,88717361,1,123.4,NA,0,FALSE,TRUE,NA,2041,NA,8,NA,NA,2024.08.25 13.51-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189517,0,FALSE,a12567189517,2,~fugChb`~Fy@eB[{@k@gA_AyBe@w@g@oBa@{@Qi@i@_Aa@mAWk@Sq@]s@]aAiAqBo@kB_AoBbAxBb@v@n@`Bb@t@v@jBR^^hAzAdDt@vBR\Rv@x@bBNf@PVf@vAdApBL`@^p@l@z@dApB`@l@p@bBPXXn@r@hAj@zAHb@Tj@Lv@Xz@r@lCpA`D\h@`@^d@n@d@d@hB`Bd@d@vAlAlCdCPRT^r@v@XVn@x@^XBFa@Q]YYa@]]a@g@[m@MOsAcAQYq@e@y@{@o@a@k@m@c@k@aAs@Wa@WYSOkA{AOWGOKo@c@}A[i@Mm@Og@O]OgA,138,NA,2035,Afternoon Run,0,0,FALSE,2,Run,2024-08-25T16:51:07Z,2024-08-25T16:51:07Z,NA,NA,(GMT-03:00) America/Sao_Paulo,2,0,FALSE,Run,13399082418,13399082418,-10800,followers_only,0,NA,NA
1,1,88717361,1,135.5,NA,0,FALSE,TRUE,NA,3864,11,NA,NA,NA,2024.08.27 17.00-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189565,0,FALSE,a12567189565,2,`gugCdb`~Fs@yAo@aBi@cAQe@SYMa@i@y@GSUkAe@qA[q@k@_A]w@]uAeAaCiA}Bg@uAqAkCdBjDv@lBpAjCd@hAJ\dA~B`AbCl@|AZ~@fAzBlA|CXj@Xd@Th@|AlCf@dAX^rDtHN`@R`An@hBdAbEl@xAb@~@l@z@`@d@ZRj@n@v@l@~B|BhD|Cx@jA`A~@Zd@^V@FGAYSg@q@cAaAy@cA{BuBq@u@o@i@e@YcAkAo@_@{CwD_@gA[qAi@uAo@{C[y@[mAi@oAo@gAQg@a@u@_@}@iA}Aa@{@g@s@Uc@Ok@k@eAa@cAk@iAYw@c@_A_@m@c@sA_@oA]y@_@q@_@}@a@iAOg@]u@m@uAa@u@yAmDw@_Bj@z@b@pAhCvFvAhDxA~CbAxCVf@f@rANTt@tBt@~A`@p@Rh@~AxCbA~Av@bB|@bB~@pBL`@Pp@^bAF\XhA^dA\nAl@~An@rA\d@~@r@|CxCnD~C`A`Ab@r@tAnA^h@b@^@DA@SM[Um@}@wAyAkAeA]c@s@m@m@q@kAy@y@cAw@k@w@{@[WW]i@k@a@u@c@_Ca@eAYaAWi@M_AK[,152,NA,3858,Afternoon Run,0,1,TRUE,2,Run,2024-08-27T20:00:06Z,2024-08-27T20:00:06Z,NA,NA,(GMT-03:00) America/Sao_Paulo,NA,0,FALSE,Run,13399082427,13399082427,-10800,only_me,0,NA,NA
0,1,88717361,1,91.8,NA,0,FALSE,TRUE,0.96,605,0,0,NA,NA,2024.08.30 11.49-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189454,0,FALSE,a12567189454,2,NA,112,0,605,Afternoon Run,0,0,FALSE,2,Run,2024-08-30T14:49:54Z,2024-08-30T14:49:54Z,NA,NA,(GMT-03:00) America/Sao_Paulo,0,0,FALSE,Run,13399082440,13399082440,0,followers_only,0,NA,NA
0,1,88717361,1,130.2,NA,0,FALSE,TRUE,3.11,1500,0,0,NA,NA,2024.08.30 12.06-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189514,0,FALSE,a12567189514,2,NA,162,0,1500,Afternoon Run,0,0,FALSE,2,Run,2024-08-30T15:06:34Z,2024-08-30T15:06:34Z,NA,NA,(GMT-03:00) America/Sao_Paulo,0,0,FALSE,Run,13399082452,13399082452,0,followers_only,0,NA,NA
0,1,88717361,1,139.5,NA,0,FALSE,TRUE,1.25,600,0,0,NA,NA,2024.08.30 12.32-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189509,0,FALSE,a12567189509,2,NA,152,0,600,Afternoon Run,0,0,FALSE,2,Run,2024-08-30T15:32:45Z,2024-08-30T15:32:45Z,NA,NA,(GMT-03:00) America/Sao_Paulo,0,0,FALSE,Run,13399082478,13399082478,0,followers_only,0,NA,NA
0,1,88717361,1,149.8,NA,0,FALSE,TRUE,5.07,2435,0,0,NA,NA,2024.09.09 19.39-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189505,0,FALSE,a12567189505,2,NA,164,0,2435,Night Run,0,0,FALSE,2,Run,2024-09-09T22:39:43Z,2024-09-09T22:39:43Z,NA,NA,(GMT-03:00) America/Sao_Paulo,0,0,FALSE,Run,13399082500,13399082500,0,followers_only,0,NA,NA
0,1,88717361,1,133.7,NA,0,FALSE,TRUE,NA,1820,NA,8,NA,NA,2024.09.12 19.44-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189571,0,FALSE,a12567189571,2,|fugCza`~F}@aBWy@k@eAYu@Wg@Wo@_@q@c@cBUk@Mc@_BwCg@kB[k@Qi@Yo@s@sAuAqDu@yAlC|FTt@d@x@hA`CTt@|AzDf@z@j@jB^`AhB~Dj@tArAhCf@hAt@jAXp@Z^Zj@xA`D~@jBPh@ZtAPd@jAjEh@zAt@xA|BrCdDxCj@`@nBfBr@x@p@`AzAzA^f@MISSWa@iAuAWa@e@c@UOeDgD}@o@u@y@{@k@o@{@_@YaAkAWi@u@sC_@o@WsAYq@YsA,161,NA,1814,Evening Run,0,0,TRUE,2,Run,2024-09-12T22:44:13Z,2024-09-12T22:44:13Z,NA,NA,(GMT-03:00) America/Sao_Paulo,2,0,FALSE,Run,13399082510,13399082510,-10800,only_me,0,NA,NA
0,1,88717361,1,136.2,NA,0,FALSE,TRUE,NA,4252,NA,8,NA,NA,2024.09.14 16.32-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189625,0,FALSE,a12567189625,2,|fugCbb`~FIYYg@q@_Bc@s@}@}Bk@eAgAmDcAkBe@kA[iAqCaGeAoCo@oAp@jAlAzCb@v@vAfDTb@Tp@Vf@r@bBf@jAXx@lA`Dl@jATr@R^j@rAr@rAd@bAd@t@f@dAf@z@PTn@tANTXr@Xd@`AlBd@`BP`@r@rCf@|ARt@t@rBh@|@l@t@|BjBfBbBj@f@NP^ZlAlA\VxAlBp@n@LNf@d@TXk@]YWU[kAoAe@o@gC_C}@_Ag@a@i@Yy@gA{@k@q@cAi@g@i@s@[m@o@iC[y@Kc@Yu@_@aBq@wBi@oAi@{@u@iBc@_Am@w@WY]}@cAaBMg@SYc@_Ao@{A]q@Qg@Ye@Yw@[k@c@}Ac@kA{@yAYu@e@aB[k@m@uAe@}@_@cAkBeEBB|@dBXr@fDrH\~@\l@Rj@d@dAZz@NZTr@l@tA\`Ab@z@Pl@dA|Bh@dAFRZb@rBzDZb@Th@^n@JXPVXv@TZr@zAjAdEPv@f@pA^`BR`@HVh@dA~@fALR`@`@`Av@fBfBtE~DRTVf@pArAX`@d@b@BFGAk@g@Ya@cAgA[e@g@_@qBqBm@g@e@i@QMg@WUW_@k@YSg@WuAoBs@y@Sc@S}@_@mAc@u@WqAY_AQw@,156,NA,4240,Afternoon Run,0,0,TRUE,2,Run,2024-09-14T19:32:58Z,2024-09-14T19:32:58Z,NA,NA,(GMT-03:00) America/Sao_Paulo,NA,0,FALSE,Run,13399082525,13399082525,-10800,only_me,0,NA,NA
0,1,88717361,1,127.3,NA,0,FALSE,TRUE,NA,447,NA,NA,NA,NA,2024.09.16 18.52-RUNNING.fit,FALSE,FALSE,g19821668,TRUE,FALSE,FALSE,12567189635,0,FALSE,a12567189635,2,rgugC`c`~F{@gBo@cBq@qAw@kBe@_AgAoDiAoBc@eAi@cBw@sB,154,NA,439,Evening Run,0,0,TRUE,2,Run,2024-09-16T21:52:59Z,2024-09-16T21:52:59Z,NA,NA,(GMT-03:00) America/Sao_Paulo,0,0,FALSE,Run,13399082542,13399082542,-10800,only_me,0,NA,NA
