time,velocity_smooth,heartrate,cadence
0,0,104,82
5,0,104,82
10,0,105,91
15,0,105,91
20,0,109,90
25,0,111,88
30,0,114,88
35,0,115,87
40,0,115,87
45,0,116,87
50,0,117,86
55,0,117,87
60,0,118,86
65,0,119,86
70,0,122,86
75,0,121,86
80,0,122,85
85,0,122,86
90,0,122,85
95,0,124,86
100,0,127,86
105,0,127,86
110,0,128,86
115,0,128,87
120,0,129,86
125,0,130,87
130,0,130,86
135,0,131,86
140,0,131,87
145,0,133,86
150,0,132,87
155,0,133,87
160,0,133,87
165,0,133,86
170,0,132,87
175,0,133,86
180,0,134,87
185,0,133,86
190,0,135,87
195,0,133,87
200,0,133,87
205,0,132,87
210,0,132,87
215,0,134,87
220,0,133,86
225,0,134,87
230,0,132,86
235,0,134,86
240,0,134,86
245,0,135,86
250,0,134,86
255,0,134,85
260,0,136,85
265,0,136,86
270,0,136,86
275,0,137,86
280,0,136,86
285,0,136,85
290,0,136,85
295,0,133,85
300,0,135,86
305,0,134,85
310,0,134,85
315,0,137,85
320,0,138,86
325,0,136,85
330,0,136,85
335,0,135,85
340,0,134,85
345,0,136,85
350,0,136,86
355,0,136,86
360,0,136,85
365,0,135,86
370,0,135,85
375,0,138,85
380,0,137,85
385,0,138,86
390,0,137,85
395,0,138,86
400,0,137,85
405,0,137,86
410,0,138,85
415,0,138,86
420,0,138,85
425,0,140,86
430,0,140,85
435,0,140,86
440,0,139,85
445,0,138,85
450,0,139,86
455,0,139,85
460,0,139,86
465,0,138,85
470,0,138,86
475,0,139,85
480,0,138,86
485,0,139,86
490,0,140,86
495,0,139,85
500,0,141,86
505,0,139,85
510,0,139,86
515,0,138,85
520,0,137,86
525,0,137,86
530,0,138,85
535,0,136,86
540,0,137,85
545,0,137,86
550,0,137,86
555,0,139,87
560,0,139,86
565,0,138,86
570,0,138,86
575,0,138,86
580,0,138,86
585,0,138,87
590,0,138,86
595,0,138,86
600,0,137,87
605,0,138,87
610,0,139,86
615,0,139,87
620,0,139,86
625,0,139,86
630,0,141,87
635,0,141,86
640,0,139,86
645,0,140,87
650,0,140,87
655,0,141,87
660,0,140,86
665,0,139,87
670,0,139,87
675,0,139,87
680,0,139,86
685,0,139,87
690,0,141,87
695,0,139,86
700,0,141,87
705,0,140,87
710,0,139,86
715,0,138,86
720,0,138,86
725,0,139,86
730,0,140,87
735,0,140,86
740,0,140,86
745,0,139,87
750,0,139,86
755,0,139,86
760,0,139,87
765,0,140,86
770,0,138,86
775,0,138,87
780,0,139,87
785,0,140,87
790,0,140,87
795,0,140,86
800,0,140,87
805,0,140,87
810,0,139,87
815,0,140,87
820,0,141,87
825,0,141,87
830,0,140,87
835,0,142,88
840,0,141,88
845,0,142,87
850,0,143,86
855,0,143,86
860,0,145,86
865,0,143,86
870,0,141,86
875,0,141,87
880,0,140,87
885,0,141,87
890,0,140,86
895,0,143,87
900,0,142,87
905,0,141,87
910,0,142,88
915,0,142,88
920,0,141,88
925,0,142,87
930,0,140,87
935,0,141,87
940,0,140,88
945,0,143,88
950,0,142,88
955,0,142,88
960,0,142,88
965,0,142,89
970,0,142,89
975,0,142,89
980,0,142,89
985,0,142,89
990,0,142,89
995,0,142,89
1000,0,143,89
1005,0,143,89
1010,0,143,89
1015,0,142,89
1020,0,143,89
1025,0,143,89
1030,0,142,89
1035,0,142,90
1040,0,144,90
1045,0,144,90
1050,0,144,89
1055,0,144,69
1060,0,144,76
1065,0,144,91
1070,0,143,88
1075,0,143,88
1080,0,143,88
1085,0,143,87
1090,0,143,86
1095,0,143,87
1100,0,143,87
1105,0,143,88
1110,0,143,88
1115,0,144,88
1120,0,143,88
1125,0,143,88
1130,0,144,88
1135,0,144,87
1140,0,144,87
1145,0,144,88
1150,0,143,87
1155,0,143,87
1160,0,143,88
1165,0,144,88
1170,0,143,88
1175,0,144,88
1180,0,144,89
1185,0,144,89
1190,0,144,89
1195,0,143,89
1200,0,143,90
1205,0,143,90
1210,0,144,90
1215,0,144,89
1220,0,144,89
1225,0,144,89
1230,0,144,88
1235,0,144,88
1240,0,143,88
1245,0,143,88
1250,0,143,87
1255,0,144,87
1260,0,145,88
1265,0,145,88
1270,0,145,88
1275,0,145,88
1280,0,145,88
1285,0,145,88
1290,0,145,89
1295,0,144,89
1300,0,145,89
1305,0,145,88
1310,0,146,89
1315,0,145,89
1320,0,147,89
1325,0,147,88
1330,0,146,88
1335,0,147,89
1340,0,147,89
1345,0,147,90
1350,0,147,90
1355,0,146,89
