time,distance,lat,lng,velocity_smooth,heartrate,cadence
0,0,-22.492416,-41.929958,0,93,82
5,0,-22.492416,-41.929958,0,93,82
6,2.5,-22.492437,-41.929966,0.417,93,82
7,4.9,-22.492458,-41.929974,0.7,93,82
8,7.5,-22.492479,-41.929985,0.938,93,82
9,9.8,-22.492496,-41.929996,1.089,93,82
10,12.3,-22.492514,-41.930012,2.46,99,82
11,14.8,-22.492529,-41.930031,2.46,99,82
12,17,-22.492542,-41.930046,2.42,99,82
13,19.6,-22.492557,-41.930065,2.42,99,82
14,22,-22.492571,-41.930084,2.44,99,82
15,24.2,-22.492584,-41.930099,2.38,104,85
16,26.7,-22.492598,-41.930118,2.38,104,85
17,29.1,-22.492611,-41.930138,2.42,104,85
18,31.7,-22.492626,-41.930157,2.42,104,85
19,34.2,-22.49264,-41.930176,2.44,104,85
20,36.6,-22.492653,-41.930195,2.48,106,84
21,39.1,-22.492666,-41.930214,2.48,106,84
22,41.5,-22.49268,-41.930233,2.48,106,84
23,43.7,-22.492693,-41.930248,2.4,106,84
24,46.2,-22.492706,-41.930267,2.4,106,84
25,48.6,-22.49272,-41.930286,2.4,110,83
26,51.1,-22.492733,-41.930305,2.4,110,83
27,53.9,-22.492746,-41.930328,2.48,110,83
28,56.5,-22.492758,-41.930351,2.56,110,83
29,59.3,-22.492771,-41.930374,2.62,110,83
30,62.1,-22.492784,-41.930397,2.7,113,83
31,64.9,-22.492798,-41.93042,2.76,113,83
32,68,-22.492811,-41.930447,2.82,113,83
33,70.9,-22.492826,-41.930469,2.88,113,83
34,73.5,-22.492842,-41.930489,2.84,113,83
35,76.4,-22.492857,-41.930511,2.86,114,82
36,79,-22.492872,-41.930531,2.82,114,82
37,81.9,-22.492887,-41.930553,2.78,114,82
38,84.6,-22.492905,-41.930572,2.74,114,82
39,87.7,-22.492922,-41.930595,2.84,114,82
40,90.4,-22.492939,-41.930614,2.8,115,83
41,93.1,-22.492956,-41.930633,2.82,115,83
