time,distance,lat,lng,velocity_smooth,heartrate
0,0,-22.397316,-41.786751,0,80
5,0,-22.397316,-41.786751,0,80
6,1.2,-22.397316,-41.786739,0.2,80
7,3.5,-22.397316,-41.786716,0.5,80
8,5.5,-22.397314,-41.786697,0.688,80
9,7.5,-22.397312,-41.786678,0.833,80
10,9.8,-22.397312,-41.786655,1.96,79
11,12.6,-22.39731,-41.786629,2.28,79
12,14.9,-22.39731,-41.786606,2.28,79
13,17.7,-22.39731,-41.786579,2.44,79
14,20,-22.397308,-41.786556,2.5,79
15,22.8,-22.397305,-41.78653,2.6,79
16,25.2,-22.397301,-41.786507,2.52,79
17,27.3,-22.397295,-41.786488,2.48,79
18,29.1,-22.397287,-41.786472,2.28,79
19,31.2,-22.39728,-41.786453,2.24,79
20,33,-22.397272,-41.786438,2.04,78
21,34.8,-22.397264,-41.786423,1.92,78
22,36.3,-22.397255,-41.786411,1.8,78
23,38.1,-22.397247,-41.786396,1.8,78
24,39.7,-22.397238,-41.786385,1.7,78
25,41.3,-22.397228,-41.786373,1.66,80
26,42.5,-22.397221,-41.786365,1.54,80
27,44,-22.397211,-41.786354,1.54,80
28,45.6,-22.397201,-41.786343,1.5,80
29,47.2,-22.397192,-41.786331,1.5,80
30,49.1,-22.397182,-41.786316,1.56,83
31,50.5,-22.397175,-41.786304,1.6,83
32,52.4,-22.397165,-41.786289,1.68,83
33,53.9,-22.397158,-41.786278,1.66,83
34,55.7,-22.39715,-41.786262,1.7,83
35,57.6,-22.39714,-41.786247,1.7,90
36,59.3,-22.397133,-41.786232,1.76,90
37,61.1,-22.397125,-41.786217,1.74,90
38,63,-22.397116,-41.786201,1.82,90
39,64.8,-22.397108,-41.786186,1.82,90
40,67,-22.397098,-41.786167,1.88,90
41,68.9,-22.397089,-41.786152,1.92,90
42,70.5,-22.397079,-41.78614,1.88,90
43,72.4,-22.39707,-41.786125,1.88,90
44,74.3,-22.39706,-41.78611,1.9,90
45,75.9,-22.397051,-41.786098,1.78,89
46,77.5,-22.397041,-41.786087,1.72,89
47,78.9,-22.397034,-41.786076,1.68,89
48,80.4,-22.397026,-41.786064,1.6,89
49,81.8,-22.397018,-41.786053,1.5,89
50,83.7,-22.397009,-41.786037,1.56,88
51,85.2,-22.397001,-41.786026,1.54,88
52,87.1,-22.396992,-41.786011,1.64,88
53,88.9,-22.396982,-41.785995,1.7,88
54,90.7,-22.396971,-41.785984,1.78,88
55,92.7,-22.396959,-41.785969,1.8,89
56,94.7,-22.396948,-41.785953,1.9,89
57,96.8,-22.396936,-41.785938,1.94,89
58,98.5,-22.396925,-41.785927,1.92,89
59,100.6,-22.396912,-41.785912,1.98,89
60,102.4,-22.3969,-41.7859,1.94,92
61,104.3,-22.396887,-41.785889,1.92,92
62,106.2,-22.396873,-41.785877,1.88,92
63,108.1,-22.39686,-41.785866,1.92,92
64,110.4,-22.396845,-41.785851,1.96,92
65,112.3,-22.396832,-41.785839,1.98,95
66,114,-22.39682,-41.785828,1.94,95
67,116.2,-22.396807,-41.785812,2,95
68,118.2,-22.396795,-41.785797,2.02,95
69,120.1,-22.396786,-41.785782,1.94,95
70,122.1,-22.396774,-41.785767,1.96,98
71,124,-22.396765,-41.785751,2,98
72,125.9,-22.396755,-41.785736,1.94,98
73,127.8,-22.396746,-41.785721,1.92,98
74,129.7,-22.396736,-41.785706,1.92,98
75,131.6,-22.396727,-41.78569,1.9,99
76,133.8,-22.396717,-41.785671,1.96,99
77,135.7,-22.396707,-41.785656,1.96,99
78,137.8,-22.3967,-41.785637,2,99
79,139.7,-22.39669,-41.785622,2,99
80,141.6,-22.396681,-41.785606,2,96
81,143.8,-22.396671,-41.785587,2,96
82,145.6,-22.396664,-41.785572,1.98,96
83,147.8,-22.396654,-41.785553,2,96
84,149.7,-22.396645,-41.785538,2,96
85,151.5,-22.396637,-41.785522,1.98,98
86,153.8,-22.396627,-41.785503,2,98
87,155.6,-22.396618,-41.785488,2,98
88,157.5,-22.396608,-41.785473,1.94,98
89,159.4,-22.396599,-41.785458,1.94,98
90,161.3,-22.396589,-41.785442,1.96,100
91,163.5,-22.396582,-41.785423,1.94,100
92,165.4,-22.396572,-41.785408,1.96,100
93,167.3,-22.396563,-41.785393,1.96,100
94,169,-22.396555,-41.785377,1.92,100
95,171.4,-22.396543,-41.785358,2.02,101
96,173.3,-22.396534,-41.785343,1.96,101
97,175.1,-22.396524,-41.785328,1.94,101
